ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,Link_1
9799,,Shares in Enjoyouretirement Ltd,2024-08-03,2024-08-04,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,Enjoyouretirement Ltd,Property company,,,https://interests-api.parliament.uk/api/v1/Interests/9799
9709,,Shares in Orion Developments and Investments Ltd,2024-08-03,2024-08-04,,Shareholdings,Alison Taylor,5093,(i) Shareholdings: over 15% of issued share capital,,,Orion Developments and Investments Ltd,Commercial Property and development company/asset management activities,jointly with my spouse and father,,https://interests-api.parliament.uk/api/v1/Interests/9709
9795,,Shares in JMT Holdco Ltd,2024-08-03,2024-08-04,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,JMT Holdco Ltd,Holding Company for investment activities,,,https://interests-api.parliament.uk/api/v1/Interests/9795
7810,,Shares in Cavendish Consulting Limited,2024-08-28,2024-08-04,,Shareholdings,Jen Craft,5056,"(ii) Other shareholdings, valued at more than £70,000",,,Cavendish Consulting Limited,,Held by my spouse,,https://interests-api.parliament.uk/api/v1/Interests/7810
8254,,Shares in BDA Partners,2024-08-01,2024-08-04,,Shareholdings,Charlie Maynard,5325,(i) Shareholdings: over 15% of issued share capital,,,BDA Partners,Asia focussed advisory firm,,,https://interests-api.parliament.uk/api/v1/Interests/8254
9058,,Shares in African Dreams Ltd,2024-08-01,2024-08-04,,Shareholdings,Sam Rushworth,5108,(i) Shareholdings: over 15% of issued share capital,,,African Dreams Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/9058
9213,,Shares in Talking Transformation Ltd,2024-08-03,2024-08-04,,Shareholdings,Pippa Heylings,5078,(i) Shareholdings: over 15% of issued share capital,,29/07/2024,Talking Transformation Ltd,"Consultancy company, specialising in facilitation, dialogue and conflict management around environment and development issues, mainly working internationally.",,,https://interests-api.parliament.uk/api/v1/Interests/9213
8401,,Shares in Babylon Bars (London) Ltd,2024-08-02,2024-08-04,,Shareholdings,Mr Paul Kohler,5321,(i) Shareholdings: over 15% of issued share capital,,,Babylon Bars (London) Ltd,Hospitality,,,https://interests-api.parliament.uk/api/v1/Interests/8401
9155,,Shares in What'sNextCommunicationsLTD,2024-08-01,2024-08-04,,Shareholdings,Chris Bloore,5109,(i) Shareholdings: over 15% of issued share capital,,,What'sNextCommunicationsLTD,Consultancy firm offering training and communications services,,,https://interests-api.parliament.uk/api/v1/Interests/9155
10016,,Shares in Labour Networks Ltd (a dormant company),2024-08-03,2024-08-04,,Shareholdings,Lewis Atkinson,5028,(i) Shareholdings: over 15% of issued share capital,,,Labour Networks Ltd (a dormant company),Communications with Labour Party members,,,https://interests-api.parliament.uk/api/v1/Interests/10016
9712,,Shares in Orion Estates and Investments Ltd,2024-08-03,2024-08-04,,Shareholdings,Alison Taylor,5093,(i) Shareholdings: over 15% of issued share capital,,,Orion Estates and Investments Ltd,Investment and development of commercial property and asset management,jointly with my spouse and father,,https://interests-api.parliament.uk/api/v1/Interests/9712
8994,,Shares in Open Door Property Ltd,2024-08-01,2024-08-04,,Shareholdings,James Naish,5047,(i) Shareholdings: over 15% of issued share capital,,,Open Door Property Ltd,Property sales and consulting,,,https://interests-api.parliament.uk/api/v1/Interests/8994
8996,,Shares in Open Door Property Holidays Ltd,2024-08-01,2024-08-04,,Shareholdings,James Naish,5047,(i) Shareholdings: over 15% of issued share capital,,,Open Door Property Holidays Ltd,Holiday rental property,,,https://interests-api.parliament.uk/api/v1/Interests/8996
9833,,Shares in Clarity Legal Ltd,2024-08-03,2024-08-04,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,Clarity Legal Ltd,Rental company,,,https://interests-api.parliament.uk/api/v1/Interests/9833
9818,,Shares in London Trading One Ltd.,2024-08-03,2024-08-04,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,London Trading One Ltd.,General commercial consultancy and business activities of a non-political nature,,,https://interests-api.parliament.uk/api/v1/Interests/9818
9819,,Shares in Mango Online Learning Development Solutions Limited,2024-08-03,2024-08-04,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,Mango Online Learning Development Solutions Limited,,with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/9819
8399,,Shares in Babylon Bars Ltd,2024-08-03,2024-08-03,,Shareholdings,Mr Paul Kohler,5321,(i) Shareholdings: over 15% of issued share capital,,,Babylon Bars Ltd,Hospitality,,,https://interests-api.parliament.uk/api/v1/Interests/8399
7418,,Shares in Sparticles Productions Ltd,2024-08-03,2024-08-03,,Shareholdings,Alison Hume,5254,(i) Shareholdings: over 15% of issued share capital,,,Sparticles Productions Ltd,Television production company,,,https://interests-api.parliament.uk/api/v1/Interests/7418
6171,,Shares in Paygora Ltd.,2024-08-03,2024-08-03,,Shareholdings,Steff Aquarone,5164,(i) Shareholdings: over 15% of issued share capital,,,Paygora Ltd.,Business to business invoicing and payments technology solution,,,https://interests-api.parliament.uk/api/v1/Interests/6171
9340,,Shares in CC Technologies,2024-08-02,2024-08-02,,Shareholdings,Katie Lam,5285,(i) Shareholdings: over 15% of issued share capital,,,CC Technologies,Legal technology start-up,,,https://interests-api.parliament.uk/api/v1/Interests/9340
6237,,Shares in Inverleith Partnership,2024-08-02,2024-08-02,,Shareholdings,Mr Angus MacDonald,5362,"(ii) Other shareholdings, valued at more than £70,000",,,Inverleith Partnership,"Partnership with two holdings, Artisan Spirit Company and Montane (outdoor clothing)",,DelegatedManagementCompany,https://interests-api.parliament.uk/api/v1/Interests/6237
7659,,Shares in Rolls Royce Plc,2024-08-02,2024-08-02,,Shareholdings,Baggy Shanker,5176,"(ii) Other shareholdings, valued at more than £70,000",,,Rolls Royce Plc,,"I, my wife and my son have separate holdings",,https://interests-api.parliament.uk/api/v1/Interests/7659
6591,,Shares in Environmental Policy Consulting,2024-08-01,2024-08-01,,Shareholdings,Manuela Perteghella,5122,(i) Shareholdings: over 15% of issued share capital,,05/07/2004,Environmental Policy Consulting,consultancy on environmental issues,jointly with my husband,,https://interests-api.parliament.uk/api/v1/Interests/6591
8342,,Shares in Our World Research and Consultancy Ltd,2024-08-01,2024-08-01,,Shareholdings,Sam Rushworth,5108,(i) Shareholdings: over 15% of issued share capital,,,Our World Research and Consultancy Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/8342
8787,,Shares in Yardley Programme Management Limited,2024-08-01,2024-08-01,,Shareholdings,Kirsteen Sullivan,5179,(i) Shareholdings: over 15% of issued share capital,,,Yardley Programme Management Limited,IT & Business management and consultancy service,Spouse,,https://interests-api.parliament.uk/api/v1/Interests/8787
8808,,Shares in LeapX Group Limited,2024-08-01,2024-08-01,,Shareholdings,Alan Gemmell,5185,(i) Shareholdings: over 15% of issued share capital,,,LeapX Group Limited,To provide business and management consultancy services.,,,https://interests-api.parliament.uk/api/v1/Interests/8808
8725,,Shares in Crater Law Solicitors Ltd,2024-08-01,2024-08-01,,Shareholdings,Abtisam Mohamed,5142,(i) Shareholdings: over 15% of issued share capital,,25/07/2024,Crater Law Solicitors Ltd,Solicitors,,,https://interests-api.parliament.uk/api/v1/Interests/8725
8797,,Shares in 30th State Productions Limited,2024-08-01,2024-08-01,,Shareholdings,Alan Gemmell,5185,(i) Shareholdings: over 15% of issued share capital,,,30th State Productions Limited,It has rights to a book I have written and am publishing.,Spouse,,https://interests-api.parliament.uk/api/v1/Interests/8797
8283,,Shares in Four Communications,2024-08-01,2024-08-01,,Shareholdings,Jim Dickson,5223,"(ii) Other shareholdings, valued at more than £70,000",,,Four Communications,Public Relations,,,https://interests-api.parliament.uk/api/v1/Interests/8283
8605,,Shares in Saibick Limited,2024-07-31,2024-07-31,,Shareholdings,Aphra Brandreth,5241,(i) Shareholdings: over 15% of issued share capital,,,Saibick Limited,Commercial property letting company,Husband is also a shareholder of the company,,https://interests-api.parliament.uk/api/v1/Interests/8605
8473,,Shares in J Brand Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,J Brand Ltd,Data contractor specialising in retail sector,,,https://interests-api.parliament.uk/api/v1/Interests/8473
8513,,Shares in Black Cat Syndicate Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Black Cat Syndicate Ltd,ASX listed gold mining business in Western Australia,,,https://interests-api.parliament.uk/api/v1/Interests/8513
8420,,Shares in Cassia Holdings Ltd,2024-07-31,2024-07-31,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,,,Cassia Holdings Ltd,Holding company,,,https://interests-api.parliament.uk/api/v1/Interests/8420
8419,,Shares in The Female Edge Ltd,2024-07-31,2024-07-31,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,,,The Female Edge Ltd,Membership and training network for female entrepreneurs,,,https://interests-api.parliament.uk/api/v1/Interests/8419
8596,,Shares in Saibick Investments Ltd,2024-07-31,2024-07-31,,Shareholdings,Aphra Brandreth,5241,(i) Shareholdings: over 15% of issued share capital,,,Saibick Investments Ltd,Investment company,"Jointly with my husband, two sons and daughter.",,https://interests-api.parliament.uk/api/v1/Interests/8596
8472,,Shares in Lowe Holdings Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Lowe Holdings Ltd,Holding company for Lowe and Oliver Ltd electrical contractor,,,https://interests-api.parliament.uk/api/v1/Interests/8472
8474,,Shares in Data-Path Office Network Services Limited,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Data-Path Office Network Services Limited,"Data contractor, based in Somerset",,,https://interests-api.parliament.uk/api/v1/Interests/8474
8505,,Shares in Blue Bird Holdings Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Blue Bird Holdings Ltd,Ethiopian investment holding company,,,https://interests-api.parliament.uk/api/v1/Interests/8505
8485,,Shares in Transense Technology Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Transense Technology Ltd,AIM listed company,,,https://interests-api.parliament.uk/api/v1/Interests/8485
8489,,Shares in Insurance Capital Partners Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Insurance Capital Partners Ltd,Owner of Lloyds of London syndicate capital,,,https://interests-api.parliament.uk/api/v1/Interests/8489
7910,,Shares in Red Glazing Systems Ltd,2024-07-31,2024-07-31,,Shareholdings,Marie Goldman,5073,(i) Shareholdings: over 15% of issued share capital,,,Red Glazing Systems Ltd,"Supply and installation of windows, doors and other associated products.",Jointly with my husband.,,https://interests-api.parliament.uk/api/v1/Interests/7910
7911,,Shares in Piktical Ltd,2024-07-31,2024-07-31,,Shareholdings,Marie Goldman,5073,(i) Shareholdings: over 15% of issued share capital,,,Piktical Ltd,Software-based live event ticketing and access management.,,,https://interests-api.parliament.uk/api/v1/Interests/7911
8476,,Shares in Scarabus Trading Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Scarabus Trading Ltd,"Holding company for football related franchises - ICFDS, BSS, SOCATOTS",,,https://interests-api.parliament.uk/api/v1/Interests/8476
8480,,Shares in Kona Energy Limited,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Kona Energy Limited,Battery storage,,,https://interests-api.parliament.uk/api/v1/Interests/8480
8492,,Shares in Ossiform Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Ossiform Ltd,Early stage 3D bone printing technology,,,https://interests-api.parliament.uk/api/v1/Interests/8492
8496,,Shares in SAFETONET Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,SAFETONET Ltd,Online child safety software developer,,,https://interests-api.parliament.uk/api/v1/Interests/8496
8591,,Shares in Smart Vet Ltd (Trading as Pet People),2024-07-31,2024-07-31,,Shareholdings,Aphra Brandreth,5241,(i) Shareholdings: over 15% of issued share capital,,,Smart Vet Ltd (Trading as Pet People),Veterinary business,My husband is also a shareholder,,https://interests-api.parliament.uk/api/v1/Interests/8591
8481,,Shares in Glass Wall Holdings Limited,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Glass Wall Holdings Limited,Cyber security,,,https://interests-api.parliament.uk/api/v1/Interests/8481
8494,,Shares in Unibio Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Unibio Ltd,Early stage protein production company,,,https://interests-api.parliament.uk/api/v1/Interests/8494
8611,,Shares in Westwood Strategies Limited,2024-07-31,2024-07-31,,Shareholdings,Mary Creagh,1579,(i) Shareholdings: over 15% of issued share capital,,,Westwood Strategies Limited,Sustainability advisory,,,https://interests-api.parliament.uk/api/v1/Interests/8611
8503,,Shares in Pangaea Group Holdings Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Pangaea Group Holdings Ltd,"Insurance holding company, funded through Pangea Loanco Ltd",,,https://interests-api.parliament.uk/api/v1/Interests/8503
8478,,Shares in Alto Investments and Property Limited,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Alto Investments and Property Limited,Owner of the offices of Alto Energy Limited,,,https://interests-api.parliament.uk/api/v1/Interests/8478
8422,,Shares in Cassia Bath Ltd,2024-07-31,2024-07-31,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,,,Cassia Bath Ltd,Cafe,,,https://interests-api.parliament.uk/api/v1/Interests/8422
8477,,Shares in Alto Energy Limited,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Alto Energy Limited,Heatpump experts,,,https://interests-api.parliament.uk/api/v1/Interests/8477
8499,,Shares in ATLANT3D Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,ATLANT3D Ltd,"Atomic layer advance manufacturing, early stage EIS",,,https://interests-api.parliament.uk/api/v1/Interests/8499
7909,,Shares in Red Installations Ltd,2024-07-31,2024-07-31,,Shareholdings,Marie Goldman,5073,(i) Shareholdings: over 15% of issued share capital,,,Red Installations Ltd,"Installation of windows, doors and other associated products.",Jointly with husband.,,https://interests-api.parliament.uk/api/v1/Interests/7909
8483,,Shares in L11NK Limited,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,L11NK Limited,IT App Developer,,,https://interests-api.parliament.uk/api/v1/Interests/8483
8487,,Shares in Many Pets Ltd,2024-07-31,2024-07-31,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Many Pets Ltd,Online pet insurer,,,https://interests-api.parliament.uk/api/v1/Interests/8487
8244,,Shares in Bank View Solicitors Limited,2024-07-30,2024-07-30,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,Bank View Solicitors Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/8244
8063,,Shares in Grow Movement Ltd,2024-07-30,2024-07-30,,Shareholdings,Chris Coghlan,5198,(i) Shareholdings: over 15% of issued share capital,,,Grow Movement Ltd,Remote coaching services for social entrepreneurs.,,,https://interests-api.parliament.uk/api/v1/Interests/8063
8338,,Shares in Adnaan Iqbal Mohamed Consulting Ltd.,2024-07-30,2024-07-30,,Shareholdings,Iqbal Mohamed,5268,(i) Shareholdings: over 15% of issued share capital,,,Adnaan Iqbal Mohamed Consulting Ltd.,,Spouse,,https://interests-api.parliament.uk/api/v1/Interests/8338
7224,,Shares in Consequitur Limited,2024-07-29,2024-07-29,,Shareholdings,Mr Douglas Alexander,632,(i) Shareholdings: over 15% of issued share capital,,18/07/2024,Consequitur Limited,Management consultancy activities on matters other than financial management,,,https://interests-api.parliament.uk/api/v1/Interests/7224
7858,,Shares in Eyespealed Services Ltd,2024-07-29,2024-07-29,,Shareholdings,Helen Maguire,5336,(i) Shareholdings: over 15% of issued share capital,,,Eyespealed Services Ltd,Management consultancy other than financial management,Jointly with husband,,https://interests-api.parliament.uk/api/v1/Interests/7858
7854,,Shares in Big Bright Futures Ltd,2024-07-29,2024-07-29,,Shareholdings,Helen Maguire,5336,(i) Shareholdings: over 15% of issued share capital,,,Big Bright Futures Ltd,Property management company,Jointly with my husband,,https://interests-api.parliament.uk/api/v1/Interests/7854
7611,,Shares in Monki Dog Care,2024-07-26,2024-07-26,,Shareholdings,Mike Tapp,5266,(i) Shareholdings: over 15% of issued share capital,,,Monki Dog Care,Dog Day Care service,Wife,,https://interests-api.parliament.uk/api/v1/Interests/7611
7372,,Shares in Hargreaves Brash Property Ltd,2024-07-25,2024-07-25,,Shareholdings,Mr Jonathan Brash,5045,(i) Shareholdings: over 15% of issued share capital,,,Hargreaves Brash Property Ltd,,Jointly with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/7372
7374,,Shares in W B Tees Valley & North York Moors Ltd,2024-07-25,2024-07-25,,Shareholdings,Mr Jonathan Brash,5045,(i) Shareholdings: over 15% of issued share capital,,,W B Tees Valley & North York Moors Ltd,A baby swimming company,Jointly owned with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/7374
7326,,Shares in Rachel Taylor Consultancy Limited,2024-07-25,2024-07-25,,Shareholdings,Rachel Taylor,5065,(i) Shareholdings: over 15% of issued share capital,,,Rachel Taylor Consultancy Limited,provision of legal services,,,https://interests-api.parliament.uk/api/v1/Interests/7326
6235,,Shares in Hampden and Co,2024-07-24,2024-07-24,,Shareholdings,Mr Angus MacDonald,5362,"(ii) Other shareholdings, valued at more than £70,000",,,Hampden and Co,Bank,,DelegatedManagementCompany,https://interests-api.parliament.uk/api/v1/Interests/6235
7066,,Shares in PFPM (Preston) Ltd,2024-07-24,2024-07-24,,Shareholdings,Mr Paul Foster,5074,(i) Shareholdings: over 15% of issued share capital,,,PFPM (Preston) Ltd,Project & Development Management Consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/7066
7204,,Shares in DeCantelo Ltd,2024-07-24,2024-07-24,,Shareholdings,Peter Fortune,5209,(i) Shareholdings: over 15% of issued share capital,,,DeCantelo Ltd,Management Consultancy,Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/7204
