ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,StartDate,EndDate,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,Link_1
9341,,Property in Guildford,2024-08-03,2024-08-04,,Land and property (within or outside the UK),Katie Lam,5285,,18/07/2024,False,Guildford,Flat,Co-owned with a family member,Half the rental income went to my family member (the co-owner),,17/07/2024,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9341
9395,,Property in Tyrone,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Mr Cathal Mallaghan,5153,,,False,Tyrone,House,Co-owned with family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9395
9336,,Property in Guildford,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Katie Lam,5285,,,True,Guildford,House,,,,31/07/2024,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9336
9393,,Property in Tyrone,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Mr Cathal Mallaghan,5153,,,False,Tyrone,,Co-owned with family member,,,,,True,False,United Kingdom,Agricultural,,https://interests-api.parliament.uk/api/v1/Interests/9393
9677,,Property in Norwich,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Jack Abbott,5131,,,False,Norwich,House,Co-owned,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9677
9890,,Property in London,2024-08-03,2024-08-04,,Land and property (within or outside the UK),Alice Macdonald,5133,04/07/2024,21/07/2024,True,London,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9890
9953,,Property in Sandwell,2024-08-03,2024-08-04,,Land and property (within or outside the UK),Gurinder Singh Josan,5059,,,False,Sandwell,,All properties are co-owned with family members,Rental income is paid to all co-owners of the respective property,,,3,False,True,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/9953
10143,,Property in London,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Sarah Smith,5117,,,True,London,house,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10143
9195,,Property in Warrington,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Sarah Hall,5154,,,False,Warrington,House,Co-owned with a family member.,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9195
9692,,Property in London,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Alison Griffiths,5203,,,False,London,Flat,Co-owned with family member.,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9692
10483,,Property in Scotland,2024-08-31,2024-08-04,,Land and property (within or outside the UK),Rupert Lowe,5158,,,False,Scotland,Tilmouth fishing on the River Tweed,Joint ownership,,,,,True,False,United Kingdom,Agricultural,,https://interests-api.parliament.uk/api/v1/Interests/10483
9024,,Property in London,2024-08-01,2024-08-04,,Land and property (within or outside the UK),Sarah Sackman,5204,,,False,London,Flat,co-owned with family members,I receive a third of the total. The remainder is divided between two other members of my family.,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9024
9049,,Property in Nottinghamshire,2024-08-01,2024-08-04,,Land and property (within or outside the UK),James Naish,5047,,,False,Nottinghamshire,Farm buildings,The property is part of The William Arthur Robinson Will Trust. I am one of two trustees,,,,1,False,False,United Kingdom,,Agricultural,https://interests-api.parliament.uk/api/v1/Interests/9049
9251,,Property in London,2024-08-02,2024-08-04,,Land and property (within or outside the UK),Joani Reid,5079,,,True,London,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9251
9929,,Property in Penmaenmawr,2024-08-03,2024-08-04,2024-09-02,Land and property (within or outside the UK),Claire Hughes,5113,,09/08/2024,False,Penmaenmawr,Bungalow,Co-owned with a family member.,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9929
7472,,Property in London,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Mr Bayo Alaba,5097,,,False,London,Flat,Co-owned with a family member,,,,7,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7472
9030,,Property in Leicestershire,2024-08-01,2024-08-04,,Land and property (within or outside the UK),Louise Jones,5258,,,True,Leicestershire,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9030
9048,,Property in Nottinghamshire,2024-08-01,2024-08-04,,Land and property (within or outside the UK),James Naish,5047,,,False,Nottinghamshire,,The land is part of The William Arthur Robinson Will Trust. I am one of two trustees,,,,,True,False,United Kingdom,Agricultural,,https://interests-api.parliament.uk/api/v1/Interests/9048
10170,,Property in Burnley,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Mr Adnan Hussain,5231,,,True,Burnley,House,,,,,2,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10170
9935,,Property in Hamburg,2024-08-03,2024-08-04,,Land and property (within or outside the UK),Julia Buckley,5171,,,False,Hamburg,1 bed Flat,Co-owned with 2 step-family members,,,,1,False,False,Germany,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9935
9867,,Property in London,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Mr Hamish Falconer,5148,,,True,London,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9867
10004,,Property in Ile-de-France,2024-08-03,2024-08-04,,Land and property (within or outside the UK),Victoria Collins,5201,,,True,Ile-de-France,Studio Flat,,,,,1,False,False,France,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10004
10034,,Property in Shotts,2024-08-04,2024-08-04,,Land and property (within or outside the UK),Kenneth Stevenson,5200,,,False,Shotts,End terraced house,Co-owned with my wife.,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/10034
7747,,Property in Isle of Arran,2024-08-03,2024-08-03,,Land and property (within or outside the UK),Alison Taylor,5093,,,False,Isle of Arran,Semi- detached cottage,Co-owned with two family members,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7747
7749,,Property in Andulucia,2024-08-03,2024-08-03,,Land and property (within or outside the UK),Alison Taylor,5093,,,False,Andulucia,Apartment,Co-owned with two other family members.,,,,1,False,False,Spain,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7749
7416,,Property in York,2024-08-03,2024-08-03,,Land and property (within or outside the UK),Alison Hume,5254,,,True,York,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7416
6519,,Property in London,2024-08-02,2024-08-02,,Land and property (within or outside the UK),Mr Alex Barros-Curtis,5175,,,False,London,,The property is co-owned with my spouse.,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6519
8619,,Property in Southampton,2024-08-02,2024-08-02,,Land and property (within or outside the UK),Satvir Kaur,5271,,,True,Southampton,house,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8619
6013,,Property in London,2024-08-02,2024-08-02,,Land and property (within or outside the UK),James Naish,5047,,,False,London,Flat,Co-owned with a family member,"The rental income is shared with a family member (71.5% to me, 28.5% to the family member in line with our property shares)",,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6013
7658,,Property in Derby,2024-08-02,2024-08-02,,Land and property (within or outside the UK),Baggy Shanker,5176,,,False,Derby,House,50% share with a family member,,,,2,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7658
9410,,Property in London,2024-08-02,2024-08-02,,Land and property (within or outside the UK),Catherine Atkinson,5143,,,False,London,Flat,Co-owned with a family member,Rental income is paid to my partner and myself,,,2,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/9410
8020,,Property in London,2024-08-02,2024-08-02,,Land and property (within or outside the UK),Emily Darlington,5139,,,False,London,Flat,Co-owned with spouse,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8020
8865,,Property in London,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Charlie Dewhirst,5169,01/08/2004,,True,London,Flat,,,01/10/2023,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8865
6696,,Property in Norfolk,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Adrian Ramsay,5320,,,False,Norfolk,House,Co-owned with a family member,Half the rental income is paid to the co-owner,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6696
7155,,Property in Luton,2024-07-31,2024-08-01,,Land and property (within or outside the UK),Dr Jeevun Sandher,5259,,,True,Luton,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7155
6439,,Property in London,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Sarah Coombes,5088,,,True,London,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6439
8140,,Property in London,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Charlie Maynard,5325,,,False,London,Flat,co-owned with wife,rental income is paid to me and my wife,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8140
8142,,Property in Upstate New York,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Charlie Maynard,5325,,,False,Upstate New York,House,co-owned with my wife,the rental income is paid to me and my wife,,,1,False,True,United States,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8142
7329,,Property in Atherstone,2024-07-26,2024-08-01,,Land and property (within or outside the UK),Rachel Taylor,5065,,,True,Atherstone,flat,,,,,2,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7329
6276,,Property in Aberdeen,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Al Carns,5235,,,False,Aberdeen,Flat,co-owned with my spouse,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6276
8137,,Property in Hampshire,2024-08-01,2024-08-01,,Land and property (within or outside the UK),Charlie Maynard,5325,,,False,Hampshire,House,Co-owned with three family members,rental income is paid by one family member to three family members,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8137
8567,,Property in London,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Liam Conlon,5132,,,True,London,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8567
8458,,Property in London,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Rupert Lowe,5158,,,True,London,Offices of J Brand,,,,,1,False,False,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/8458
8198,,Property in London,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Blake Stephenson,5100,,,False,London,,Co-owned with partner,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8198
8463,,Property in London,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Rupert Lowe,5158,,,True,London,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8463
8497,,Property in Cartegena,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Dr Jeevun Sandher,5259,,,False,Cartegena,,Co-owned with family member,,,,1,False,False,Spain,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8497
7006,,Property in Glasgow,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Torcuil Crichton,5246,,,True,Glasgow,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7006
8582,,"Property in Ferring, West Sussex",2024-07-31,2024-07-31,,Land and property (within or outside the UK),Aphra Brandreth,5241,,,False,"Ferring, West Sussex",House,Co-owned with my husband,The rental income is paid to both myself and my husband,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8582
8462,,Property in Oxford,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Rupert Lowe,5158,,,True,Oxford,Offices,,,,,1,False,False,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/8462
8586,,Property in London,2024-07-31,2024-07-31,2024-09-20,Land and property (within or outside the UK),Aphra Brandreth,5241,,,False,London,Ground floor Commercial property,Property is owned by the company of which both my husband and I are the joint company owners and directors.,The rental income is paid to the company of which both my husband and I are the joint owners and directors.,,,1,False,True,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/8586
7956,,Property in London,2024-07-29,2024-07-31,,Land and property (within or outside the UK),Nesil Caliskan,5180,,,False,London,,Co-owned with my partner,Half the rental income is paid to both me and my partner.,01/06/2021,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7956
8554,,Property in London,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Shockat Adam,5120,,,True,London,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8554
8468,,Property in Gloucestershire,2024-07-31,2024-07-31,,Land and property (within or outside the UK),Rupert Lowe,5158,,,True,Gloucestershire,,,,,,,True,False,United Kingdom,Agricultural,,https://interests-api.parliament.uk/api/v1/Interests/8468
7414,,Property in Colchester,2024-07-30,2024-07-30,,Land and property (within or outside the UK),Pam Cox,5042,,,False,Colchester,House,co-owned with a family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7414
8221,,"Property in Rochester, Kent",2024-07-30,2024-07-30,,Land and property (within or outside the UK),Tristan Osborne,5220,,,True,"Rochester, Kent",House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8221
6694,,Property in Hertfordshire,2024-07-30,2024-07-30,,Land and property (within or outside the UK),Jon Pearce,5115,,,False,Hertfordshire,,Joint owner,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6694
7480,,Property in Swindon,2024-07-26,2024-07-30,,Land and property (within or outside the UK),Heidi Alexander,4038,,,False,Swindon,House,Co-owned with a family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7480
6695,,Property in Derbyshire,2024-07-30,2024-07-30,,Land and property (within or outside the UK),Jon Pearce,5115,,,False,Derbyshire,,Joint owned,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6695
7702,,Property in Mojacar,2024-07-30,2024-07-30,,Land and property (within or outside the UK),David Williams,5151,,,False,Mojacar,Flat,Co-owned with friend.,,,,1,False,False,Spain,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7702
8151,,Property in London,2024-07-30,2024-07-30,,Land and property (within or outside the UK),Joe Powell,5229,,,True,London,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/8151
7759,,Property in London,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Andrew Pakes,5243,,,False,London,Home in London,Co-owned with partner,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7759
7222,,Property in East Lothian,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Mr Douglas Alexander,632,,,False,East Lothian,,Co-owned with my wife,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7222
7661,,Property in Edinburgh,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Imogen Walker,5136,,,True,Edinburgh,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7661
7411,,Property in Edinburgh,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Imogen Walker,5136,,,True,Edinburgh,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7411
7908,,Property in Alicante province,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Kirsteen Sullivan,5179,,,False,Alicante province,House,co-owned with family member,,,,1,False,False,Spain,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7908
7817,,Property in Tonypandy,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Helen Maguire,5336,,,True,Tonypandy,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7817
2609,,"Property in Islay, Argyll",2021-11-16,2024-07-29,2024-07-29,Land and property (within or outside the UK),Mr Alistair Carmichael,1442,10/11/2021,,True,"Islay, Argyll","Farmland including farm buildings and one house let as holiday accommodation, managed through Coillabus Farms",,income paid to my father,10/11/2021,,,True,True,United Kingdom,Agricultural,,https://interests-api.parliament.uk/api/v1/Interests/2609
7798,,Property in London,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Ms Julie Minns,5094,,,True,London,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7798
7928,,Property in Cowes,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Mr Richard Quigley,5144,,,False,Cowes,house,Co-owned with spouse,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7928
7223,,Property in Argyll,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Mr Douglas Alexander,632,,,False,Argyll,,Co-owned with sibling,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7223
7851,,Property in Merthyr Tydfil,2024-07-29,2024-07-29,,Land and property (within or outside the UK),Helen Maguire,5336,,,True,Merthyr Tydfil,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7851
6372,,Property in London,2024-07-26,2024-07-26,,Land and property (within or outside the UK),Anna Dixon,5281,,,False,London,House,Co-owned with husband,50% of rental income paid to my husband,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6372
7258,,"Property in Onamthuruthu, Kottayam, Kerala",2024-07-26,2024-07-26,,Land and property (within or outside the UK),Sojan Joseph,5247,,,True,"Onamthuruthu, Kottayam, Kerala",House,,,,,1,False,False,India,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7258
7628,,Property in Edinburgh,2024-07-26,2024-07-26,,Land and property (within or outside the UK),Richard Baker,5253,,,True,Edinburgh,Flat,,,,,4,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7628
7529,,Property in Wolverhampton,2024-07-25,2024-07-25,,Land and property (within or outside the UK),Warinder Juss,5230,,,True,Wolverhampton,Flat and house.,,,,,2,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7529
7403,,Property in Ulverston,2024-07-25,2024-07-25,,Land and property (within or outside the UK),Michelle Scrogham,5049,,,False,Ulverston,Retail premises and residential flat,Co-owned with family members,,,,1,False,False,United Kingdom,,Other,https://interests-api.parliament.uk/api/v1/Interests/7403
7476,,Property in Liverpool,2024-07-25,2024-07-25,,Land and property (within or outside the UK),Sadik Al-Hassan,5312,,,True,Liverpool,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7476
7334,,Property in Spennymoor,2024-07-25,2024-07-25,,Land and property (within or outside the UK),Mr Jonathan Brash,5045,,,False,Spennymoor,Bungalow with pool,Co-owned with a family member,,,,1,False,False,United Kingdom,,Business,https://interests-api.parliament.uk/api/v1/Interests/7334
6329,,Property in London and Norwich,2024-07-25,2024-07-25,,Land and property (within or outside the UK),Peter Prinsley,5163,,,False,London and Norwich,flat,co-owned with family member,,,,4,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6329
7473,,Property in Bath,2024-07-25,2024-07-25,,Land and property (within or outside the UK),Sadik Al-Hassan,5312,,,True,Bath,House,,99 percent of income is paid to my partner,,,1,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7473
6233,,Property in Ayr,2024-07-24,2024-07-24,,Land and property (within or outside the UK),Mr Angus MacDonald,5362,,,False,Ayr,forest,leased from family members,,,,1,False,False,United Kingdom,,Agricultural,https://interests-api.parliament.uk/api/v1/Interests/6233
6234,,Property in Stirling,2024-07-24,2024-07-24,,Land and property (within or outside the UK),Mr Angus MacDonald,5362,,,True,Stirling,Office building,,,,,1,False,False,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/6234
7087,,Property in London,2024-07-24,2024-07-24,,Land and property (within or outside the UK),Jas Athwal,5227,,,False,London,,Co-owned with family member,,,,3,False,False,United Kingdom,,Commercial,https://interests-api.parliament.uk/api/v1/Interests/7087
7084,,Property in London,2024-07-24,2024-07-24,,Land and property (within or outside the UK),Jas Athwal,5227,,,False,London,,Co-owned with family member,,,,15,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7084
7086,,Property in Bedfordshire,2024-07-24,2024-07-24,,Land and property (within or outside the UK),Jas Athwal,5227,,,False,Bedfordshire,,Co-owned with a family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/7086
6227,,Property in Doncaster,2024-07-23,2024-07-23,,Land and property (within or outside the UK),Lee Pitcher,5233,,,False,Doncaster,House,Co-owned with a family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6227
6597,,Property in Barton upon Humber,2024-07-23,2024-07-23,,Land and property (within or outside the UK),Sir Nicholas Dakin,4056,,,False,Barton upon Humber,flat,Co owned with family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6597
6896,,Property in Carmarthenshire,2024-07-22,2024-07-22,,Land and property (within or outside the UK),Ann Davies,5177,,,False,Carmarthenshire,,co-owned with family members,,,,,True,False,United Kingdom,Agricultural,,https://interests-api.parliament.uk/api/v1/Interests/6896
6897,,Property in Carmarthenshire,2024-07-22,2024-07-22,,Land and property (within or outside the UK),Ann Davies,5177,,,False,Carmarthenshire,house,co-owned by family members,,,,1,False,False,United Kingdom,,Business,https://interests-api.parliament.uk/api/v1/Interests/6897
6865,,Property in Preston,2024-07-22,2024-07-22,,Land and property (within or outside the UK),Mr Paul Foster,5074,,,True,Preston,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6865
6577,,Property in London,2024-07-18,2024-07-19,,Land and property (within or outside the UK),Mike Martin,5219,,,True,London,Flat,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6577
6740,,Property in Oxfordshire,2024-07-19,2024-07-19,,Land and property (within or outside the UK),Perran Moon,5208,,,True,Oxfordshire,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6740
6690,,Property in Northwich,2024-07-19,2024-07-19,,Land and property (within or outside the UK),Andy MacNae,5134,,,True,Northwich,,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6690
6760,,Property in Florida,2024-07-19,2024-07-19,,Land and property (within or outside the UK),Jim Allister,5356,,,False,Florida,House,co-owned with a family member,,,,1,False,False,United States,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6760
6758,,Property in Co. Londonderry,2024-07-19,2024-07-19,,Land and property (within or outside the UK),Jim Allister,5356,,,False,Co. Londonderry,House,co-owned with a family member,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6758
6515,,Property in Rushden,2024-07-17,2024-07-17,,Land and property (within or outside the UK),Mike Reader,5316,,,False,Rushden,House,Co-owned with my wife,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6515
6422,,Property in Gran Alacant,2024-07-16,2024-07-17,,Land and property (within or outside the UK),Kenneth Stevenson,5200,,,False,Gran Alacant,Flat,Co-owned with my wife,,,,1,False,False,Spain,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6422
6255,,Property in Northumberland,2024-07-15,2024-07-17,,Land and property (within or outside the UK),David Smith,5218,,,False,Northumberland,,Co-owned with a family member,The rental is paid to my family member,,,1,False,True,United Kingdom,,Business,https://interests-api.parliament.uk/api/v1/Interests/6255
6056,,Property in Birmingham,2024-07-10,2024-07-17,,Land and property (within or outside the UK),Ayoub Khan,5357,,,False,Birmingham,Rented houses,Co-owned with a family member,Part of the rental income is paid to my partner,,,2,False,True,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6056
6149,,Property in Suffolk,2024-07-17,2024-07-17,,Land and property (within or outside the UK),Patrick Spencer,5303,,,True,Suffolk,House,,,,,1,False,False,United Kingdom,,Residential,https://interests-api.parliament.uk/api/v1/Interests/6149
