ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType,Link_1
9973,,Vice Chair of the Stirling and Clackmannanshire City Region Deal Joint Committee.,2024-08-03,2024-10-10,2024-10-09,Miscellaneous,Chris Kane,5155,,24/09/2024,,Vice Chair of the Stirling and Clackmannanshire City Region Deal Joint Committee.,Other,https://interests-api.parliament.uk/api/v1/Interests/9973
6665,,"Trustee of Braehead, Broomridge and District Community Development Trust. This is an unpaid role.",2024-07-29,2024-10-10,2024-10-09,Miscellaneous,Chris Kane,5155,,27/09/2024,,"Trustee of Braehead, Broomridge and District Community Development Trust. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6665
9357,,Board Member of the Central Scotland Valuation Joint Board.,2024-08-02,2024-10-10,2024-10-09,Miscellaneous,Chris Kane,5155,,24/09/2024,,Board Member of the Central Scotland Valuation Joint Board.,Other,https://interests-api.parliament.uk/api/v1/Interests/9357
10982,,Unpaid director of Biopharma Technology Ltd.,2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of Biopharma Technology Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10982
10977,,Unpaid director of ICFDS Global.,2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of ICFDS Global.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10977
10978,,Unpaid director of AV Path Ltd.,2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of AV Path Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10978
9367,,Convention of Scottish Local Authorities (CoSLA).,2024-08-02,2024-10-10,2024-10-09,Miscellaneous,Chris Kane,5155,,24/09/2024,,Convention of Scottish Local Authorities (CoSLA).,Other,https://interests-api.parliament.uk/api/v1/Interests/9367
10979,,"Unpaid director of Lowe and Oliver Ltd (Electrical Installation, Plumbing, Heat and air-conditioning installation).",2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,"Unpaid director of Lowe and Oliver Ltd (Electrical Installation, Plumbing, Heat and air-conditioning installation).",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10979
9374,,Substitute Member of Scotland Excel Joint Committee.,2024-08-02,2024-10-10,2024-10-09,Miscellaneous,Chris Kane,5155,,24/09/2024,,Substitute Member of Scotland Excel Joint Committee.,Other,https://interests-api.parliament.uk/api/v1/Interests/9374
10976,,Unpaid director of Dripping Rock.,2024-10-10,2024-10-10,,Miscellaneous,Rupert Lowe,5158,,,,Unpaid director of Dripping Rock.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10976
10953,,Director of Labour First Ltd. This is an unpaid role.,2024-10-09,2024-10-09,,Miscellaneous,Gurinder Singh Josan,5059,26/09/2024,,,Director of Labour First Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10953
10884,,"Director, BID Huntingdon Ltd",2024-10-02,2024-10-08,,Miscellaneous,Ben Obese-Jecty,5089,13/09/2024,,,"Director, BID Huntingdon Ltd",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10884
10943,,Member of the Board of Directors of the Canadian Audit and Accountability Foundation. This is an unpaid role.,2024-10-08,2024-10-08,,Miscellaneous,Dame Meg Hillier,1524,26/09/2024,,,Member of the Board of Directors of the Canadian Audit and Accountability Foundation. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10943
10926,,Chairman of the United & Cecil Club. This is an unpaid role.,2024-10-07,2024-10-07,,Miscellaneous,Wendy Morton,4358,18/09/2024,,,Chairman of the United & Cecil Club. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10926
6015,,Public Governor of Gloucestershire NHS Hospitals Trust. This is an unpaid role.,2024-07-10,2024-10-04,2024-10-01,Miscellaneous,Matt Bishop,5323,01/08/2023,01/10/2024,,Public Governor of Gloucestershire NHS Hospitals Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6015
6691,,Labour Party representative on the Derby Museums Trust. This is an unpaid role.,2024-07-19,2024-10-04,2024-10-03,Miscellaneous,John Whitby,5342,,17/07/2024,,Labour Party representative on the Derby Museums Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6691
10898,,Vice President of The Association for Decentralised Energy,2024-10-03,2024-10-04,,Miscellaneous,James Naish,5047,04/09/2024,,,Vice President of The Association for Decentralised Energy,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10898
10894,,Director of Newhaven Fishing Community Interest Company. This is an unpaid role.,2024-10-03,2024-10-03,,Miscellaneous,James MacCleary,5265,01/09/2024,,,Director of Newhaven Fishing Community Interest Company. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10894
10879,,I am a member of Arbroath Town Board. This is an unpaid role.,2024-10-02,2024-10-02,,Miscellaneous,Stephen Gethins,4434,05/07/2024,,,I am a member of Arbroath Town Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10879
10857,,"Trustee of The Dartmouth Street Trust, which makes grants for the promotion of studies in political, economic and social science and cognate educational subjects, and for the promotion of education and dissemination of knowledge in such science and subjects.",2024-09-30,2024-09-30,,Miscellaneous,Jess Asato,5156,,,,"Trustee of The Dartmouth Street Trust, which makes grants for the promotion of studies in political, economic and social science and cognate educational subjects, and for the promotion of education and dissemination of knowledge in such science and subjects.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10857
10643,,Member of Norwich Town Deal Board. This is an unpaid role,2024-09-04,2024-09-30,,Miscellaneous,Alice Macdonald,5133,30/08/2024,,,Member of Norwich Town Deal Board. This is an unpaid role,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10643
10858,,"I remain a paid season ticket holder at Arsenal but, given security advice, the club has said it will find seats for my son and I in the Directors’ Box whenever practicable.",2024-09-30,2024-09-30,,Miscellaneous,Sir Keir Starmer,4514,27/09/2024,,The Arsenal Football Club Ltd,"I remain a paid season ticket holder at Arsenal but, given security advice, the club has said it will find seats for my son and I in the Directors’ Box whenever practicable.",Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/10858
10838,,Unpaid Directorship of New Ireland Commission Ltd. This is an unpaid role.,2024-09-27,2024-09-27,,Miscellaneous,Colum Eastwood,4846,30/08/2024,,,Unpaid Directorship of New Ireland Commission Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10838
8211,,"Councillor, London Borough of Bexley. This is an unpaid role.",2024-07-31,2024-09-27,2024-09-27,Miscellaneous,Daniel Francis,5184,,30/08/2024,,"Councillor, London Borough of Bexley. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8211
7089,,"Borough Councillor, Redcar and Cleveland Borough Council. This is an unpaid role.",2024-07-23,2024-09-27,2024-09-26,Miscellaneous,Luke Myer,5147,,05/09/2024,,"Borough Councillor, Redcar and Cleveland Borough Council. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/7089
10725,,"My husband, Marcus Whately, is Chief Executive of GrowUp Farms, a salad producer.",2024-09-17,2024-09-25,,Miscellaneous,Helen Whately,4527,,,,"My husband, Marcus Whately, is Chief Executive of GrowUp Farms, a salad producer.",Other,https://interests-api.parliament.uk/api/v1/Interests/10725
1816,,Envoy Extraordinaire of the University of Guyana. This is an unpaid role.,2020-09-30,2024-09-24,,Miscellaneous,Mr David Lammy,206,21/02/2020,10/09/2024,,Envoy Extraordinaire of the University of Guyana. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1816
1814,,"Unpaid adviser to Pomeroon Trading Inc, an environmentally sustainable company that grows and exports coconuts and agricultural produce. I provide advice on Guyana, the Caribbean and on the company’s community development fund. I hold share options below the level for registration under the category for shareholdings.",2024-09-24,2024-09-24,,Miscellaneous,Mr David Lammy,206,01/01/2019,10/09/2024,,"Unpaid adviser to Pomeroon Trading Inc, an environmentally sustainable company that grows and exports coconuts and agricultural produce. I provide advice on Guyana, the Caribbean and on the company’s community development fund. I hold share options below the level for registration under the category for shareholdings.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1814
10757,,Leas Ard Runaí (Deputy General Secretary) of Sinn Féin. I receive £1702.00 a month for this role. This is a part-time role.,2024-09-06,2024-09-19,,Miscellaneous,Dáire Hughes,5292,,,,Leas Ard Runaí (Deputy General Secretary) of Sinn Féin. I receive £1702.00 a month for this role. This is a part-time role.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10757
10703,,Honorary Vice President of the Local Government Association. This is an unpaid role.,2024-09-17,2024-09-17,,Miscellaneous,Shaun Davies,5041,12/09/2024,,,Honorary Vice President of the Local Government Association. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10703
10805,,"Councillor, London Borough of Lambeth. This is an unpaid role.",2024-09-16,2024-09-16,,Miscellaneous,Jim Dickson,5223,,,,"Councillor, London Borough of Lambeth. This is an unpaid role.",Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10805
10685,,Councillor for Cherwell District Council. This is an unpaid role.,2024-08-28,2024-09-11,,Miscellaneous,Sean Woodcock,5328,,05/07/2024,,Councillor for Cherwell District Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10685
10745,,Member of Dawlish Town Council. This is an unpaid role.,2024-09-11,2024-09-11,,Miscellaneous,Martin Wrigley,5111,,,,Member of Dawlish Town Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10745
6133,,School Committee Member (Governor). This is an unpaid role.,2024-08-11,2024-09-10,2024-09-06,Miscellaneous,Vikki Slade,5327,05/07/2024,30/07/2024,,School Committee Member (Governor). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6133
10648,,I am a none practicing and unpaid solicitor.,2024-09-05,2024-09-10,,Miscellaneous,Shaun Davies,5041,,,,I am a none practicing and unpaid solicitor.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10648
6392,,"Director, Greenock Arts Guild (Beacon Arts Centre). This is an unpaid role.",2024-07-16,2024-09-10,2024-09-06,Miscellaneous,Martin McCluskey,5129,,06/09/2024,,"Director, Greenock Arts Guild (Beacon Arts Centre). This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6392
10656,,Directorship of Reform UK Party Ltd,2024-09-08,2024-09-10,,Miscellaneous,Richard Tice,5161,05/07/2024,,,Directorship of Reform UK Party Ltd,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10656
6135,,Company Director - Seascape Group (BCP Council Property Company. As Leader I was appointed to the Board automatically). This is an unpaid role.,2024-07-11,2024-09-10,2024-09-06,Miscellaneous,Vikki Slade,5327,05/07/2024,15/08/2024,,Company Director - Seascape Group (BCP Council Property Company. As Leader I was appointed to the Board automatically). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6135
6818,,"Trustee, Watt Institution Trust Fund. This is an unpaid role.",2024-07-22,2024-09-10,2024-09-04,Miscellaneous,Martin McCluskey,5129,,04/09/2024,,"Trustee, Watt Institution Trust Fund. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6818
10493,,Rental income from lodger under Ukraine Family Scheme,2024-09-06,2024-09-06,,Miscellaneous,Vikki Slade,5327,05/07/2024,,,Rental income from lodger under Ukraine Family Scheme,Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/10493
8426,,I am a trustee of  a charity called GrandFriends,2024-08-12,2024-09-02,,Miscellaneous,Anna Sabine,5286,04/07/2024,,,I am a trustee of  a charity called GrandFriends,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8426
10375,,Trustee of Clay Cross Foodbank,2024-08-07,2024-09-02,,Miscellaneous,Louise Jones,5258,13/05/2024,,,Trustee of Clay Cross Foodbank,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10375
10526,,"Unpaid Councillor, Swindon Borough Council.",2024-08-27,2024-09-02,,Miscellaneous,Will Stone,5035,,,,"Unpaid Councillor, Swindon Borough Council.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10526
10597,,Unpaid directorship of Thorn In The Side Limited,2024-08-29,2024-09-02,,Miscellaneous,Nigel Farage,5091,,,,Unpaid directorship of Thorn In The Side Limited,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10597
10311,,Directorship of a company not trading - Sole director of MCS Electrical Project Ltd,2024-08-05,2024-09-02,,Miscellaneous,Markus Campbell-Savours,5124,,,,Directorship of a company not trading - Sole director of MCS Electrical Project Ltd,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10311
10512,,"Deputy Chairman of the United and Cecil Club; unpaid, honorary, role, with no control or power over the distribution of funds.",2024-08-21,2024-09-02,,Miscellaneous,Edward Argar,4362,25/07/2024,,United and Cecil Club,"Deputy Chairman of the United and Cecil Club; unpaid, honorary, role, with no control or power over the distribution of funds.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10512
10378,,Professional status as barrister with valid practicing certificate.,2024-08-07,2024-09-02,,Miscellaneous,Tony Vaughan,5067,05/07/2024,,,Professional status as barrister with valid practicing certificate.,Other,https://interests-api.parliament.uk/api/v1/Interests/10378
10469,,A Patron of Erith Town Football Club: this is an unpaid role,2024-08-14,2024-09-02,,Miscellaneous,Ms Abena Oppong-Asare,4820,13/08/2024,,,A Patron of Erith Town Football Club: this is an unpaid role,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10469
1503,,"A Trustee of Stamford Park Trust, a multi-academy trust based in Greater Manchester.",2022-11-14,2024-09-02,2024-08-22,Miscellaneous,Jonathan Reynolds,4119,16/08/2020,13/08/2024,,"A Trustee of Stamford Park Trust, a multi-academy trust based in Greater Manchester.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1503
6755,,Elected Member of Fife Council,2024-08-12,2024-09-02,,Miscellaneous,Graeme Downie,5275,04/07/2024,21/07/2024,,Elected Member of Fife Council,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6755
10502,,Unpaid director of Company [name redacted].,2024-08-18,2024-09-02,,Miscellaneous,Helen Maguire,5336,,,,Unpaid director of Company [name redacted].,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10502
10308,,Member of the Royal College of Nursing.,2024-08-05,2024-09-02,,Miscellaneous,Pat Cullen,5261,,,,Member of the Royal College of Nursing.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10308
10369,,Trustee of RJS Tice Family Settlement,2024-08-07,2024-09-02,,Miscellaneous,Richard Tice,5161,04/07/2024,,,Trustee of RJS Tice Family Settlement,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10369
10628,,"Councillor, Isle of Wight Council",2024-07-11,2024-09-02,,Miscellaneous,Mr Richard Quigley,5144,,,,"Councillor, Isle of Wight Council",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10628
10495,,Vice Chair of the Campaign for Gender Balance - Associated Organisation for Liberal Democrats,2024-08-17,2024-09-02,,Miscellaneous,Vikki Slade,5327,05/07/2024,,,Vice Chair of the Campaign for Gender Balance - Associated Organisation for Liberal Democrats,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10495
10601,,Trustee of Youth Concern Trust. This is an unpaid role.,2024-08-30,2024-09-02,,Miscellaneous,Chris Vince,5237,19/08/2024,,,Trustee of Youth Concern Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10601
9464,,Registered with the Gambling Commission as one of the responsible persons on two society licenses issued to the Labour Party. This is an unpaid role.,2024-08-02,2024-09-02,2024-08-16,Miscellaneous,Mr Alex Barros-Curtis,5175,,05/08/2024,,Registered with the Gambling Commission as one of the responsible persons on two society licenses issued to the Labour Party. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9464
10629,,Non-practicing solicitor.,2024-09-02,2024-09-02,,Miscellaneous,Warinder Juss,5230,,,,Non-practicing solicitor.,Other,https://interests-api.parliament.uk/api/v1/Interests/10629
10494,,Member of the Western Counties Executive of Liberal Democrats: unpaid role,2024-08-17,2024-09-02,,Miscellaneous,Vikki Slade,5327,05/07/2024,,,Member of the Western Counties Executive of Liberal Democrats: unpaid role,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10494
10314,,Crowdfunder,2024-08-05,2024-09-02,,Miscellaneous,Alex Davies-Jones,4849,31/05/2024,28/06/2024,,Crowdfunder,Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/10314
10377,,"Member of the board, The Conservative Party.",2024-08-07,2024-09-02,,Miscellaneous,Mark Garnier,4074,18/07/2024,,,"Member of the board, The Conservative Party.",Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10377
9810,,Director of Hope not Hate Ltd. This is an unpaid role.,2024-08-06,2024-09-02,,Miscellaneous,Antonia Bance,5048,,,,Director of Hope not Hate Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9810
10409,,Trustee of Basildon Pride CIO,2024-08-09,2024-09-02,,Miscellaneous,David Burton-Sampson,5106,08/08/2024,,,Trustee of Basildon Pride CIO,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10409
6016,,Committee Member of Cinderford Town Football Club. This is an unpaid role.,2024-07-10,2024-09-02,,Miscellaneous,Matt Bishop,5323,,20/08/2024,,Committee Member of Cinderford Town Football Club. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6016
6134,,Board Member of Dorset Local Enterprise Partnership. This is an unpaid role.,2024-07-17,2024-09-02,2024-09-06,Miscellaneous,Vikki Slade,5327,,17/08/2024,,Board Member of Dorset Local Enterprise Partnership. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6134
8175,,"I am currently a borough councillor. I asked the Council to stop paying my allowance from 4 July (when I was elected) onwards. The allowance up to this date, does not meet the threshold to be registered.",2024-08-30,2024-08-30,,Miscellaneous,John Slinger,5127,,04/07/2024,,"I am currently a borough councillor. I asked the Council to stop paying my allowance from 4 July (when I was elected) onwards. The allowance up to this date, does not meet the threshold to be registered.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8175
8077,,Board member of the World Fair Trade Organization - Europe,2024-08-30,2024-08-30,,Miscellaneous,Martin Rhodes,5251,04/07/2024,24/07/2024,,Board member of the World Fair Trade Organization - Europe,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8077
9937,,Unpaid directorship of a private company (Space Republic Limited),2024-08-03,2024-08-04,2024-09-02,Miscellaneous,Claire Hughes,5113,,05/08/2024,,Unpaid directorship of a private company (Space Republic Limited),Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9937
9944,,Councillor in the London Borough of Tower Hamlets.,2024-08-03,2024-08-04,,Miscellaneous,Rachel Blake,5257,,26/07/2024,,Councillor in the London Borough of Tower Hamlets.,Other,https://interests-api.parliament.uk/api/v1/Interests/9944
9722,,Fellowship of the Royal Institution of Chartered Surveyors.,2024-08-03,2024-08-04,,Miscellaneous,Alison Taylor,5093,,,,Fellowship of the Royal Institution of Chartered Surveyors.,Other,https://interests-api.parliament.uk/api/v1/Interests/9722
9530,,"Fellow at the Center for Advanced Security, Strategic and Integration Studies (CASSIS) at the University of Bonn. This is an unpaid role.",2024-08-02,2024-08-04,,Miscellaneous,Stephen Gethins,4434,,,,"Fellow at the Center for Advanced Security, Strategic and Integration Studies (CASSIS) at the University of Bonn. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9530
9154,,Co-Leader of the Green Party (England and Wales). This is a non-executive part-time role.,2024-08-03,2024-08-04,,Miscellaneous,Adrian Ramsay,5320,,,,Co-Leader of the Green Party (England and Wales). This is a non-executive part-time role.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/9154
9216,,Director of Dalmellington Parish Development trust. This is an unpaid role.,2024-08-02,2024-08-04,,Miscellaneous,Elaine Stewart,5206,,,,Director of Dalmellington Parish Development trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9216
10233,,"Honorary surgeon, NHS Greater Glasgow and Clyde",2024-08-04,2024-08-04,,Miscellaneous,Dr Zubir Ahmed,5213,,,,"Honorary surgeon, NHS Greater Glasgow and Clyde",Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10233
10052,,LGBT+ Officer of Gedling Constituency Labour Party.,2024-08-04,2024-08-04,,Miscellaneous,Michael Payne,5146,,,,LGBT+ Officer of Gedling Constituency Labour Party.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10052
10209,,Member of Euston Partnership Board - this was in my capacity as leader of Camden Council so ceased when I stood down from this role.,2024-08-04,2024-08-04,,Miscellaneous,Georgia Gould,5305,10/07/2024,11/07/2024,,Member of Euston Partnership Board - this was in my capacity as leader of Camden Council so ceased when I stood down from this role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10209
10166,,Associate member of Deka Chambers.,2024-08-04,2024-08-04,,Miscellaneous,Jake Richards,5082,,,,Associate member of Deka Chambers.,Other,https://interests-api.parliament.uk/api/v1/Interests/10166
10010,,Unpaid role as elected councillor on Bridgnorth Town council.,2024-08-03,2024-08-04,,Miscellaneous,Julia Buckley,5171,,,,Unpaid role as elected councillor on Bridgnorth Town council.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10010
9718,,Fellow of the Faculty of Public Health.,2024-08-03,2024-08-04,,Miscellaneous,Dr Beccy Cooper,5307,,,,Fellow of the Faculty of Public Health.,Other,https://interests-api.parliament.uk/api/v1/Interests/9718
9617,,Membership of the legal profession as a solicitor.,2024-08-02,2024-08-04,,Miscellaneous,Lucy Rigby,5333,,,,Membership of the legal profession as a solicitor.,Other,https://interests-api.parliament.uk/api/v1/Interests/9617
9105,,Member of the District Councils' Network as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,2024-08-02,2024-08-04,,Miscellaneous,James Naish,5047,,25/07/2024,,Member of the District Councils' Network as a result of being the Leader of Bassetlaw District Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9105
10211,,Member of Euston Business Improvement District Board,2024-08-04,2024-08-04,,Miscellaneous,Georgia Gould,5305,,30/07/2024,,Member of Euston Business Improvement District Board,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10211
10007,,Unpaid directorship of Home Grown Life Ltd.,2024-08-03,2024-08-04,,Miscellaneous,Victoria Collins,5201,,,,Unpaid directorship of Home Grown Life Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10007
9741,,Non-practising solicitor (regulated by the Solicitor's Regulatory Authority).,2024-08-03,2024-08-04,,Miscellaneous,Alex McIntyre,5349,,,,Non-practising solicitor (regulated by the Solicitor's Regulatory Authority).,Other,https://interests-api.parliament.uk/api/v1/Interests/9741
9720,,Shares in a privately owned company - Avison Young Canada Inc.,2024-08-03,2024-08-04,,Miscellaneous,Alison Taylor,5093,,,,Shares in a privately owned company - Avison Young Canada Inc.,Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/9720
9522,,Chair of the Labour Friends of Kosovo group,2024-08-02,2024-08-04,,Miscellaneous,Mrs Emma Lewell-Buck,4277,23/07/2024,,,Chair of the Labour Friends of Kosovo group,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9522
9217,,Unpaid director for the local community-run post office.,2024-08-02,2024-08-04,,Miscellaneous,Elaine Stewart,5206,,,,Unpaid director for the local community-run post office.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9217
