ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType
8846,,Elected Member Glasgow City Council. This is an unpaid role.,01/08/2024,04/08/2024,,Miscellaneous,Maureen Burke,5137,,,,Elected Member Glasgow City Council. This is an unpaid role.,Unpaid role
8617,,"Company director, Saibick Investments Ltd.",31/07/2024,04/08/2024,,Miscellaneous,Aphra Brandreth,5241,,,,"Company director, Saibick Investments Ltd.",Other
8621,,Chair of West London Waste Authority. This is an unpaid role.,01/08/2024,04/08/2024,,Miscellaneous,Deirdre Costigan,5075,,31/07/2024,,Chair of West London Waste Authority. This is an unpaid role.,Unpaid role
8697,,Co-opted Governor for Elysium Training. This is an unpaid role.,31/07/2024,04/08/2024,,Miscellaneous,Jo Platt,4673,,,,Co-opted Governor for Elysium Training. This is an unpaid role.,Unpaid role
8329,,"Non Executive Board Member, Larger Us. This is an unpaid role.",01/08/2024,04/08/2024,,Miscellaneous,Kirsty McNeill,5114,,11/07/2024,,"Non Executive Board Member, Larger Us. This is an unpaid role.",Unpaid role
8330,,"Non Executive Board Member, Labour Climate and Environment Forum (LCEF). This is an unpaid role.",01/08/2024,04/08/2024,,Miscellaneous,Kirsty McNeill,5114,,11/07/2024,,"Non Executive Board Member, Labour Climate and Environment Forum (LCEF). This is an unpaid role.",Unpaid role
8706,,"Director of Pride In Leigh CIC, an organisation that hosts Pride events in Leigh. This is an unpaid role.",31/07/2024,04/08/2024,,Miscellaneous,Jo Platt,4673,,,,"Director of Pride In Leigh CIC, an organisation that hosts Pride events in Leigh. This is an unpaid role.",Unpaid role
8343,,Trustee of Bishop Auckland Community Partnership (Four Clocks Centre). This is an unpaid role.,30/07/2024,04/08/2024,,Miscellaneous,Sam Rushworth,5108,,,,Trustee of Bishop Auckland Community Partnership (Four Clocks Centre). This is an unpaid role.,Unpaid role
8711,,"Treasurer, Leedstown Cricket Club. This is an unpaid role.",04/08/2024,04/08/2024,,Miscellaneous,Andrew George,227,,,,"Treasurer, Leedstown Cricket Club. This is an unpaid role.",Unpaid role
8417,,Chair of Stop Uyghur Genocide Charity. This is an unpaid role.,31/07/2024,04/08/2024,,Miscellaneous,Blair McDougall,5076,,,,Chair of Stop Uyghur Genocide Charity. This is an unpaid role.,Unpaid role
8418,,Unpaid Director of Uyghur Campaign Ltd.,31/07/2024,04/08/2024,,Miscellaneous,Blair McDougall,5076,,,,Unpaid Director of Uyghur Campaign Ltd.,Unpaid role
8464,,School governor. This is an unpaid role.,31/07/2024,04/08/2024,,Miscellaneous,Mrs Sarah Russell,5324,,12/07/2024,,School governor. This is an unpaid role.,Unpaid role
8491,,"Board member and trustee, Flourishing Faifley charity. This is an unpaid role.",31/07/2024,04/08/2024,,Miscellaneous,Douglas McAllister,5057,,,,"Board member and trustee, Flourishing Faifley charity. This is an unpaid role.",Unpaid role
8799,,"Director, 30th State Productions Limited",01/08/2024,04/08/2024,,Miscellaneous,Alan Gemmell,5185,,,,"Director, 30th State Productions Limited",Other
8488,,Non practising Solicitor (qualified in Scotland).,31/07/2024,04/08/2024,,Miscellaneous,Douglas McAllister,5057,,,,Non practising Solicitor (qualified in Scotland).,Unpaid role
8131,,"In my role as the Metro Mayor of the West of England I am a chair/member of the following committees and boards:
West of England Mayoral Combined Authority Committee; Temple Quarter Strategic Board; West of England LEP Board; Regional Capital Board; West of England Mayoral Combined Authority Joint Skills and Business Boards, Joint Transport, Housing & Planning Boards, and the Climate & Nature Action Panel.",30/07/2024,04/08/2024,,Miscellaneous,Dan Norris,221,,,,"In my role as the Metro Mayor of the West of England I am a chair/member of the following committees and boards:
West of England Mayoral Combined Authority Committee; Temple Quarter Strategic Board; West of England LEP Board; Regional Capital Board; West of England Mayoral Combined Authority Joint Skills and Business Boards, Joint Transport, Housing & Planning Boards, and the Climate & Nature Action Panel.",Unpaid role
8153,,Chairperson of the Farmers Union of Wales - Carmarthenshire branch. This is an unpaid role.,30/07/2024,04/08/2024,,Miscellaneous,Ann Davies,5177,,,,Chairperson of the Farmers Union of Wales - Carmarthenshire branch. This is an unpaid role.,Unpaid role
1811,,Barrister (non-practising).,,04/08/2024,,Miscellaneous,Mr David Lammy,206,,,,Barrister (non-practising).,Other
1570,,Unpaid director of Brockthorpe Consultancy Ltd; consultants and rural surveyors. This is the umbrella company of Brockthorpe Consultancy RM.,09/01/2020,04/08/2024,03/08/2024,Miscellaneous,Robbie Moore,4861,13/12/2019,17/11/2023,,Unpaid director of Brockthorpe Consultancy Ltd; consultants and rural surveyors. This is the umbrella company of Brockthorpe Consultancy RM.,Unpaid role
1657,,Member of the Wolverhampton Town Board. This is an unpaid role.,04/02/2020,04/08/2024,17/07/2024,Miscellaneous,Stuart Anderson,4742,,,,Member of the Wolverhampton Town Board. This is an unpaid role.,Unpaid role
1818,,"Associate Tenant, Doughty Street Chambers. This is an unpaid role.",30/09/2020,04/08/2024,,Miscellaneous,Mr David Lammy,206,01/06/2020,,,"Associate Tenant, Doughty Street Chambers. This is an unpaid role.",Unpaid role
1822,,Visiting Professor in Practice at the London School of Economics and Political Science. This is an unpaid role.,30/09/2020,04/08/2024,04/08/2024,Miscellaneous,Mr David Lammy,206,07/09/2020,,,Visiting Professor in Practice at the London School of Economics and Political Science. This is an unpaid role.,Unpaid role
1824,,"Professor of Practice at SOAS, University of London. This is an unpaid role.",09/08/2021,04/08/2024,04/08/2024,Miscellaneous,Mr David Lammy,206,28/07/2021,,,"Professor of Practice at SOAS, University of London. This is an unpaid role.",Unpaid role
1893,,"A member of the Board of Governors of the Institute for Government, a UK thinktank. This is an unpaid role.",16/03/2023,04/08/2024,01/08/2024,Miscellaneous,Dame Angela Eagle,491,16/03/2023,18/07/2024,,"A member of the Board of Governors of the Institute for Government, a UK thinktank. This is an unpaid role.",Unpaid role
2095,,Director of the Lionel Cooke Memorial Fund Ltd. This is an unpaid role.,14/03/2023,04/08/2024,01/08/2024,Miscellaneous,Wes Streeting,4504,19/01/2017,10/07/2024,,Director of the Lionel Cooke Memorial Fund Ltd. This is an unpaid role.,Unpaid role
2096,,Executive Committee member of the Fabian Society. This is an unpaid role.,14/03/2023,04/08/2024,01/08/2024,Miscellaneous,Wes Streeting,4504,16/11/2019,10/07/2024,,Executive Committee member of the Fabian Society. This is an unpaid role.,Unpaid role
3487,,"Chairman of the Conservative Party. This post carries a salary of £69,000 per annum.",16/11/2023,04/08/2024,04/08/2024,Miscellaneous,Mr Richard Holden,4813,13/11/2023,08/07/2024,,"Chairman of the Conservative Party. This post carries a salary of £69,000 per annum.",Formal role with a party organisation
3488,,A director of C&UCO Properties. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,16/11/2023,04/08/2024,04/08/2024,Miscellaneous,Mr Richard Holden,4813,13/11/2023,08/07/2024,,A director of C&UCO Properties. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,Unpaid role
3489,,A director of C&UCO Management Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,16/11/2023,04/08/2024,04/08/2024,Miscellaneous,Mr Richard Holden,4813,13/11/2023,08/07/2024,,A director of C&UCO Management Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,Unpaid role
3490,,A director of C&UCO Services Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,16/11/2023,04/08/2024,04/08/2024,Miscellaneous,Mr Richard Holden,4813,13/11/2023,08/07/2024,,A director of C&UCO Services Limited. This is an unpaid role that is attached to my position as Chairman of the Conservative Party.,Unpaid role
5655,,Member of the House Magazine Advisory Board. This is an unpaid role.,08/05/2024,04/08/2024,02/08/2024,Miscellaneous,Dame Meg Hillier,1524,17/03/2021,30/05/2024,,Member of the House Magazine Advisory Board. This is an unpaid role.,Unpaid role
6665,,"Trustee of Braehead, Broomridge and District Community Development Trust. This is an unpaid role.",29/07/2024,04/08/2024,,Miscellaneous,Chris Kane,5155,,,,"Trustee of Braehead, Broomridge and District Community Development Trust. This is an unpaid role.",Unpaid role
6667,,Director of Stirling Technology Projects Ltd. This is an unpaid role.,29/07/2024,04/08/2024,,Miscellaneous,Chris Kane,5155,,,,Director of Stirling Technology Projects Ltd. This is an unpaid role.,Unpaid role
7182,,"Elected Councillor, Watford Borough Council. This is an unpaid role.",30/07/2024,04/08/2024,,Miscellaneous,Matt Turmaine,5130,,,,"Elected Councillor, Watford Borough Council. This is an unpaid role.",Unpaid role
8164,,Chair Governance and Scrutiny Committee. This is an unpaid role.,04/08/2024,04/08/2024,,Miscellaneous,Lillian Jones,5043,,,,Chair Governance and Scrutiny Committee. This is an unpaid role.,Unpaid role
8192,,"School governor for Grange Primary School, Ealing. This is an unpaid role.",30/07/2024,04/08/2024,,Miscellaneous,Peter Swallow,5165,,05/07/2024,,"School governor for Grange Primary School, Ealing. This is an unpaid role.",Unpaid role
8226,,"School Governor, Kingsford School, Beckton, Newham. This is an unpaid role.",30/07/2024,04/08/2024,,Miscellaneous,James Asser,5211,,,,"School Governor, Kingsford School, Beckton, Newham. This is an unpaid role.",Unpaid role
8227,,"Trustee of the registered charity, Drug Science. This is an unpaid role.",30/07/2024,04/08/2024,,Miscellaneous,Jeff Smith,4456,,,,"Trustee of the registered charity, Drug Science. This is an unpaid role.",Unpaid role
8250,,"Unpaid Director, Community Conversations Ltd.",30/07/2024,04/08/2024,,Miscellaneous,Daniel Francis,5184,,,,"Unpaid Director, Community Conversations Ltd.",Financial interest or material benefit
8257,,Councillor on Hertford Town Council. This is an unpaid role.,30/07/2024,04/08/2024,,Miscellaneous,Josh Dean,5187,,08/07/2024,,Councillor on Hertford Town Council. This is an unpaid role.,Unpaid role
8325,,Chair of the Advisory Board - Our Scottish Future (OSF). This is an unpaid role.,01/08/2024,04/08/2024,,Miscellaneous,Kirsty McNeill,5114,,11/07/2024,,Chair of the Advisory Board - Our Scottish Future (OSF). This is an unpaid role.,Unpaid role
6595,,"Unpaid director of [redacted] Management Company, a property management company.",30/07/2024,04/08/2024,,Miscellaneous,Tom Rutland,5222,,,,"Unpaid director of [redacted] Management Company, a property management company.",Unpaid role
7208,,"Company Director, DeCantelo Ltd.",04/08/2024,04/08/2024,,Miscellaneous,Peter Fortune,5209,,,,"Company Director, DeCantelo Ltd.",Financial interest or material benefit
9151,,Unpaid director of a property management company.,01/08/2024,04/08/2024,,Miscellaneous,Fred Thomas,5174,,,,Unpaid director of a property management company.,Unpaid role
9269,,Member of the [redacted] Housing Association.,02/08/2024,04/08/2024,,Miscellaneous,Ellie Chowns,5249,,,,Member of the [redacted] Housing Association.,Other
9528,,Attendee of the Royal College of Defence Studies Global Strategy Programme '25,02/08/2024,04/08/2024,,Miscellaneous,Mrs Emma Lewell-Buck,4277,16/07/2024,18/07/2025,,Attendee of the Royal College of Defence Studies Global Strategy Programme '25,Unpaid role
10358,,"Councillor, London Borough of Ealing. I do not receive an allowance for this role.",04/08/2024,04/08/2024,,Miscellaneous,Deirdre Costigan,5075,,,,"Councillor, London Borough of Ealing. I do not receive an allowance for this role.",Unpaid role
8286,,Trustee of Shu Discretionary Trust. This is an unpaid role.,30/07/2024,04/08/2024,,Miscellaneous,Shockat Adam,5120,,,,Trustee of Shu Discretionary Trust. This is an unpaid role.,Unpaid role
9852,,"Director/Secretary, Labour First Ltd. This is an unpaid role.",03/08/2024,04/08/2024,,Miscellaneous,Luke Akehurst,5112,,,,"Director/Secretary, Labour First Ltd. This is an unpaid role.",Unpaid role
9856,,"Director, Labour to Win Ltd. This is an unpaid role.",03/08/2024,04/08/2024,,Miscellaneous,Luke Akehurst,5112,,,,"Director, Labour to Win Ltd. This is an unpaid role.",Unpaid role
9931,,"Trustee, Friends of Labour Students. This is an unpaid role.",03/08/2024,04/08/2024,,Miscellaneous,Luke Akehurst,5112,,,,"Trustee, Friends of Labour Students. This is an unpaid role.",Unpaid role
8231,,"Member of Labour Party National Executive Committee
Chair of NEC 2023-2024.",30/07/2024,04/08/2024,,Miscellaneous,James Asser,5211,,05/07/2024,,"Member of Labour Party National Executive Committee
Chair of NEC 2023-2024.",Formal role with a party organisation
8233,,Auditor LGBT+ Labour.,30/07/2024,04/08/2024,,Miscellaneous,James Asser,5211,,20/07/2024,,Auditor LGBT+ Labour.,Formal role with a party organisation
10154,,Non-practicing barrister and Associate Member at Deka Chambers.,04/08/2024,04/08/2024,,Miscellaneous,Catherine Atkinson,5143,,,,Non-practicing barrister and Associate Member at Deka Chambers.,Unpaid role
10155,,Chair of the Society of Labour Lawyers. This is an unpaid role.,04/08/2024,04/08/2024,,Miscellaneous,Catherine Atkinson,5143,,,,Chair of the Society of Labour Lawyers. This is an unpaid role.,Unpaid role
10160,,Unpaid director of company set up by four leaseholders who jointly own the freehold of the building.,04/08/2024,04/08/2024,,Miscellaneous,Catherine Atkinson,5143,,,,Unpaid director of company set up by four leaseholders who jointly own the freehold of the building.,Unpaid role
10022,,"Director of Labour Networks Ltd - a dormant, non-trading company.",04/08/2024,04/08/2024,,Miscellaneous,Lewis Atkinson,5028,,,,"Director of Labour Networks Ltd - a dormant, non-trading company.",Other
10177,,Director of Youth Battersea CIC. This is an unpaid role.,04/08/2024,04/08/2024,,Miscellaneous,Alex Baker,5173,,,,Director of Youth Battersea CIC. This is an unpaid role.,Unpaid role
9808,,Director (voluntary) of Generation Rent (National Private Tenants Organisation Ltd). This is an unpaid role.,03/08/2024,04/08/2024,,Miscellaneous,Antonia Bance,5048,,10/07/2024,,Director (voluntary) of Generation Rent (National Private Tenants Organisation Ltd). This is an unpaid role.,Unpaid role
9691,,Director of Myriad Consultants Limited. This is an unpaid role.,03/08/2024,04/08/2024,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,Director of Myriad Consultants Limited. This is an unpaid role.,Unpaid role
9689,,Director of Movement for Another Future Limited. This is an unpaid role.,03/08/2024,04/08/2024,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,Director of Movement for Another Future Limited. This is an unpaid role.,Unpaid role
9695,,"Practising solicitor registered on the Solicitors Register. Currently, this is an unpaid role.",03/08/2024,04/08/2024,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,"Practising solicitor registered on the Solicitors Register. Currently, this is an unpaid role.",Unpaid role
10118,,Member of NRLA (National Residential Landlords Association). This is an unpaid role.,04/08/2024,04/08/2024,,Miscellaneous,Mr Alex Barros-Curtis,5175,,,,Member of NRLA (National Residential Landlords Association). This is an unpaid role.,Unpaid role
