ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy
8489,,Shares in Insurance Capital Partners Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Insurance Capital Partners Ltd,Owner of Lloyds of London syndicate capital,,
8487,,Shares in Many Pets Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Many Pets Ltd,Online pet insurer,,
8492,,Shares in Ossiform Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Ossiform Ltd,Early stage 3D bone printing technology,,
8494,,Shares in Unibio Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Unibio Ltd,Early stage protein production company,,
8496,,Shares in SAFETONET Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,SAFETONET Ltd,Online child safety software developer,,
8499,,Shares in ATLANT3D Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,ATLANT3D Ltd,"Atomic layer advance manufacturing, early stage EIS",,
8513,,Shares in Black Cat Syndicate Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Black Cat Syndicate Ltd,ASX listed gold mining business in Western Australia,,
8420,,Shares in Cassia Holdings Ltd,31/07/2024,31/07/2024,,Shareholdings,Anna Sabine,5286,(i) Shareholdings: over 15% of issued share capital,,,Cassia Holdings Ltd,Holding company,,
8505,,Shares in Blue Bird Holdings Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Blue Bird Holdings Ltd,Ethiopian investment holding company,,
8611,,Shares in Westwood Strategies Limited,31/07/2024,31/07/2024,,Shareholdings,Mary Creagh,1579,(i) Shareholdings: over 15% of issued share capital,,,Westwood Strategies Limited,Sustainability advisory,,
8503,,Shares in Pangaea Group Holdings Ltd,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,"(ii) Other shareholdings, valued at more than £70,000",,,Pangaea Group Holdings Ltd,"Insurance holding company, funded through Pangea Loanco Ltd",,
8478,,Shares in Alto Investments and Property Limited,31/07/2024,31/07/2024,,Shareholdings,Rupert Lowe,5158,(i) Shareholdings: over 15% of issued share capital,,,Alto Investments and Property Limited,Owner of the offices of Alto Energy Limited,,
8063,,Shares in Grow Movement Ltd,30/07/2024,30/07/2024,,Shareholdings,Chris Coghlan,5198,(i) Shareholdings: over 15% of issued share capital,,,Grow Movement Ltd,Remote coaching services for social entrepreneurs.,,
8244,,Shares in Bank View Solicitors Limited,30/07/2024,30/07/2024,,Shareholdings,Mr Adnan Hussain,5231,(i) Shareholdings: over 15% of issued share capital,,,Bank View Solicitors Limited,,,
8338,,Shares in Adnaan Iqbal Mohamed Consulting Ltd.,30/07/2024,30/07/2024,,Shareholdings,Iqbal Mohamed,5268,(i) Shareholdings: over 15% of issued share capital,,,Adnaan Iqbal Mohamed Consulting Ltd.,,Spouse,
7224,,Shares in Consequitur Limited,29/07/2024,29/07/2024,,Shareholdings,Mr Douglas Alexander,632,(i) Shareholdings: over 15% of issued share capital,,18/07/2024,Consequitur Limited,Management consultancy activities on matters other than financial management,,
7854,,Shares in Big Bright Futures Ltd,29/07/2024,29/07/2024,,Shareholdings,Helen Maguire,5336,(i) Shareholdings: over 15% of issued share capital,,,Big Bright Futures Ltd,Property management company,Jointly with my husband,
7858,,Shares in Eyespealed Services Ltd,29/07/2024,29/07/2024,,Shareholdings,Helen Maguire,5336,(i) Shareholdings: over 15% of issued share capital,,,Eyespealed Services Ltd,Management consultancy other than financial management,Jointly with husband,
7611,,Shares in Monki Dog Care,26/07/2024,26/07/2024,,Shareholdings,Mike Tapp,5266,(i) Shareholdings: over 15% of issued share capital,,,Monki Dog Care,Dog Day Care service,Wife,
7326,,Shares in Rachel Taylor Consultancy Limited,25/07/2024,25/07/2024,,Shareholdings,Rachel Taylor,5065,(i) Shareholdings: over 15% of issued share capital,,,Rachel Taylor Consultancy Limited,provision of legal services,,
7374,,Shares in W B Tees Valley & North York Moors Ltd,25/07/2024,25/07/2024,,Shareholdings,Mr Jonathan Brash,5045,(i) Shareholdings: over 15% of issued share capital,,,W B Tees Valley & North York Moors Ltd,A baby swimming company,Jointly owned with my spouse,
7372,,Shares in Hargreaves Brash Property Ltd,25/07/2024,25/07/2024,,Shareholdings,Mr Jonathan Brash,5045,(i) Shareholdings: over 15% of issued share capital,,,Hargreaves Brash Property Ltd,,Jointly with my spouse,
7066,,Shares in PFPM (Preston) Ltd,24/07/2024,24/07/2024,,Shareholdings,Mr Paul Foster,5074,(i) Shareholdings: over 15% of issued share capital,,,PFPM (Preston) Ltd,Project & Development Management Consultancy,,
7204,,Shares in DeCantelo Ltd,24/07/2024,24/07/2024,,Shareholdings,Peter Fortune,5209,(i) Shareholdings: over 15% of issued share capital,,,DeCantelo Ltd,Management Consultancy,Jointly with my wife,
6235,,Shares in Hampden and Co,24/07/2024,24/07/2024,,Shareholdings,Mr Angus MacDonald,5362,"(ii) Other shareholdings, valued at more than £70,000",,,Hampden and Co,Bank,,DelegatedManagementCompany
6236,,Shares in Renewable Parts Ltd,24/07/2024,24/07/2024,,Shareholdings,Mr Angus MacDonald,5362,(i) Shareholdings: over 15% of issued share capital,,,Renewable Parts Ltd,Supply of parts for wind turbines,,DelegatedManagementCompany
6222,,Shares in Clayduck Ltd,23/07/2024,23/07/2024,,Shareholdings,Gareth Snell,4595,(i) Shareholdings: over 15% of issued share capital,,,Clayduck Ltd,,Jointly with my partner,
6971,,Shares in Lemonade Partners,23/07/2024,23/07/2024,,Shareholdings,Mr James Frith,4637,(i) Shareholdings: over 15% of issued share capital,,,Lemonade Partners,Management consultancy activities other than financial management,Jointly with my wife,
7010,,Shares in Labox Ltd,23/07/2024,23/07/2024,,Shareholdings,Sarah Gibson,5239,(i) Shareholdings: over 15% of issued share capital,,,Labox Ltd,Architectural practice,,
6969,,Shares in Pull Together Ltd,23/07/2024,23/07/2024,,Shareholdings,Mr James Frith,4637,(i) Shareholdings: over 15% of issued share capital,,,Pull Together Ltd,Education services company trading as All Together,,
7067,,Shares in Orchard Garden Day Nursery,23/07/2024,23/07/2024,,Shareholdings,Jas Athwal,5227,(i) Shareholdings: over 15% of issued share capital,,,Orchard Garden Day Nursery,,,
7068,,Shares in Project Furnishings Management Ltd (Dormant),23/07/2024,23/07/2024,,Shareholdings,Mr Paul Foster,5074,(i) Shareholdings: over 15% of issued share capital,,,Project Furnishings Management Ltd (Dormant),Supplies furniture,,
7070,,Shares in NWSD Professional Services Ltd,23/07/2024,23/07/2024,,Shareholdings,Mr Paul Foster,5074,(i) Shareholdings: over 15% of issued share capital,,,NWSD Professional Services Ltd,Social housing/student accommodation development consultancy,,
7081,,Shares in Village Day Nurseries Ltd,23/07/2024,23/07/2024,,Shareholdings,Jas Athwal,5227,(i) Shareholdings: over 15% of issued share capital,,,Village Day Nurseries Ltd,Childcare,,
6795,,Shares in Labour to Win Ltd,22/07/2024,22/07/2024,,Shareholdings,Luke Akehurst,5112,(i) Shareholdings: over 15% of issued share capital,,,Labour to Win Ltd,Political organisation within the Labour Party,,
6794,,Shares in Labour First Ltd,22/07/2024,22/07/2024,,Shareholdings,Luke Akehurst,5112,(i) Shareholdings: over 15% of issued share capital,,,Labour First Ltd,Political organisation within the Labour Party,,
6895,,Shares in GB & CA DAVIES,22/07/2024,22/07/2024,,Shareholdings,Ann Davies,5177,(i) Shareholdings: over 15% of issued share capital,,,GB & CA DAVIES,farm business,jointly owned with my husband and another family member,
6891,,Shares in In And About Thetford Ltd,22/07/2024,22/07/2024,,Shareholdings,Terry Jermy,5338,(i) Shareholdings: over 15% of issued share capital,,,In And About Thetford Ltd,A company that publishes the About Thetford magazine,,
6894,,Shares in Meithrinfa Cwtsh Y Clos,22/07/2024,22/07/2024,,Shareholdings,Ann Davies,5177,(i) Shareholdings: over 15% of issued share capital,,,Meithrinfa Cwtsh Y Clos,Children's Nursery,co-owned by a family member,
6892,,Shares in Alec James Ltd,22/07/2024,22/07/2024,,Shareholdings,Terry Jermy,5338,(i) Shareholdings: over 15% of issued share capital,,,Alec James Ltd,Alec James Ltd was set up to own a residential property,Company is owned jointly with partner,
6807,,Shares in Community Conversations Ltd.,22/07/2024,22/07/2024,,Shareholdings,Daniel Francis,5184,(i) Shareholdings: over 15% of issued share capital,,,Community Conversations Ltd.,Public Consultation Company assisting developers and charitable organisations within the planning sector.,Jointly with my wife,
6580,,Shares in Threshed Thought Ltd,18/07/2024,19/07/2024,,Shareholdings,Mike Martin,5219,(i) Shareholdings: over 15% of issued share capital,,,Threshed Thought Ltd,Conflict and defence,,
6561,,Shares in Bee Herd Media Ltd,17/07/2024,19/07/2024,,Shareholdings,Chris Kane,5155,(i) Shareholdings: over 15% of issued share capital,,,Bee Herd Media Ltd,marketing consultancy and digital content creation,jointly with my wife,
6739,,Shares in AutoSwot Ltd,19/07/2024,19/07/2024,,Shareholdings,Perran Moon,5208,(i) Shareholdings: over 15% of issued share capital,,,AutoSwot Ltd,An online training company,,
6688,,Shares in Venture Xtreme Consultancy Limited,19/07/2024,19/07/2024,,Shareholdings,Andy MacNae,5134,(i) Shareholdings: over 15% of issued share capital,,,Venture Xtreme Consultancy Limited,,,
6747,,Shares in Ashley Fox Consulting Ltd,19/07/2024,19/07/2024,,Shareholdings,Sir Ashley Fox,5101,(i) Shareholdings: over 15% of issued share capital,,,Ashley Fox Consulting Ltd,,,
6672,,Shares in Tisun Investments Ltd,19/07/2024,19/07/2024,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,18/07/2024,,Tisun Investments Ltd,Property Investment and consultancy,,
6540,,Shares in Moexco Ltd,17/07/2024,18/07/2024,,Shareholdings,Martin Wrigley,5111,(i) Shareholdings: over 15% of issued share capital,,,Moexco Ltd,Management consultancy - soon to become dormant,,
6320,,Shares in Pure,15/07/2024,18/07/2024,,Shareholdings,Michelle Scrogham,5049,(i) Shareholdings: over 15% of issued share capital,,,Pure,Retail fashion business,,
6652,,Shares in Chrysalis Investments Limited,18/07/2024,18/07/2024,,Shareholdings,Jack Rankin,5340,"(ii) Other shareholdings, valued at more than £70,000",,,Chrysalis Investments Limited,"Closed-ended investment company with objective of long-term capital growth, primarily in unquoted equity in portfolio companies.",,DelegatedManagementCompany
6593,,Shares in Quidnet REIT Ltd,18/07/2024,18/07/2024,,Shareholdings,Richard Tice,5161,(i) Shareholdings: over 15% of issued share capital,,,Quidnet REIT Ltd,Property Company,,
6520,,Shares in Labour Together Limited,17/07/2024,17/07/2024,,Shareholdings,Josh Simons,5060,(i) Shareholdings: over 15% of issued share capital,,,Labour Together Limited,,,
6196,,Shares in MGillett Consulting Ltd,12/07/2024,12/07/2024,,Shareholdings,Monica Harding,5299,(i) Shareholdings: over 15% of issued share capital,,,MGillett Consulting Ltd,Consultancy,,
6158,,Shares in Suffolk Ventures Limited,11/07/2024,11/07/2024,,Shareholdings,Patrick Spencer,5303,(i) Shareholdings: over 15% of issued share capital,,,Suffolk Ventures Limited,The company was set up to manage the marketing and rental income associated with property in Suffolk.,,
6126,,Shares in DBS Rainbow Consultancy Ltd,11/07/2024,11/07/2024,,Shareholdings,David Burton-Sampson,5106,(i) Shareholdings: over 15% of issued share capital,,,DBS Rainbow Consultancy Ltd,Dormant consultancy company,With Civil Partner,
6123,,Shares in DBS Financial Solutions Ltd,11/07/2024,11/07/2024,,Shareholdings,David Burton-Sampson,5106,(i) Shareholdings: over 15% of issued share capital,,,DBS Financial Solutions Ltd,,With my Civil Partner,
6150,,Shares in IPGL,11/07/2024,11/07/2024,,Shareholdings,Patrick Spencer,5303,"(ii) Other shareholdings, valued at more than £70,000",,,IPGL,Investment holdings company,,Trust
6176,,Shares in Lloyds bank plc,11/07/2024,11/07/2024,,Shareholdings,Clive Jones,5207,"(ii) Other shareholdings, valued at more than £70,000",,,Lloyds bank plc,,,
6058,,Shares in Chambers of Ayoub Khan Limited,10/07/2024,10/07/2024,,Shareholdings,Ayoub Khan,5357,(i) Shareholdings: over 15% of issued share capital,,,Chambers of Ayoub Khan Limited,Barrister,,
2561,,Shares in Kemyel Ltd,04/10/2021,28/12/2023,11/05/2023,Shareholdings,Mark Garnier,4074,(i) Shareholdings: over 15% of issued share capital,22/09/2021,,Kemyel Ltd,A company set up to manage my financial interests.,,
2569,,Shares in Llais Ltd (inactive),06/07/2017,28/12/2023,,Shareholdings,Anna McMorrin,4632,(i) Shareholdings: over 15% of issued share capital,,,Llais Ltd (inactive),Policy communications,,
2572,,Shares in 100MPH Events Limited (dormant),,28/12/2023,31/07/2023,Shareholdings,Ian Murray,3966,(i) Shareholdings: over 15% of issued share capital,,,100MPH Events Limited (dormant),Event management,,
2573,,Shares in Oh! Television (not trading),11/01/2016,28/12/2023,,Shareholdings,Brendan O'Hara,4371,(i) Shareholdings: over 15% of issued share capital,,,Oh! Television (not trading),Television production company,,
