ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails
8850,8847,"Payment expected for services on 15 February 2024 - £7,800.00",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Blair McDougall,5076,FALSE,15/02/2024,,Monetary,"This is for work with democratic activists done across the three different country programmes for Belarus, Serbia and Kosovo. The amount received may vary slightly due to currency exchange.",7800,104,,FALSE,,FALSE,,,FALSE,,,
8822,8817,Payment received on 15 July 2024 - £557.00,02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Lisa Smart,5070,TRUE,15/07/2024,,Monetary,Payment for scrutiny role undertaken in the municipal year 2023-24,557,20,Estimated,FALSE,,FALSE,,,FALSE,,,
6004,6002,"Payment received on 30 July 2024 - £6,634.61",30/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Chris McDonald,5116,TRUE,30/07/2024,,Monetary,Relates to employment prior to election.,6634.61,0,None since my election,FALSE,,FALSE,,,FALSE,,,
6822,6768,"Payment received on 15 July 2024 - £1,074.32",29/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mark Ferguson,5031,TRUE,15/07/2024,,Monetary,Final payment for previous employment. Includes unpaid outstanding annual leave.,1074.32,0,None since my election.,FALSE,,FALSE,,,FALSE,,,
7657,4353,Payment received on 04 July 2024 - £875.00,26/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Jesse Norman,3991,TRUE,04/07/2024,,Monetary,Book Advance,875,0,,TRUE,Isis Publishing Ltd,FALSE,"The Green Bradgate Road, Anstey, Leicester, Leicestershire, LE7 7FU",,TRUE,Paid direct to the recipient by the payer,Charity,
7663,4353,Payment received on 24 July 2024 - £875.00,26/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Jesse Norman,3991,TRUE,24/07/2024,,Monetary,Advance on first publication,875,0,,TRUE,Isis Publishing Ltd,FALSE,"The Green Bradgate Road, Anstey, Leicester, Leicestershire, LE7 7FU",,TRUE,Paid direct to the recipient by the payer,Charity,
10080,6268,Payment received on 31 July 2024 - £548.39,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Lewis Cocking,5050,TRUE,31/07/2024,,Monetary,Last week of pay being Deputy PCC,548.39,37.5,Some was taken as holiday.,FALSE,,FALSE,,,FALSE,,,
8307,6051,"Payment received on 24 July 2024 - £1,473.56",30/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Amanda Martin,5294,TRUE,24/07/2024,,Monetary,final salary payment,1473.56,0,none since my election,FALSE,,FALSE,,,FALSE,,,
8306,6051,"Payment received on 26 July 2024 - £1,103.44",30/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Amanda Martin,5294,TRUE,26/07/2024,,Monetary,Expenses paid from January to June 2024,1103.44,0,none since my election,FALSE,,FALSE,,,FALSE,,,
8303,6051,Payment received on 19 July 2024 - £165.18,30/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Amanda Martin,5294,TRUE,19/07/2024,,Monetary,Employment Expenses paid covering the months of January to June from the months,165.18,0,no additional hours since my election,FALSE,,FALSE,,,FALSE,,,
8854,6022,"Payment received on 31 July 2024 - £47,219.00",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Natasha Irons,5119,TRUE,31/07/2024,,Monetary,Redundancy payment,47219,0,none since my election,FALSE,,FALSE,,,FALSE,,,
9753,6402,"Payment expected for services on 30 June 2024 - £2,218.59",03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Andrew Ranger,5046,FALSE,30/06/2024,,Monetary,to cover freelance accountancy and business consultancy services that I provided to this company.,2218.59,0,None since my election,FALSE,,FALSE,,,FALSE,,,
9690,6359,Payment received on 31 July 2024 - £974.67,02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Ellie Chowns,5249,TRUE,31/07/2024,,Monetary,Final payment. I will no longer accept the allowance. This payment will be repaid.,974.67,60,approximate,FALSE,,FALSE,,,FALSE,,,
9588,6077,"Payment received on 31 July 2024 - £4,825.59",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Bool,5355,TRUE,31/07/2024,,Monetary,Final salary payment and leaving gift (£160),4825.59,35,approximately,FALSE,,FALSE,,,FALSE,,,
9786,5989,Payment received on 08 August 2024 - £328.41,03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Tony Vaughan,5067,TRUE,08/08/2024,,Monetary,Exact. Doughty Street Chambers will take around 20% of this sum.,328.41,3,approximately,FALSE,,FALSE,,,FALSE,,,
10342,7973,"Payment received on 22 July 2024 - £1,046.20",29/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Dan Aldridge,5172,TRUE,22/07/2024,,Monetary,Final payment,1046.2,0,Non since my election,FALSE,,FALSE,,,FALSE,,,
10344,6875,Payment received on 30 July 2024 - £907.22,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Amanda Hack,5149,TRUE,30/07/2024,,Monetary,,907.22,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10349,6108,Payment received on 31 July 2024 - £656.25,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Peter Lamb,5345,TRUE,31/07/2024,,Monetary,Final payment,656.25,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10351,8832,Payment received on 31 August 2024 - £417.69,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Lisa Smart,5070,TRUE,31/08/2024,,Monetary,Final payment,417.69,3,,FALSE,,FALSE,,,FALSE,,,
10352,6579,Payment received on 31 July 2024 - £655.29,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Frank McNally,5183,TRUE,31/07/2024,,Monetary,Final payment,655.29,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10353,8577,Payment received on 11 July 2024 - £257.17,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Deirdre Costigan,5075,TRUE,11/07/2024,,Monetary,Final payment,257.17,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10360,7340,Payment received on 26 July 2024 - £699.95,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Kevin McKenna,5300,TRUE,26/07/2024,,Monetary,Final payment,699.95,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10362,6285,Payment received on 30 July 2024 - £734.71,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Peter Swallow,5165,TRUE,30/07/2024,,Monetary,,734.71,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10363,6670,Payment received on 25 July 2024 - £797.77,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Cat Eccles,5293,TRUE,25/07/2024,,Monetary,Final payment,797.77,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10364,7539,Payment received on 31 July 2024 - £615.85,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Katrina Murray,5309,TRUE,31/07/2024,,Monetary,,615.85,7.5,,FALSE,,FALSE,,,FALSE,,,
10370,7509,"Payment received on 06 August 2024 - £4,971.51",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Lola McEvoy,5037,TRUE,06/08/2024,,Monetary,,4971.51,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10372,7517,"Payment received on 26 August 2024 - £1,327.07",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Kirsty McNeill,5114,TRUE,26/08/2024,,Monetary,,1327.07,0,None since my election,FALSE,,FALSE,,,FALSE,,,
6754,6753,"Payment received on 18 July 2024 - £1,338.50",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Graeme Downie,5275,TRUE,18/07/2024,,Monetary,,1338.5,35,Estimated number of hours,FALSE,,FALSE,,,FALSE,,,
10376,10356,Payment received on 24 July 2024 - £116.40,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Graeme Downie,5275,TRUE,24/07/2024,,Monetary,,116.4,10,Estimated Hours.  This is pro-rata payment until I was elected on 4 July for being on NHS Fife Board in my role as Fife Council Health & Social Care Spokesperson.,FALSE,,FALSE,,,FALSE,,,
10396,6700,"Payment received on 26 July 2024 - £1,269.69",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Noah Law,5302,TRUE,26/07/2024,,Monetary,Final payment,1269.69,24,,FALSE,,FALSE,,,FALSE,,,
10398,6887,"Payment received on 15 August 2024 - £3,172.00",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Ann Davies,5177,TRUE,15/08/2024,,Monetary,Final payment,3172,80,approx,FALSE,,FALSE,,,FALSE,,,
10403,3680,Payment received on 28 May 2024 - £250.00,09/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sir Iain Duncan Smith,152,TRUE,28/05/2024,,Monetary,,250,4,,FALSE,,FALSE,,,FALSE,,,
10404,3680,Payment received on 19 July 2024 - £250.00,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sir Iain Duncan Smith,152,TRUE,19/07/2024,,Monetary,,250,4,,FALSE,,FALSE,,,FALSE,,,
8443,4251,"Payment received on 28 March 2024 - £1,149.45",31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Anneliese Dodds,4657,TRUE,28/03/2024,,Monetary,Royalty payment,1149.45,0,no additional hours,FALSE,,FALSE,,,FALSE,,,
8771,5774,Payment received on 25 June 2024 - £300.00,01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Dr Rosena Allin-Khan,4573,TRUE,25/06/2024,,Monetary,,300,2.5,including preparation time,FALSE,,FALSE,,,FALSE,,,
9821,9820,Payment received on 31 July 2024 - £702.00,03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Steff Aquarone,5164,TRUE,31/07/2024,,Monetary,Final salary payment,702,15,,FALSE,,FALSE,,,FALSE,,,
9454,9450,"Payment received on 19 July 2024 - £6,652.98",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mr Alex Barros-Curtis,5175,TRUE,19/07/2024,,Monetary,This is a final payment and includes one-off payments owed to me,6652.98,48,approximately,FALSE,,FALSE,,,FALSE,,,
9162,9158,"Payment received on 22 July 2024 - £2,500.00",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Chris Bloore,5109,TRUE,22/07/2024,,Monetary,,2500,93.75,£200 day rate,FALSE,,FALSE,,,FALSE,,,
10103,10097,Payment received on 20 July 2024 - £616.00,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Jess Brown-Fuller,5335,TRUE,20/07/2024,,Monetary,Allowance for Cabinet Member. (I have now resigned from Cabinet and will no longer receive Cabinet allowance),616,15,approx.,FALSE,,FALSE,,,FALSE,,,
7128,6394,"Payment received on 25 July 2024 - £1,661.51",24/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mr Luke Charters,5199,TRUE,25/07/2024,,Monetary,Final payment,1661.51,0,None since my election,FALSE,,FALSE,,,FALSE,,,
9396,8060,Payment received on 26 July 2024 - £752.53,02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Chris Coghlan,5198,TRUE,26/07/2024,,Monetary,Final payment of outstanding holiday pay,752.53,0,None since my election,FALSE,,FALSE,,,FALSE,,,
9481,9001,"Payment received on 25 July 2024 - £1,900.00",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Harriet Cross,5311,TRUE,25/07/2024,,Monetary,Final payment to reflect in-lieu payment for pro-rata annual leave/holiday not taken,1900,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10033,10026,"Payment received on 15 July 2024 - £1,327.17",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Jonathan Davies,5256,TRUE,15/07/2024,,Monetary,For serving as a councillor and cabinet member on Chesterfield Borough Council. I ceased to serve on the council's cabinet following my election as an MP.,1327.17,65,approx.,FALSE,,FALSE,,,FALSE,,,
8444,4251,"Payment received on 28 March 2024 - £1,149.45",31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Anneliese Dodds,4657,TRUE,28/03/2024,,Monetary,,1149.45,0,no additional hours,FALSE,,FALSE,,,FALSE,,,
9013,9012,"Payment received on 21 July 2024 - £7,588.42",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Helena Dollimore,5192,TRUE,21/07/2024,,Monetary,Final payment,7588.42,0,none since my election,FALSE,,FALSE,,,FALSE,,,
10357,10356,"Payment received on 04 July 2024 - £8,000.00",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Graeme Downie,5275,TRUE,04/07/2024,,Monetary,,8000,400,approx.,FALSE,,FALSE,,,FALSE,,,
9238,9233,"Payment received on 23 July 2024 - £11,783.55",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,TRUE,23/07/2024,,Monetary,The registered amount has been converted from US Dollars into British Pounds. This amount is a deposit paid ahead of a future speaking engagement. The register will be updated with the final payment once the engagement has been fulfilled. The hours worked is an anticipated estimate.,11783.55,8,The hours worked is an anticipated estimate.,FALSE,,FALSE,,,FALSE,,,
10354,6068,"Payment received on 25 July 2024 - £2,940.10",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Gibson,5239,TRUE,25/07/2024,,Monetary,Final payment,2940.1,4,,FALSE,,FALSE,,,FALSE,,,
8006,8004,"Payment received on 22 July 2024 - £5,601.01",29/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Tracy Gilbert,5188,TRUE,22/07/2024,,Monetary,Final payment,5601.01,40,,FALSE,,FALSE,,,FALSE,,,
10397,8939,"Payment received on 11 August 2024 - £1,564.88",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Georgia Gould,5305,TRUE,11/08/2024,,Monetary,(On 30 July 2024 £1033.93 was repaid due to an overpayment),1564.88,0,none since my election,FALSE,,FALSE,,,FALSE,,,
7363,7360,"Payment received on 25 July 2024 - £1,447.21",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Naushabah Khan,5215,TRUE,25/07/2024,,Monetary,"This is the final payment, role will unpaid from 1 August 2024",1447.21,80,,FALSE,,FALSE,,,FALSE,,,
10343,7413,"Payment received on 25 July 2024 - £2,221.60",31/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Laura Kyrke-Smith,5341,TRUE,25/07/2024,,Monetary,Final payment,2221.6,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10039,3723,"Payment received on 24 May 2024 - £3,360.00",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mr David Lammy,206,TRUE,24/05/2024,,Monetary,"For shows on 1, 7 and 21 April 2024",3360,13.5,4.5 hours per show including preparation,TRUE,Global Radio,FALSE,"30 Leicester Square, London WC2H 7LA",Radio Station,FALSE,,,
10139,6799,Payment received on 17 July 2024 - £982.50,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Martin McCluskey,5129,TRUE,17/07/2024,,Monetary,Final payment,982.5,50,,FALSE,,FALSE,,,FALSE,,,
8842,8839,"Payment expected for services on 17 March 2024 - £3,600.00",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Blair McDougall,5076,FALSE,17/03/2024,,Monetary,,3600,48,The final amount paid may vary slightly due to currency exchange.,FALSE,,FALSE,,,FALSE,,,
9385,6292,"Payment received on 25 July 2024 - £2,136.35",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,James McMurdock,5361,TRUE,25/07/2024,,Monetary,"Final payment for part of month. Funds received here relate to standard final payment of funds due relating to this last period (Salary, unpaid leave, employment benefits.)",2136.35,0,None since my election,FALSE,,FALSE,,,FALSE,,,
10307,7434,"Payment received on 15 July 2024 - £2,279.00",05/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Anneliese Midgley,5038,TRUE,15/07/2024,,Monetary,Final payment,2279,0,None since my election,FALSE,,FALSE,,,FALSE,,,
8455,8451,"Payment received on 29 July 2024 - £7,980.00",31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mrs Sarah Russell,5324,TRUE,29/07/2024,,Monetary,,7980,40,This is an estimated amount of time worked. No additional hours since my election,FALSE,,FALSE,,,FALSE,,,
7120,7119,"Payment expected for services on 01 July 2024 - £2,154.48",29/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Mr Gideon Amos,5250,FALSE,01/07/2024,,Monetary,,2154.48,23,Final month of employment in former job.,FALSE,,FALSE,,,FALSE,,,
7902,6031,Payment received on 29 July 2024 - £150.00,29/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,TRUE,29/07/2024,,Monetary,Fee for legal advice,150,3,Approximately 3 hours,TRUE,Irwin Mitchell LLP,FALSE,"Riverside East, 2 Millsands, Sheffield, South Yorkshire S3 8DT",Solicitor,FALSE,,,
8305,8301,"Payment received on 17 July 2024 - £1,675.00",30/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Josh Simons,5060,TRUE,17/07/2024,,Monetary,Payment for TV appearances as a guest speaker,1675,5,(estimated),FALSE,,FALSE,,,FALSE,,,
8776,8772,"Payment received on 26 July 2024 - £2,334.03",01/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Gregory Stafford,5351,TRUE,26/07/2024,,Monetary,final salary payment for this role,2334.03,0,No additional hours since my election,FALSE,,FALSE,,,FALSE,,,
10395,7173,"Payment received on 31 July 2024 - £3,286.23",31/07/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Matt Turmaine,5130,TRUE,31/07/2024,,Monetary,Final payment for my role as a Project Manager,3286.23,40,approximate hours worked,FALSE,,FALSE,,,FALSE,,,
9781,5988,Payment received on 19 July 2024 - £120.00,03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Tony Vaughan,5067,TRUE,19/07/2024,,Monetary,,120,0.3,Work undertaken prior to 4 July 2024,TRUE,Confidential,FALSE,Kingsley Napley LLP 20 Bonhill Street London EC2A 4DN,Law firm,FALSE,,,
9785,5988,Payment received on 08 July 2024 - £243.27,03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Tony Vaughan,5067,TRUE,08/07/2024,,Monetary,Payment is for work done before 4 July 2024. Doughty Street Chambers takes around 20% of this figure,243.27,1,estimated hours,TRUE,Confidential,FALSE,"Simpson Millar Solicitors, 39 St Paul's Street, Leeds LS1 2JG",,FALSE,,,
10361,7447,"Payment received on 25 July 2024 - £1,887.00",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Melanie Ward,5240,TRUE,25/07/2024,,Monetary,,1887,0,none since my election,FALSE,,FALSE,,,FALSE,,,
10471,6762,"Payment received on 30 July 2024 - £1,887.91",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Calum Miller,5346,TRUE,30/07/2024,,Monetary,This was a final payment following the termination of my contract on my election.,1887.91,20,,FALSE,,FALSE,,,FALSE,,,
9568,6644,Payment received on 25 July 2024 - £700.00,02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Tristan Osborne,5220,TRUE,25/07/2024,,Monetary,,700,0,none since my election,FALSE,,FALSE,,,FALSE,,,
9621,9613,"Payment expected for services on 30 June 2023 - £1,020.60",03/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Sarah Sackman,5204,FALSE,30/06/2023,,Monetary,,1020.6,15,Estimated,TRUE,Confidential,TRUE,,,FALSE,,,
10475,7643,"Payment received on 15 July 2024 - £1,354.00",02/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Ben Coleman,5344,TRUE,15/07/2024,,Monetary,,1354,20,approx,FALSE,,FALSE,,,FALSE,,,
10476,8141,"Payment received on 30 July 2024 - £4,411.79",04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Stephen Gethins,4434,TRUE,30/07/2024,,Monetary,,4411.79,0,none since my election,FALSE,,FALSE,,,FALSE,,,
10477,6849,Payment received on 15 July 2024 - £838.84,04/08/2024,04/08/2024,,Employment and earnings - Ad hoc payments,Margaret Mullane,5272,TRUE,15/07/2024,,Monetary,,838.84,0,none since my election,FALSE,,FALSE,,,FALSE,,,
7879,7878,"Payment received on 15 July 2024 - £1,630.99",30/07/2024,03/08/2024,,Employment and earnings - Ad hoc payments,Phil Brickell,5128,TRUE,15/07/2024,,Monetary,,1630.99,20,,FALSE,,FALSE,,,FALSE,,,
