ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails
8019,8018,"Agreement - £1,024.93",02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Emily Darlington,5139,Monthly,,,Weekly,,Monetary,,1024.93,15,approx.,FALSE,,FALSE,,,FALSE,,,
10157,10153,"Agreement - £2,463.56",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Kirith Entwistle,5095,Monthly,,20/05/2024,Weekly,,Monetary,Approx.,2463.56,30,maximum hours worked weekly.,FALSE,,FALSE,,,FALSE,,,
9010,9003,"Agreement - £3,000.00",01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,James Naish,5047,Yearly,,,Monthly,,In kind,My family and I stay in the property owned by the company for up to 14 days per year,3000,5,This time is required for managing the property and its agent who looks after bookings.,FALSE,,FALSE,,,FALSE,,,
8717,8713,"Agreement - £1,530.66",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Andrew George,227,Monthly,,01/05/2025,Monthly,,Monetary,,1530.66,68,I've reduced the hours worked since being elected as MP,FALSE,,FALSE,,,TRUE,Donated by the Member to the recipient,Community organisation,
7355,7013,"Agreement - £1,322.42",25/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Sarah Gibson,5239,Monthly,,,Weekly,,Monetary,Amount is approximate.,1322.42,5,"This is a set allowance, rather than a salary.",FALSE,,FALSE,,,FALSE,,,
10028,6871,"Agreement - £1,449.42",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Amanda Hack,5149,Monthly,,31/07/2024,Monthly,,Monetary,Allowance for being a County Councillor,1449.42,40,"As a County Councillor, hours worked varies from week to week.",FALSE,,FALSE,,,FALSE,,,
9930,9916,Agreement - £527.00,03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Pippa Heylings,5078,Monthly,,,Weekly,,Monetary,,527,10,Approximate number of hours,FALSE,,FALSE,,,FALSE,,,
9926,9909,"Agreement starting 10 April 2013 - £1,047.50",03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Pippa Heylings,5078,Monthly,10/04/2013,02/08/2024,Weekly,,Monetary,,1047.5,30,Number of hours worked is approximate,FALSE,,FALSE,,,FALSE,,,
7528,7265,Agreement - £462.59,26/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Sojan Joseph,5247,Monthly,,,Weekly,,Monetary,It varies every month depending on the expenses and number of council meetings.,462.59,6,approximated,FALSE,,FALSE,,,FALSE,,,
10264,6111,Agreement - £619.50,04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Peter Lamb,5345,Monthly,,,Monthly,,Monetary,,619.5,0,,FALSE,,FALSE,,,FALSE,,,
9523,9521,"Agreement - £8,000.00",02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,,Weekly,,Monetary,honorarium paid for the role of Chair of the LGiU Board and is a yearly payment paid quarterly.,8000,5,this is an approximate number.,FALSE,,FALSE,,,FALSE,,,
9533,9527,"Agreement - £29,831.16",02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,,Weekly,,Monetary,"total combined allowance for the roles of Chair and Member of Nottinghamshire & City of Nottingham Fire Authority, which is paid monthly.",29831.16,30,this is an approximate number.,FALSE,,FALSE,,,FALSE,,,
8810,8764,Agreement starting 02 May 2023 - £416.83,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,James MacCleary,5265,Monthly,02/05/2023,06/05/2027,Monthly,,Monetary,,416.83,20,Hours worked is an estimate,FALSE,,FALSE,,,FALSE,,,
10203,10178,"Agreement - £7,720.87",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Ben Maguire,5350,Monthly,,09/08/2024,Weekly,,Monetary,I sometimes received a small additional and variable bonus payment,7720.87,37.5,These are my regular contracted hours,FALSE,,FALSE,,,FALSE,,,
9520,9483,"Agreement starting 05 May 2017 - £15,500.00",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Tessa Munt,4089,Yearly,05/05/2017,,Weekly,,Monetary,,15500,15,approximate,FALSE,,FALSE,,,FALSE,,,
7746,7745,"Agreement - £8,750.00",29/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Jack Rankin,5340,Monthly,,,Monthly,,Monetary,,8750,20,Approximate time spent handing-over during my notice period.,FALSE,,FALSE,,,FALSE,,,
8628,8623,Agreement - £901.15,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Ian Roome,5138,Monthly,,,Monthly,,Monetary,this payment includes a SRA for being Leader (going forward I will not receive this SRA),901.15,20,this is an estimate of hours as it depends on casework.,FALSE,,FALSE,,,FALSE,,,
8635,8631,"Agreement - £1,256.00",01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Ian Roome,5138,Monthly,,,Monthly,,Monetary,,1256,40,estimate of hours worked as it depends on casework.,FALSE,,FALSE,,,FALSE,,,
8644,8641,Agreement starting 30 June 2023 - £657.92,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Ian Roome,5138,Monthly,30/06/2023,,Weekly,,Monetary,"I receive and SRA for being the Chair of the Audit Committee (intending to stand down in September) - this role is representing Devon County Council on the Board of Members ,",657.92,3,hours worked vary depending on committee business and research needed for the role.,FALSE,,FALSE,,,FALSE,,,
7639,7633,"Agreement - £3,126.23",02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Baggy Shanker,5176,Monthly,,,Weekly,,Monetary,,3126.23,25,(estimated hours),FALSE,,FALSE,,,FALSE,,,
6037,6030,Agreement - £954.58,02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Lisa Smart,5070,Monthly,,,Monthly,,Monetary,,954.58,20,estimate of average hours,FALSE,,FALSE,,,FALSE,,,
8910,8907,Agreement - £997.00,01/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Rebecca Smith,5301,Monthly,,,Weekly,,Monetary,,997,15,this is estimated. Overlapping between role of Councillor and becoming MP.,FALSE,,FALSE,,,TRUE,Donated by the Member to the recipient,Charity,
8331,8327,"Agreement - £1,256.81",04/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Kenneth Stevenson,5200,Monthly,,,Weekly,,Monetary,,1256.81,25,(estimated).,FALSE,,FALSE,,,FALSE,,,
9214,8070,"Agreement - £1,778.75",03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Elaine Stewart,5206,Monthly,,22/08/2024,Weekly,,Monetary,final payment for this role,1778.75,25,(estimated),FALSE,,FALSE,,,FALSE,,,
9721,9710,Agreement - £521.00,02/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Michelle Welsh,5226,Monthly,,,Weekly,,Monetary,,521,25,Estimated,FALSE,,FALSE,,,FALSE,,,
9697,7380,"Agreement - £1,845.00",03/08/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Michelle Welsh,5226,Monthly,,,Weekly,,Monetary,Allowance and special responsibility allowance for leading on Children and Young People's Services,1845,120,Estimated,FALSE,,FALSE,,,FALSE,,,
7907,4836,Agreement starting 18 July 2024 - £500.00,24/07/2024,04/08/2024,,Employment and earnings - Ongoing paid employment,Mark Garnier,4074,Quarterly,18/07/2024,,Quarterly,,Monetary,Payment for extra work as independent NED at Super Sharp Space Systems,500,10,approximate,FALSE,,FALSE,,,TRUE,Paid direct to the recipient by the payer,Other,Kemyel Ltd
8794,6646,"Agreement - £1,001.17",03/08/2024,03/08/2024,,Employment and earnings - Ongoing paid employment,Mr Paul Kohler,5321,Monthly,,,Weekly,,Monetary,,1001.17,10,approximate,FALSE,,FALSE,,,FALSE,,,
8524,8523,"Agreement - £5,000.00",03/08/2024,03/08/2024,,Employment and earnings - Ongoing paid employment,Tim Roca,5287,Monthly,,22/07/2024,Weekly,,Monetary,estimated,5000,35,estimated,FALSE,,FALSE,,,FALSE,,,
8985,8967,"Agreement starting 18 January 2021 - £2,000.00",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,James Naish,5047,Monthly,18/01/2021,30/08/2024,Weekly,Project management and delivery,Monetary,"Open Door Property Ltd charges a firm called Oaklin Consulting LLP for my time. Oaklin, in turn, sells project management services to multiple clients including SSE where I have worked since January 2021. I was previously employed directly by Oaklin from November 2017 to August 2019. I receive £2,000 monthly from Open Door Property Ltd.",2000,40,,TRUE,SSE,FALSE,"Inveralmond House, 200 Dunkeld Rd, Perth, PH1 3AQ","Multinational energy company headquartered in Perth, Scotland",FALSE,,,
8969,6136,"Agreement - £4,862.25",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Georgia Gould,5305,Monthly,,11/07/2024,Monthly,,Monetary,I have included the total pay on my last payslip but Camden overpaid by 1590.09 so this amount will be returned.,4862.25,50,This is an average for a normal month but I only had this role for 5 days after I was elected as an MP and I was on leave during this period,FALSE,,FALSE,,,FALSE,,,
9582,6538,"Agreement - £2,333.65",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,,,Weekly,,Monetary,,2333.65,30,The hours worked vary with council business,FALSE,,FALSE,,,FALSE,,,
9585,6541,"Agreement - £1,715.58",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,,,Weekly,,Monetary,,1715.58,20,hours vary with council business,FALSE,,FALSE,,,FALSE,,,
9587,6542,Agreement - £124.72,02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,,,Monthly,,Monetary,,124.72,5,Work varies according to Tribunal case volume,FALSE,,FALSE,,,FALSE,,,
6765,6764,"Agreement - £1,113.00",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Calum Miller,5346,Monthly,,,Weekly,,Monetary,,1113,10,This is an estimate,FALSE,,FALSE,,,FALSE,,,
6851,6850,"Agreement - £1,322.42",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Brian Mathew,5214,Monthly,,,Weekly,,Monetary,,1322.42,30,Estimated as no contracted hours,FALSE,,FALSE,,,FALSE,,,
8073,8071,Agreement starting 17 July 2023 - £119.52,02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Bobby Dean,5083,Monthly,17/07/2023,17/07/2024,Monthly,,Monetary,,119.52,5,,FALSE,,FALSE,,,FALSE,,,
9714,6397,"Agreement - £22,000.00",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Dr Beccy Cooper,5307,Monthly,,05/07/2024,Weekly,,Monetary,This is the annual allowance I received as Worthing Council Leader before tax,22000,50,approx.,FALSE,,FALSE,,,FALSE,,,
9625,6326,Agreement - £933.86,02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Jayne Kirkham,5279,Monthly,,09/07/2024,Weekly,,Monetary,"Final payment. On election, I asked the council to stop the allowance.",933.86,40,councillors' allowance so amount of time varies,FALSE,,FALSE,,,FALSE,,,
9495,9486,"Agreement - £16,512.00",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,,Weekly,,Monetary,"total annual allowance for my role as a County Councillor, paid monthly.",16512,15,this is an approximate number.,FALSE,,FALSE,,,FALSE,,,
7015,7008,"Agreement - £17,620.80",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Michael Payne,5146,Yearly,,,Weekly,,Monetary,"this is a combined allowance for the roles of Gedling Borough Councillor and Deputy Leader of Gedling Borough Council, which is paid monthly.",17620.8,30,this is an approximate number.,FALSE,,FALSE,,,FALSE,,,
9197,6036,"Agreement - £5,569.00",02/08/2024,02/08/2024,,Employment and earnings - Ongoing paid employment,Dr Al Pinkerton,5288,Monthly,,,Weekly,,Monetary,this is the average monthly gross salary over the period June 2023-July 2024,5569,40,,FALSE,,FALSE,,,FALSE,,,
6169,6167,"Agreement - £1,192.83",01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,James MacCleary,5265,Monthly,,01/05/2025,Monthly,,Monetary,,1192.83,30,Estimated depending on meetings and casework,FALSE,,FALSE,,,FALSE,,,
6583,6581,Agreement starting 23 July 2024 - £418.54,01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Manuela Perteghella,5122,Monthly,23/07/2024,23/08/2024,Weekly,,Monetary,,418.54,8,FT 0.115,FALSE,,FALSE,,,FALSE,,,
8833,6994,"Agreement - £145,000.00",01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Nick Timothy,5062,Yearly,,,Weekly,,Monetary,,145000,3,,FALSE,,FALSE,,,FALSE,,,
6291,6289,"Agreement - £1,131.08",01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Dr Lauren Sullivan,5269,Monthly,,01/08/2024,Weekly,,Monetary,,1131.08,12,,FALSE,,FALSE,,,FALSE,,,
8752,6884,Agreement - £757.93,01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Mr Joshua Reynolds,5343,Monthly,,,Weekly,,Monetary,,757.93,10,,FALSE,,FALSE,,,FALSE,,,
6157,6152,Agreement - £475.00,01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Alison Bennett,5283,Monthly,,,Monthly,,Monetary,,475,20,estimated,FALSE,,FALSE,,,FALSE,,,
7841,6152,Agreement starting 04 July 2024 - £624.66,01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Alison Bennett,5283,Monthly,04/07/2024,23/07/2024,Monthly,,Monetary,I was the Deputy Leader of Mid Sussex District Council until Tuesday 23rd July.,624.66,60,estimated number of hours worked,FALSE,,FALSE,,,FALSE,,,
6782,6588,Agreement - £881.33,01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Manuela Perteghella,5122,Monthly,,08/07/2024,Weekly,,Monetary,this is the final payment.,881.33,16,estimated number of hours,FALSE,,FALSE,,,FALSE,,,
6586,6584,Agreement - £561.75,01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Manuela Perteghella,5122,Monthly,,01/08/2024,Weekly,,Monetary,I have asked that my allowance is stopped from 1 August 2024.,561.75,20,this is an approximate figure,FALSE,,FALSE,,,FALSE,,,
8746,7072,"Agreement - £1,101.63",01/08/2024,01/08/2024,,Employment and earnings - Ongoing paid employment,Joe Robertson,5255,Monthly,,05/07/2024,Weekly,,Monetary,,1101.63,187.5,"this is a final salary payment for employment which ended on 5th July, which also includes a period of unpaid leave.",FALSE,,FALSE,,,FALSE,,,
7929,7921,"Agreement - £3,333.00",29/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Nesil Caliskan,5180,Monthly,,31/07/2024,Weekly,,Monetary,,3333,50,,FALSE,,FALSE,,,FALSE,,,
7939,7935,"Agreement - £3,331.00",29/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Nesil Caliskan,5180,Monthly,,31/07/2024,Monthly,,Monetary,,3331,10,,FALSE,,FALSE,,,FALSE,,,
7947,7946,"Agreement - £1,028.00",29/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Nesil Caliskan,5180,Monthly,,04/07/2024,Weekly,,Monetary,,1028,10,,FALSE,,FALSE,,,FALSE,,,
7850,6275,"Agreement - £1,047.50",31/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Aphra Brandreth,5241,Monthly,,,Weekly,,Monetary,,1047.5,2,Approximate,FALSE,,FALSE,,,FALSE,,,
7899,7897,Agreement - £553.75,31/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Marie Goldman,5073,Monthly,,,Weekly,,Monetary,,553.75,4,"Number of hours per week is estimated and approximate. Some weeks will be more, some less.",FALSE,,FALSE,,,FALSE,,,
6557,6552,"Agreement - £2,791.72",31/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Chris Kane,5155,Monthly,,,Weekly,,Monetary,,2791.72,20,this is an approximate number,FALSE,,FALSE,,,FALSE,,,
6737,6736,"Agreement - £2,668.67",31/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Douglas McAllister,5057,Monthly,,28/07/2024,Weekly,,Monetary,,2668.67,20,approximated,FALSE,,FALSE,,,FALSE,,,
7898,7897,"Agreement - £1,433.50",31/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Marie Goldman,5073,Monthly,,,Weekly,Deputy Leader of the Council and Cabinet Member,Monetary,,1433.5,3,Hours worked are approximate.,FALSE,,FALSE,,,FALSE,,,
7906,7901,"Agreement - £1,144.17",31/07/2024,31/07/2024,,Employment and earnings - Ongoing paid employment,Marie Goldman,5073,Monthly,,,Weekly,,Monetary,,1144.17,1,This is estimated and approximate.,FALSE,,FALSE,,,FALSE,,,
8260,7644,"Agreement - £4,000.00",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Mr Adnan Hussain,5231,Monthly,,,Monthly,,Monetary,,4000,200,estimated,FALSE,,FALSE,,,FALSE,,,
6455,6453,"Agreement - £4,795.65",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Michael Wheeler,5242,Monthly,,22/07/2024,Monthly,,Monetary,Final salary payment for employment prior to election.,4795.65,147.3,No hours worked since election.,FALSE,,FALSE,,,FALSE,,,
7407,7404,"Agreement - £7,180.75",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Pam Cox,5042,Monthly,,15/09/2024,Weekly,,Monetary,,7180.75,37.5,These are contracted hours but I have also had public service leave.,FALSE,,FALSE,,,FALSE,,,
8271,8268,"Agreement - £1,497.78",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Brian Leishman,5196,Monthly,,,Weekly,,Monetary,,1497.78,40,,FALSE,,FALSE,,,TRUE,Donated by the Member to the recipient,Community organisation,
8197,8196,"Agreement - £5,704.29",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Laurence Turner,5234,Monthly,,05/07/2024,Monthly,,Monetary,,5704.29,160,Estimated hours based on an average 40 hour week (contract was for unspecified hours),FALSE,,FALSE,,,FALSE,,,
8266,7158,"Agreement - £21,345.00",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Susan Murray,5157,Monthly,,,Monthly,,Monetary,,21345,90,This is an approximate number of hours worked,FALSE,,FALSE,,,FALSE,,,
8086,8078,"Agreement - £7,798.33",30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Dan Norris,221,Monthly,,,Monthly,,Monetary,,7798.33,120,(estimated number of hours since 4 July 2024),FALSE,,FALSE,,,FALSE,,,
6664,6662,Agreement - £665.07,30/07/2024,30/07/2024,,Employment and earnings - Ongoing paid employment,Chris Kane,5155,Monthly,,,Weekly,,Monetary,,665.07,6,this is an approximate number,FALSE,,FALSE,,,FALSE,,,
