public_whip_id,member_name,category_name,earliest_declaration,latest_declaration,free_text,extracted_orgs,extracted_sum
uk.org.publicwhip/person/26061,Paulette Hamilton,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2022-03-28,2022-09-05 (latest),House in Leatherhead occupied by a family member: (i). (Registered 21 March 2022),House,
uk.org.publicwhip/person/26061,Paulette Hamilton,Miscellaneous,2022-03-28,2022-09-05 (latest),Lay manager of the Birmingham and Solihull Mental Health Trust. (Registered 21 March 2022),Solihull Mental Health Trust,
uk.org.publicwhip/person/26061,Paulette Hamilton,Miscellaneous,2022-03-28,2022-09-05 (latest),"Registered Nurse at the Bank Universities Hospitals, Birmingham. (Registered 21 March 2022)",,
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-05-30,2022-09-05 (latest),"Until 31 March 2022, a board member of the Local Government Association, 18 Smith Square, Westminster, London SW1P 3HZ, representing the Birmingham City Council Labour Group. (Registered 13 April 2022; updated 26 May 2022)",the Local Government Association; the Birmingham City Council Labour Group,
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-03-28,2022-09-05 (latest),"Until 5 May 2022, Member of Birmingham City Council, 1 Victoria Square, Birmingham B1 1BB. (Registered 21 March 2022)",Birmingham City Council,
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-08-08,2022-08-08,"27 May 2022, received a final payment of £1,292.93. An overpayment of £261 from this sum was returned on 8 July 2022. Hours: 30 hrs. (Registered 01 June 2022; updated 12 July 2022)",,"1,292.93; 261"
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-06-13,2022-07-11,"27 May 2022, received a final payment of £1,292.93. Hours: 30 hrs. (Registered 01 June 2022)",,"1,292.93"
uk.org.publicwhip/person/26061,Paulette Hamilton,Employment and earnings,2022-04-19,2022-05-16,"31 March 2022, final payment of £583.78 from the Local Government Association, 18 Smith Square, Westminster, London SW1P 3HZ, as a board member representing the Birmingham City Council Labour Group. Hours: 32 hrs. (Registered 13 April 2022)",the Local Government Association; the Birmingham City Council Labour Group,583.78
uk.org.publicwhip/person/26061,Paulette Hamilton,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2022-03-28,2022-03-28,House in Birmingham owned by my spouse but from which I receive a share of the rental income: (i) and (ii). (Registered 21 March 2022),House,
uk.org.publicwhip/person/26059,Anna Firth,Miscellaneous,2022-02-28,2022-09-05 (latest),"From 7 February 2022, a Member of the Advisory Council for Invicta National Academy, a community interest company providing online education of which I was the founder and former CEO. This is an unpaid role. (Registered 25 February 2022)",the Advisory Council; Invicta National Academy,
uk.org.publicwhip/person/26059,Anna Firth,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2022-02-28,2022-09-05 (latest),"Joint-owner of a bungalow in Southend, the rental income from which is paid to a family member: (i) and (ii). (Registered 25 February 2022)",,
uk.org.publicwhip/person/26059,Anna Firth,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2022-02-28,2022-09-05 (latest),"Joint-owner of a house in Southend, the rental income from which is paid to a family member: (i) and (ii). (Registered 25 February 2022)",,
uk.org.publicwhip/person/26059,Anna Firth,"Gifts, benefits and hospitality from UK sources",2022-03-14,2022-09-05 (latest),Name of donor: Alexander Brown,,
uk.org.publicwhip/person/26056,Helen Morgan,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2022-01-17,2022-09-05 (latest),"House in Buckinghamshire, owned jointly with my husband: (i) and (ii). (Registered 07 January 2022)",House,
uk.org.publicwhip/person/26056,Helen Morgan,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2022-01-17,2022-09-05 (latest),"House in Cumbria, owned jointly with my husband: (i) and (ii). (Registered 07 January 2022)",House,
uk.org.publicwhip/person/26056,Helen Morgan,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-01-31,2022-09-05 (latest),Name of donor: Antoinette Sandbach,,
uk.org.publicwhip/person/26056,Helen Morgan,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-01-31,2022-09-05 (latest),Name of donor: Chuka Umunna,,
uk.org.publicwhip/person/26056,Helen Morgan,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-01-31,2022-09-05 (latest),Name of donor: Ewan Kirk,,
uk.org.publicwhip/person/26056,Helen Morgan,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-01-31,2022-09-05 (latest),Name of donor: Gitte Dawson,,
uk.org.publicwhip/person/26056,Helen Morgan,(b) Any other support not included in Category 2(a),2022-01-31,2022-09-05 (latest),Name of donor: National Liberal Club,National Liberal Club,
uk.org.publicwhip/person/26056,Helen Morgan,Miscellaneous,2022-05-03,2022-09-05 (latest),"Until 14 March 2022, Parish Councillor, Broughton and Harmer Hill Parish Council. This was an unpaid role. (Registered 07 January 2022; updated 28 April 2022)",Harmer Hill Parish Council,
uk.org.publicwhip/person/26056,Helen Morgan,Employment and earnings,2022-01-17,2022-09-05 (latest),"Until 31 December 2021, Financial Controller for Grocott Developments Ltd (property management), Brookdale, Station Road, Prees, Whitchurch SY13 2DW. Final payment of £1,160.32 received on 24 December 2021. Hours: 15 hrs since my election to Parliament. (Registered 07 January 2022)",Grocott Developments Ltd; Prees; Parliament,"1,160.32"
uk.org.publicwhip/person/26056,Helen Morgan,Miscellaneous,2022-01-17,2022-04-19,"Parish Councillor, Broughton and Harmer Hill Parish Council. This is an unpaid role. (Registered 07 January 2022)",Harmer Hill Parish Council,
uk.org.publicwhip/person/26055,Louie French,Employment and earnings,2022-01-04,2022-09-05 (latest),"22 December 2021, received final payment of £4,580.41 as Portfolio Manager from Tilney Smith & Williamson (wealth management), 6 Chesterfield Gardens, London W1J 5BQ, for handover work after my resignation. Hours: approx. 20 hrs since my election to Parliament. This role ended on 24 December 2021 and, after recalculation, some of this sum will be repaid. (Registered 31 December 2021)",Tilney Smith & Williamson; Parliament,"4,580.41"
uk.org.publicwhip/person/26055,Louie French,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-08-08,2022-09-05 (latest),Name of donor: Andrew Dawber,,
uk.org.publicwhip/person/26055,Louie French,Miscellaneous,2022-01-04,2022-09-05 (latest),Shareholding below registrable threshold in Tilney Smith & Williamson (wealth management). (Registered 31 December 2021),Tilney Smith & Williamson,
uk.org.publicwhip/person/26055,Louie French,Miscellaneous,2022-07-11,2022-09-05 (latest),"Until 4 May 2022, Councillor, Bexley Council. After my election to Parliament, I received no allowances for this role. (Registered 31 December 2021; updated 30 June 2022)","Councillor, Bexley Council; Parliament",
uk.org.publicwhip/person/26055,Louie French,Miscellaneous,2022-01-04,2022-06-27,"Councillor, Bexley Council. Since my election to Parliament, I receive no allowances for this role. (Registered 31 December 2021)","Councillor, Bexley Council; Parliament",
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"10 March 2022, payment of £100 for a survey completed on 13 January 2022. Hours: 20 mins. (Registered 27 May 2022)",,100
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2021-11-15,2022-09-05 (latest),"10 September 2021, payment of £120 for a survey in July 2021. Hours: 40 mins. (Registered 15 November 2021)",,120
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"14 April 2022, payment of £50 for a survey completed on 13 January 2022. Hours: 10 mins. (Registered 27 May 2022)",,50
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"15 January 2022, payment of £100 for a survey completed on 12 December 2022. Hours: 20 mins. (Registered 27 May 2022)",,100
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"23 December 2021, payment of £225 for a survey. Hours: 65 mins. (Registered 17 January 2022)",,225
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"24 March 2022, payment of £170 for a survey completed on 13 February 2022. Hours: 45 mins. (Registered 27 May 2022)",,170
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"4 March 2022, payment of £225 for a survey completed on 17 February 2022. Hours: 30 mins. (Registered 27 May 2022)",,225
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"4 May 2022, payment of £80 for a survey completed on 21 March 2022. Hours: 15 mins. (Registered 27 May 2022)",,80
uk.org.publicwhip/person/26040,Kim Leadbeater,"Gifts, benefits and hospitality from UK sources",2021-09-06,2022-09-05 (latest),"Following the murder of my sister, Jo Cox MP, in 2016, Virgin Trains and later LNER have provided myself and my family with a travel permit for use on personal rail journeys. It is not possible to provide an accurate value for this benefit, but it is expected to be worth over £300 a year. (Registered 06 September 2021)",,over £300
uk.org.publicwhip/person/26040,Kim Leadbeater,(b) Any other support not included in Category 2(a),2021-11-29,2022-09-05 (latest),Name of donor: Adamco Construction Ltd,,
uk.org.publicwhip/person/26040,Kim Leadbeater,(b) Any other support not included in Category 2(a),2021-11-29,2022-09-05 (latest),Name of donor: Butt and Hobbs Ltd,,
uk.org.publicwhip/person/26040,Kim Leadbeater,(b) Any other support not included in Category 2(a),2022-05-16,2022-09-05 (latest),Name of donor: Dan Hughes,,
uk.org.publicwhip/person/26040,Kim Leadbeater,(b) Any other support not included in Category 2(a),2021-11-29,2022-09-05 (latest),Name of donor: La Romantica Beds Ltd,La Romantica Beds Ltd,
uk.org.publicwhip/person/26040,Kim Leadbeater,"Gifts, benefits and hospitality from UK sources",2022-08-08,2022-09-05 (latest),Name of donor: Lawn Tennis Association,Lawn Tennis Association,
uk.org.publicwhip/person/26040,Kim Leadbeater,(b) Any other support not included in Category 2(a),2022-05-16,2022-09-05 (latest),Name of donor: Linda Riley,,
uk.org.publicwhip/person/26040,Kim Leadbeater,(b) Any other support not included in Category 2(a),2022-05-16,2022-09-05 (latest),Name of donor: Waheed Alli,,
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-08-08,2022-09-05 (latest),Payment of £100 expected for a survey completed on 14 July 2022. Hours: 20 mins. (Registered 18 July 2022),,100
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),Payment of £100 expected for a survey completed on 28 April 2022. Hours: 20 mins. (Registered 30 May 2022),,100
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2021-11-15,2022-09-05 (latest),Payment of £100 expected for a survey completed on 7 November 2021. Hours: 40 mins. (Registered 15 November 2021),,100
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2021-11-15,2022-09-05 (latest),Payment of £120 expected for a survey completed on 12 October 2021. Hours: 40 mins. (Registered 15 November 2021),,120
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2021-11-15,2022-09-05 (latest),Payment of £120 expected for a survey completed on 25 October 2021. Hours: 40 mins. (Registered 15 November 2021),,120
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-07-11,2022-09-05 (latest),Payment of £140 expected for a survey completed on 8 June 2022. Hours: 35 mins. (Registered 07 July 2022),,140
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-09-05 (latest),2022-09-05 (latest),Payment of £225 expected for a survey completed on 11 August 2022. Hours: 1 hr. (Registered 12 August 2022),,225
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-08-08,2022-09-05 (latest),Payment of £225 expected for a survey completed on 12 July 2022. Hours: 1 hr. (Registered 12 July 2022),,225
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-06-13,2022-09-05 (latest),"Payment of £250 expected from the University of Manchester, Oxford Road, Manchester M13 9PL, for a speaking engagement on 8 April 2022. Hours: 1 hr. (Registered 09 June 2022)",the University of Manchester,250
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),Payment of £70 expected for a survey completed on 10 May 2022. Hours: 12 mins. (Registered 27 May 2022),,70
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-09-05 (latest),2022-09-05 (latest),Payment of £80 expected for a survey completed on 11 August 2022. Hours: 15 mins. (Registered 12 August 2022),,80
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"Payments from Ipsos MORI, 3 Thomas More Street, London E1W 1YW, for surveys. All fees donated to local charities.",,
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-05-30,2022-09-05 (latest),"Payments from YouGov, 50 Featherstone St, London EC1Y 8RT, for surveys. All fees donated to local charities.",YouGov; Featherstone St,
uk.org.publicwhip/person/26040,Kim Leadbeater,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2021-08-23,2022-07-11,Name of donor: GMB Union,GMB Union,
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2022-01-17,2022-05-16,"23 December 2021, payment of £225 from Ipsos MORI, 3 Thomas More Street, London E1W 1YW, for a survey. Hours: 65 mins. Fee paid direct to local charity. (Registered 17 January 2022)",,225
uk.org.publicwhip/person/26040,Kim Leadbeater,Employment and earnings,2021-11-15,2022-05-16,"Payments from YouGov, 50 Featherstone St, London EC1Y 8RT, for surveys. All fees paid direct to local charities.",YouGov; Featherstone St,
uk.org.publicwhip/person/26034,Sarah Green,Miscellaneous,2021-07-26,2022-09-05 (latest),"Director of Green and Ginger Communications Ltd, a communications company; unpaid since my election to Parliament. (Registered 16 July 2021)",Ginger Communications Ltd; Parliament,
uk.org.publicwhip/person/26034,Sarah Green,(i) Shareholdings: over 15% of issued share capital,2021-07-26,2022-09-05 (latest),Green and Ginger Communications Ltd; communications company. (Registered 16 July 2021),Ginger Communications Ltd,
uk.org.publicwhip/person/26034,Sarah Green,Family members engaged in lobbying the public sector on behalf of a third party or client,2021-11-29,2022-09-05 (latest),"My partner, Daniel Paterson, is a self-employed political consultant. (Registered 16 November 2021)",,
uk.org.publicwhip/person/26034,Sarah Green,"Gifts, benefits and hospitality from UK sources",2021-09-06,2022-09-05 (latest),Name of donor: National Liberal Club,National Liberal Club,
uk.org.publicwhip/person/26034,Sarah Green,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2021-07-26,2022-09-05 (latest),Share in a part-buy flat in London: (i). (Registered 16 July 2021),,
uk.org.publicwhip/person/26034,Sarah Green,Employment and earnings,2021-08-23,2022-07-11,"15 July 2021, received £1,600 from Green and Ginger Communications Ltd, First Floor, Lipton House, Stanbridge Road, Leighton Buzzard LU7 4QQ, for work as a director before my election to Parliament. (Registered 28 July 2021)",Ginger Communications Ltd; First Floor; Lipton House; Leighton Buzzard; Parliament,"1,600"
uk.org.publicwhip/person/26034,Sarah Green,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2021-08-23,2022-07-11,Name of donor: Association of Liberal Democrat Councillors (ALDC),Association of Liberal Democrat Councillors,
uk.org.publicwhip/person/26034,Sarah Green,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2021-08-23,2022-07-11,Name of donor: Orpington Fund of the National Liberal Club,Orpington Fund; the National Liberal Club,
uk.org.publicwhip/person/26020,Anum Qaisar,Visits outside the UK,2021-12-13,2022-09-05 (latest),Name of donor: House of Representatives of the Republic of Cyprus,House of Representatives,
uk.org.publicwhip/person/26020,Anum Qaisar-Javed,Employment and earnings,2021-06-14,2022-06-27,"25 May 2021, received from George Watson’s College, 69 Colinton Road, Edinburgh EH10 5EG, £10,141.12 for work carried out as a teacher, and holiday pay. Hours: one day (approx. 7 hours) since my election. (Registered 04 June 2021)",,
uk.org.publicwhip/person/25984,Jill Mortimer,Employment and earnings,2021-06-14,2022-09-05 (latest),"Allowances received from Hambleton District Council, Civic Centre, Stone Cross, Northallerton DL6 2UU, for my role as a district councillor:",Hambleton District Council; Civic Centre; Stone Cross,
uk.org.publicwhip/person/25984,Jill Mortimer,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2022-05-03,2022-09-05 (latest),Name of donor: Carlton Club Political Committee,Carlton Club Political Committee,
uk.org.publicwhip/person/25984,Jill Mortimer,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2021-11-15,2022-09-05 (latest),Name of donor: IX Wireless Ltd,,
uk.org.publicwhip/person/25984,Jill Mortimer,Employment and earnings,2021-11-15,2022-09-05 (latest),"Until I stood down on 15 October 2021, I received £579.83 a month for an average of 20 hrs a month. (Registered 02 June 2021; updated 02 November 2021)",,579.83
uk.org.publicwhip/person/25984,Jill Mortimer,Employment and earnings,2021-11-15,2022-06-27,"25 May 2021, received £579.83. Hours: 15 hrs since my election. (Registered 02 June 2021)",,579.83
uk.org.publicwhip/person/25984,Jill Mortimer,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2021-06-28,2022-06-27,Name of donor: Stalbury Trustees,,
uk.org.publicwhip/person/25984,Jill Mortimer,Employment and earnings,2021-06-14,2021-11-01,"25 May 2021, received £579.83. Hours: 15 hrs since my election.        (Registered 02 June 2021)",,579.83
uk.org.publicwhip/person/25984,Jill Mortimer,Employment and earnings,2021-06-14,2021-11-01,Until further notice I receive £579.83 a month for an average of 20 hrs a month. (Registered 02 June 2021),,579.83
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2020-07-06,2022-09-05 (latest),"From 1 July 2020, Member of Wilton Park Advisory Council, a not-for-profit executive agency of the Foreign and Commonwealth Office which organises events that bring together leading representatives from politics, diplomacy, academia, business, civil society, the military and the media. This is an unpaid role. (Registered 06 July 2020)",Wilton Park Advisory Council; the Foreign and Commonwealth Office,
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2021-04-26,2022-09-05 (latest),"In recognition of my previous 20 years' service, Sky Subscriber Services Ltd has provided me with an open-ended subscription to Sky television and telecommunication packages. Annual value for 2021-2022, approx. £1,000. (Registered 10 January 2020; updated 13 April 2021)",Sky Subscriber Services Ltd,"1,000"
uk.org.publicwhip/person/25927,Andrew Griffith,"Gifts, benefits and hospitality from UK sources",2021-09-06,2022-09-05 (latest),Name of donor: Cowdray Park Polo Club,,
uk.org.publicwhip/person/25927,Andrew Griffith,"Gifts, benefits and hospitality from UK sources",2021-09-06,2022-09-05 (latest),Name of donor: The Goodwood Estate Company Ltd,The Goodwood Estate Company Ltd,
uk.org.publicwhip/person/25927,Andrew Griffith,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2020-01-11,2022-09-05 (latest),"One holiday home in Cornwall, owned jointly with my wife: (i) and (ii). (Registered 10 January 2020)",,
uk.org.publicwhip/person/25927,Andrew Griffith,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",2020-01-11,2022-09-05 (latest),"One house and two flats in London, owned jointly with my wife: (i) and (ii). (Registered 10 January 2020)",,
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2021-04-26,2021-11-29,"Until 1 November 2020, I was an unpaid trustee of the Nigel Vinson Charitable Trust (No 265077). (Registered 10 January 2020; updated 20 April 2021)",the Nigel Vinson Charitable Trust,
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2020-10-12,2021-10-18,"On 21 September 2020, I accepted a painting from Sky Arts with a value of approximately £290. (Registered 07 October 2020)",Sky Arts,approximately £290
uk.org.publicwhip/person/25927,Andrew Griffith,Employment and earnings,2020-07-06,2021-07-26,"19 June 2020, received £1,600 from Mosaic Research Management (proprietary investment research), LLC, 590 Madison Avenue, New York, NY10022, US, for Market research on European tech companies. Hours: approx. 2 hrs. (Registered 06 July 2020)",Mosaic Research Management; LLC; NY10022,"1,600"
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2021-06-01,2021-07-26,"From 1 January to 31 December 2021, complimentary social membership of the Cowdray Park Polo Club with a value of £205. (Registered 18 May 2021)",,205
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2020-01-11,2021-04-12,I am an unpaid trustee of The Nigel Vinson Charitable Trust (No 265077). (Registered 10 January 2020),The Nigel Vinson Charitable Trust,
uk.org.publicwhip/person/25927,Andrew Griffith,Miscellaneous,2020-01-11,2021-04-12,"In recognition of my previous 20 years' service, Sky Subscriber Services Ltd has provided me with a complimentary subscription to Sky television and telecommunication packages for 2019-2020, approx. value £1,000. (Registered 10 January 2020)",Sky Subscriber Services Ltd,"1,000"
uk.org.publicwhip/person/25927,Andrew Griffith,Visits outside the UK,2020-03-16,2021-02-15,Name of donor: Satellite Applications Catapult Ltd,Satellite Applications Catapult Ltd,
uk.org.publicwhip/person/25927,Andrew Griffith,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2020-01-11,2021-01-18,Name of donor: Churchill Luncheon Club,Churchill Luncheon Club,
uk.org.publicwhip/person/25927,Andrew Griffith,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2020-01-11,2021-01-18,Name of donor: James Manktelow,,
uk.org.publicwhip/person/25927,Andrew Griffith,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2020-01-11,2021-01-18,Name of donor: Joseph Bamford,,
uk.org.publicwhip/person/25926,Suzanne Webb,Employment and earnings,2021-02-01,2022-09-05 (latest),"Councillor, Birmingham City Council, Victoria Square, Birmingham B1 1BB. Until further notice, I receive a monthly payment of £1,435.58. Hours: 56 hrs per month. (Registered 08 January 2020)",Birmingham City Council,"1,435.58"
uk.org.publicwhip/person/25926,Suzanne Webb,(i) Shareholdings: over 15% of issued share capital,2020-01-11,2022-09-05 (latest),Newhall Consultancy Ltd; management consultancy. (Registered 08 January 2020),Newhall Consultancy Ltd,
uk.org.publicwhip/person/25926,Suzanne Webb,Employment and earnings,2020-01-11,2021-01-18,"30 December 2019, received £1,435.58. Hours: 28 hrs. (Registered 08 January 2020)",,"1,435.58"
uk.org.publicwhip/person/25926,Suzanne Webb,Employment and earnings,2020-01-11,2021-01-18,"Councillor, Birmingham City Council, Victoria Square, Birmingham B1 1BB:",Birmingham City Council,
uk.org.publicwhip/person/25926,Suzanne Webb,Employment and earnings,2020-01-11,2021-01-18,"Until further notice, I receive a monthly payment of £1,435.58. Hours: 56 hrs per month. (Registered 08 January 2020)",,"1,435.58"
uk.org.publicwhip/person/25925,Greg Smith,Miscellaneous,2022-08-08,2022-09-05 (latest),"From 11 July 2022, Deputy Chairman of Conservative Way Forward. I was previously a Member of its Advisory Board. This is an unpaid role. (Registered 30 December 2019; updated 01 August 2022)",Conservative Way Forward; Advisory Board,
uk.org.publicwhip/person/25925,Greg Smith,Miscellaneous,2021-05-17,2022-09-05 (latest),"From 21 April 2021, Co-Chairman of the Free Market Forum, a project of the Institute of Economic Affairs. This is an unpaid role. (Registered 28 April 2021)",the Free Market Forum; the Institute of Economic Affairs,
uk.org.publicwhip/person/25925,Greg Smith,Visits outside the UK,2022-05-03,2022-09-05 (latest),Name of donor: Conservative Friends of Israel Ltd,Conservative Friends of Israel Ltd,
uk.org.publicwhip/person/25925,Greg Smith,"Gifts, benefits and hospitality from UK sources",2021-11-01,2022-09-05 (latest),Name of donor: Curry Life Media Group,Curry Life Media Group,
uk.org.publicwhip/person/25925,Greg Smith,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,2021-10-18,2022-09-05 (latest),Name of donor: Daniel W Lowe,,
