ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,VisitLocations,VisitLocations_1_Country,VisitLocations_1_Destination,Purpose,StartDate,EndDate,Appg,Donors,Donors_1_Name,Donors_1_IsPrivateIndividual,Donors_1_PublicAddress,Donors_1_PaymentType,Donors_1_PaymentDescription,Donors_1_Value,Donors_1_IsSoleBeneficiary,VisitLocations_2_Country,VisitLocations_2_Destination,VisitLocations_3_Country,VisitLocations_3_Destination,Donors_2_Name,Donors_2_IsPrivateIndividual,Donors_2_PublicAddress,Donors_2_PaymentType,Donors_2_PaymentDescription,Donors_2_Value,Donors_2_IsSoleBeneficiary,Donors_3_Name,Donors_3_IsPrivateIndividual,Donors_3_PublicAddress,Donors_3_PaymentType,Donors_3_PaymentDescription,Donors_3_Value,Donors_3_IsSoleBeneficiary,Donors_4_Name,Donors_4_IsPrivateIndividual,Donors_4_PublicAddress,Donors_4_PaymentType,Donors_4_PaymentDescription,Donors_4_Value,Donors_4_IsSoleBeneficiary,Donors_5_Name,Donors_5_IsPrivateIndividual,Donors_5_PublicAddress,Donors_5_PaymentType,Donors_5_PaymentDescription,Donors_5_Value,Donors_5_IsSoleBeneficiary,Link_1
8569,,International visit to Israel between 03 September 2023 and 07 September 2023,2024-07-31,2024-07-31,,Visits outside the UK,Danny Beales,5339,,Israel,,"Fact-finding visit to meet with Israeli and Palestinian politicians, academics, activists, charity workers and diplomats.",03/09/2023,07/09/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation, transport and meals",2200.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8569
8704,,International visit to Sri Lanka between 04 March 2024 and 09 March 2024,2024-07-31,2024-07-31,,Visits outside the UK,Sam Rushworth,5108,,Sri Lanka,Colombo and Jafna,Visits to UK Aid funded projects (including British Council and Halo Trust's de-landmine operations) and meetings with political leaders from multiple parties.,04/03/2024,09/03/2024,,,Coalition for Global Prosperity,False,"Coalition for Global Prosperity, 1 Horse Guards Ave, London SW1A 2HU",In kind,"Flights & Transport (£2054.01), Accommodation (£1028.05), Meals and Subsistence (£241.02)",3323.48,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8704
7365,,International visit to Israel between 09 July 2023 and 13 July 2023,2024-07-29,2024-07-30,,Visits outside the UK,Kevin Bonavia,5051,,Israel,,To get a better understanding of the political situation in Israel and Palestine,09/07/2023,13/07/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",1950.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7365
7188,,International visit to Kenya between 10 February 2024 and 15 February 2024,2024-07-29,2024-07-30,,Visits outside the UK,Monica Harding,5299,,Kenya,,"To see first hand the impact of UK overseas development assistance in treating and preventing malnutrition, and the work of national and regional government, civil society, health workers, local businesses and local communities in tackling malnutrition, including UNICEF.",10/02/2024,15/02/2024,,,United Against Malnutrition and Hunger,False,"8 St Thomas Street, London SE1 9RS",In kind,"Flights £950
Accommodation £800
Travel medication £300
Food, visa, transport and in-country expenses £125",2175.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7188
8265,,International visit to United States between 07 July 2024 and 10 July 2024,2024-07-30,2024-07-30,,Visits outside the UK,Suella Braverman,4475,,United States,Washington DC,Give a speech,07/07/2024,10/07/2024,,,Edmund Burke Foundation Inc,False,"600 Pennsylvania Avenue, SE STE 220, Washington, DC 20003-4375",In kind,"Return flights (£5661.79), accommodation (£485.50), transfers (£259.12) and meals (approx £100)",6506.41,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8265
7565,,International visit to Kenya between 10 February 2024 and 15 February 2024,2024-07-26,2024-07-30,,Visits outside the UK,Steve Race,5064,,Kenya,,"To see the impact of UK overseas development in treating and preventing malnutrition, and the work of national and regional government, civil society, health workers, local businesses and communities in tackling malnutrition.",10/02/2024,15/02/2024,,,United Against Malnutrition and Hunger,False,"8 St Thomas Street, London SE1 9RS",In kind,"Flights (£950)
Accommodation (£800)
Travel medication (£300)
Food, visa, transport, and in-country expenses (£125)",2175.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7565
8138,,International visit to Israel between 09 July 2023 and 13 July 2023,2024-07-30,2024-07-30,,Visits outside the UK,Jessica Toale,5202,,Israel,,"Fact-finding visit to Israel and the Occupied Palestinian Territories. Meetings with Israeli and Palestinian politicians, academics, activists and diplomats.",09/07/2023,13/07/2023,,,Labour Friends of Israel,False,"BM LFI, London, WC1N 3XX",In kind,"Flights, accommodation and meals",1950.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8138
7220,,International visit to Italy between 16 April 2024 and 18 April 2024,2024-07-29,2024-07-29,,Visits outside the UK,Mr Douglas Alexander,632,,Italy,,Conference,16/04/2024,18/04/2024,,,Global Leaders in Law,False,"10 Queen Street Place, London EC4R 1AG",Monetary,"Travel allowance (£500.00) and hotel accommodation, estimate of probable value (£2000).",2500.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7220
7219,,International visit to Israel between 03 September 2023 and 07 September 2023,2024-07-24,2024-07-24,,Visits outside the UK,Jo Platt,4673,,Israel,Palestine,"Fact finding visit. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats",03/09/2023,07/09/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",2200.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7219
7351,,International visit to Palestine between 09 July 2023 and 13 July 2023,2024-07-24,2024-07-24,,Visits outside the UK,Mike Tapp,5266,,Palestine,,"Fact finding visit to Israel and Palestine. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",09/07/2023,13/07/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",1950.00,True,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7351
7149,,International visit to Israel between 12 February 2024 and 16 February 2024,2024-07-24,2024-07-24,,Visits outside the UK,Ben Obese-Jecty,5089,,Israel,,Fact finding political delegation,12/02/2024,16/02/2024,,,Conservative Friends of Israel Ltd (CFI Ltd),False,"CFI Ltd, PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality",2650.00,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/7149
6578,,International visit to Israel between 03 September 2023 and 07 September 2023,2024-07-18,2024-07-19,,Visits outside the UK,Graeme Downie,5275,,Israel,,"Fact-finding visit. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",03/09/2023,07/09/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, accommodation and meals",2200.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6578
6692,,International visit to Israel between 09 July 2023 and 13 July 2023,2024-07-19,2024-07-19,,Visits outside the UK,Jon Pearce,5115,,Israel,,"Fact finding visit to Israel and the Palestinian territories. Meetings with Israeli and Palestinian politicians, academics, activists and diplomats.",09/07/2023,13/07/2023,,,Labour Friends of Israel,False,BM LFI London WC1N 3XX,In kind,"Flights, accommodation and meals.",1950.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6692
6575,,International visit to Israel between 03 September 2023 and 07 September 2023,2024-07-17,2024-07-18,,Visits outside the UK,Melanie Onn,4464,,Israel,,"Fact finding visit. Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",03/09/2023,07/09/2023,,,Labour Friends of Israel,False,"BM LFI, London WC1N 3XX",In kind,"Flights, hotel and meals",2200.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6575
6473,,International visit to Israel between 03 September 2023 and 07 September 2023,2024-07-16,2024-07-17,,Visits outside the UK,Dan Tomlinson,5282,,Israel,,"Meeting with Israeli and Palestinian politicians, academics, activists and diplomats.",03/09/2023,07/09/2023,,,Labour Friends of Israel,False,"BM LFI, London, WC1N 3XX",In kind,"Flights, accommodation, meals",2200.00,True,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6473
