public_whip_id,member_name,registry_date,category_type,category_name,free_text,extracted_orgs,extracted_money
uk.org.publicwhip/person/24878,Nigel Adams,2022-05-16,9,Family members employed and paid from parliamentary expenses,"I employ my spouse, Claire Adams, as part-time Office Manager.",,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,1,Employment and earnings,"From 27 November 2020 until 31 January 2022, non-executive director of Apprentify Limited, Crown House, Manchester Road, Wilmslow SK9 1BH, an organisation which helps provide apprenticeships to young people. I received £2,500 per month for an expected commitment of 8–10 hours per month. (Registered 07 December 2020; updated 16 February 2022)",Apprentify Limited; Crown House,"2,500"
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Hitchin and Harpenden Portcullis Club,,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Hitchin and Harpenden Portcullis Club,,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: BPI,,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,8,Miscellaneous,Member (unpaid) of the Ditchley Foundation's Programme Committee. (Registered 06 July 2017),the Ditchley Foundation's; Programme Committee,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,8,Miscellaneous,"From June 2017, Member (unpaid) of the Court of the University of Bedfordshire. (Registered 30 January 2018)",the Court of the University of Bedfordshire,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,8,Miscellaneous,"From 13 September 2018, Member (unpaid) of the Financial Inclusion Commission, a cross-party organisation which supports the principle of increased financial inclusion in the UK. (Registered 21 September 2018)",the Financial Inclusion Commission,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,8,Miscellaneous,"From 22 October 2018, Trustee (unpaid) of the Mitsubishi UFJ Trust Oxford Foundation, which supports the Oxford Union Literary and Debating Trust and through it the charitable activities of the Oxford Union Society. (Registered 05 November 2018)",Trustee; the Mitsubishi UFJ Trust Oxford Foundation; the Oxford Union Literary and Debating Trust; the Oxford Union Society,
uk.org.publicwhip/person/25661,Bim Afolami,2022-05-16,8,Miscellaneous,"From 11 February 2022, Vice Chairman of the Conservative Party. This is an unpaid role. (Registered 11 April 2022)",the Conservative Party,
uk.org.publicwhip/person/11929,Adam Afriyie,2022-05-16,7,(i) Shareholdings: over 15% of issued share capital,,,
uk.org.publicwhip/person/11929,Adam Afriyie,2022-05-16,8,Miscellaneous,,,
uk.org.publicwhip/person/25817,Nickie Aiken,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",,,
uk.org.publicwhip/person/25817,Nickie Aiken,2022-05-16,3,"Gifts, benefits and hospitality from UK sources","On 22 October 2021, I accepted honorary membership of the Carlton Club for the duration of my time as the MP for the Cities of London and Westminster. (Registered 01 November 2021)",the Carlton Club; the Cities of London,
uk.org.publicwhip/person/25817,Nickie Aiken,2022-05-16,4,Visits outside the UK,"Name of donor: Ministry of Foreign Affairs, Qatar",Ministry of Foreign Affairs,
uk.org.publicwhip/person/25817,Nickie Aiken,2022-05-16,4,Visits outside the UK,Name of donor: Conservative Friends of Israel Ltd (CFI Ltd),CFI Ltd,
uk.org.publicwhip/person/25817,Nickie Aiken,2022-05-16,8,Miscellaneous,"Unpaid director of Sprucespace Ltd, a freehold management company. (Registered 08 January 2020)",Sprucespace Ltd,
uk.org.publicwhip/person/24904,Peter Aldous,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","Partner in a family farm in Halesworth, Suffolk: (i) and (ii).",,
uk.org.publicwhip/person/24904,Peter Aldous,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","Interest in a farm near Ipswich, Suffolk: (i) and (ii). (Updated 12 July 2017)",,
uk.org.publicwhip/person/24958,Rushanara Ali,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",Two residential properties in London: (i) and (ii). (Registered 16 September 2014),,
uk.org.publicwhip/person/24958,Rushanara Ali,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","From 7 September 2020, a residential property in London, co-owned with a family member: (i). (Registered 29 April 2021)",,
uk.org.publicwhip/person/24958,Rushanara Ali,2022-05-16,8,Miscellaneous,"From 16 May 2020, a Trustee of the Sisters Trust, a registered charity that makes donations to organisations committed to challenging racial and sexual inequality. This is an unpaid role. (Registered 18 June 2020; updated 24 June 2020)",,
uk.org.publicwhip/person/25888,Tahir Ali,2022-05-16,1,Employment and earnings,"Payments from Birmingham City Council, Victoria Square, Birmingham B1 1BB:",Birmingham City Council,
uk.org.publicwhip/person/25888,Tahir Ali,2022-05-16,1,Employment and earnings,"From 15 September 2020 until 24 May 2021, I received an annual allowance of £17,954 (backdated to 19 May 2020) for my role as a Councillor. Hours: approx. 75 hrs per month. Between my election to Parliament and 18 May 2020, I received an annual allowance of £17,227. (Registered 15 April 2020; updated 16 September 2020 and 10 June 2021)",Parliament,"17,954; 17,227"
uk.org.publicwhip/person/25888,Tahir Ali,2022-05-16,1,Employment and earnings,"From 25 May 2021 until further notice, I receive an annual allowance of £18,681 for my role as a Councillor. Hours: approx. 75 hrs per month. (Registered 10 June 2021)",,"18,681"
uk.org.publicwhip/person/25888,Tahir Ali,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",House in Birmingham: (i). (Registered 08 January 2020),House,
uk.org.publicwhip/person/25888,Tahir Ali,2022-05-16,8,Miscellaneous,"Engineer, Royal Mail, St Stephens Street, Aston, Birmingham B6 4AA. On unpaid leave since 13 December 2019. (Registered 08 January 2020; updated 14 April 2020)",Royal Mail,
uk.org.publicwhip/person/25337,Lucy Allan,2022-05-16,8,Miscellaneous,"From 19 June 2020, Director of Telford Towns Fund Board. This is an unpaid role. (Registered 03 July 2020)",Telford Towns Fund Board,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"Payments received from St George's Hospital NHS Trust, Blackshaw Road, London SW17 0QT, for my work as a doctor:",St George's Hospital NHS Trust,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"30 June 2021, received £622. Hours: 10 hrs. (Registered 30 June 2021)",,622
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"21 July 2021, received £570 for a shift worked on 9 July 2021. Hours worked: 10 hrs. (Registered 17 August 2021)",,570
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"21 July 2021, received £665 for shift worked on 11 July 2021. Hours: 10 hrs. (Registered 17 August 2021)",,665
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"28 July 2021, received £585. Hours: 10.25 hrs. (Registered 17 August 2021)",,585
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"4 August 2021, received £585. Hours: 10.25 hrs. (Registered 17 August 2021)",,585
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"11 August 2021, received £600 for a shift worked on 27 July 2021. Hours: 10 hrs. (Registered 17 August 2021)",,600
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"11 August 2021, received £435 for a shift worked on 30 July 2021. Hours: 8 hrs. (Registered 17 August 2021)",,435
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"28 October 2021, received £525 for a shift worked on 13 October 2021. Hours: 8 hrs. (Registered 25 November 2021)",,525
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"3 November 2021, received £665 for a shift worked on 23 October 2021. Hours: 10 hrs. (Registered 25 November 2021)",,665
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"10 November 2021, received £665 for a shift worked on 31 October 2021. Hours: 10 hrs. (Registered 25 November 2021)",,665
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"29 December 2021, received £480 for a shift worked on 12 December 2021. Hours: 8.5 hrs. (Registered 24 January 2022)",,480
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"12 January 2022, received £665. Hours: 10 hrs. (Registered 07 February 2022)",,665
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"12 January 2022, received £450. Hours: 8 hrs. (Registered 07 February 2022)",,450
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"19 January 2022, received £665. Hours: 10 hrs. (Registered 07 February 2022)",,665
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"19 January 2022, received £595. Hours: 9 hrs. (Registered 07 February 2022)",,595
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"10 March 2022, received £525. Hours: 8 hrs. (Registered 31 March 2022)",,525
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"27 April 2022, received £570. Hours: 10 hrs. (Registered 25 April 2022)",,570
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"Payments from the GP Surgery, 6-10 St George's Road, Wimbledon SW19 4DP, for assisting with holiday cover for GPs on annual leave:",,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"6 May 2021, received £572. Hours: 10 hrs. (Registered 03 June 2021)",,572
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,1,Employment and earnings,"15 November 2021, payment of £120 from YouGov, 50 Featherstone Street, London EC1Y 8RT, for a survey. Hours: 1 hr. (Registered 14 December 2021)",YouGov,120
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Trust Reservations Ltd,Trust Reservations Ltd,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Caroline Hirons Ltd,Caroline Hirons Ltd,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: David Kogan Ltd,,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Chris Killourhy,,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Henley Homes,,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: DCD London,DCD,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,4,Visits outside the UK,Name of donor: David Kogan Ltd,,
uk.org.publicwhip/person/25579,Rosena Allin-Khan,2022-05-16,8,Miscellaneous,"From 11 January 2021 until 8 March 2021, I undertook voluntary shifts at the Royal London Hospital as a member of the Family Support and Liaison Team. (Registered 28 May 2021)",the Royal London Hospital; the Family Support,
uk.org.publicwhip/person/25702,Mike Amesbury,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",Two bedroom terraced house in Manchester: (i). (Registered 30 June 2017),,
uk.org.publicwhip/person/25813,Fleur Anderson,2022-05-16,1,Employment and earnings,"Until 29 March 2021, Member of Wandsworth Borough Council, Town Hall, Wandsworth High St, London SW18 2PU. I received a monthly allowance of £689.79 for an expected commitment of 12 hrs a week. (Registered 10 January 2020; updated 17 May 2021)",Wandsworth Borough Council,689.79
uk.org.publicwhip/person/25813,Fleur Anderson,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: All England Lawn Tennis Club,All England Lawn Tennis Club,
uk.org.publicwhip/person/25813,Fleur Anderson,2022-05-16,4,Visits outside the UK,,,
uk.org.publicwhip/person/25813,Fleur Anderson,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","Until 4 June 2021, I received income from a lodger in my London home: (i). (Registered 10 January 2020; updated 20 May 2021)",,
uk.org.publicwhip/person/25813,Fleur Anderson,2022-05-16,8,Miscellaneous,"On 24 December 2021, I received a collection of children's books worth £800 from the Publisher Association, which I have donated to a charity in my constituency. (Registered 19 January 2022)",the Publisher Association,800
uk.org.publicwhip/person/25894,Lee Anderson,2022-05-16,1,Employment and earnings,"Until 15 March 2021, Councillor, Mansfield District Council, Chesterfield Rd, Mansfield NG19 7BH. I received an allowance of £532.16 a month, final payment on 12 March 2021. Hours: approx. 10 hrs a week. (Registered 10 January 2020; updated 21 June 2021)",Mansfield District Council,532.16
uk.org.publicwhip/person/25894,Lee Anderson,2022-05-16,1,Employment and earnings,"Payment of £1,000 expected from the Mail on Sunday, Northcliffe House, 2 Derry Street, London W8 5TT, for an article written on 2 January 2022. Hours: 2 hrs. Fee will be paid direct to a local educational trust. (Registered 07 January 2022)",Northcliffe House,"1,000"
uk.org.publicwhip/person/25894,Lee Anderson,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Cayzer Trust Company,Cayzer Trust Company,
uk.org.publicwhip/person/25894,Lee Anderson,2022-05-16,4,Visits outside the UK,Name of donor: Conservative Friends of Israel Ltd (CFI Ltd),CFI Ltd,
uk.org.publicwhip/person/25894,Lee Anderson,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","From 4 March 2021 until 14 March 2022, a residential property in Ashfield: (i). (Registered 21 June 2021; updated 17 March 2022)",,
uk.org.publicwhip/person/25894,Lee Anderson,2022-05-16,8,Miscellaneous,"From 21 January 2020, Member of the Town Fund Board for Ashfield. This is an unpaid role. (Registered 10 February 2020)",the Town Fund Board,
uk.org.publicwhip/person/25818,Stuart Anderson,2022-05-16,8,Miscellaneous,"From 24 January 2020, member of the Wolverhampton Towns Board. This is an unpaid role. (Registered 04 February 2020)",the Wolverhampton Towns Board,
uk.org.publicwhip/person/24864,Stuart Andrew,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Power Leisure Bookmakers Ltd,,
uk.org.publicwhip/person/24864,Stuart Andrew,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","Until 1 December 2021, a house in Leeds: (i) and (ii). (Updated 21 February 2022)",,
uk.org.publicwhip/person/25335,Caroline Ansell,2022-05-16,1,Employment and earnings,"18 March 2022, received £110 from Willingdon Community School, Broad Road, Lower Willingdon, Eastbourne BN20 9QX, via Hays Specialist Recruitment, 2nd Floor International House, 78 - 81 Queens Road, Brighton BN1 3XE, for supply teaching. Hours: 8 hrs. Fee, net of tax, returned to Willingdon Community School. (Registered 28 March 2022)",Willingdon Community School; Hays Specialist Recruitment; 2nd Floor International House; Willingdon Community School,110
uk.org.publicwhip/person/25335,Caroline Ansell,2022-05-16,1,Employment and earnings,"18 March 2022, received £220 from the Eastbourne Academy, Brodrick Road, Eastbourne BN22 9RQ, via Hays Specialist Recruitment, 2nd Floor International House, 78 - 81 Queens Road, Brighton BN1 3XE, for supply teaching. Hours: 16 hrs. Fee, net of tax, returned to the Eastbourne Academy. (Registered 28 March 2022)",the Eastbourne Academy; Eastbourne BN22 9RQ; Hays Specialist Recruitment; 2nd Floor International House; the Eastbourne Academy,220
uk.org.publicwhip/person/25335,Caroline Ansell,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Carlton Club Political Committee,Carlton Club Political Committee,
uk.org.publicwhip/person/25335,Caroline Ansell,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Wirral Chamber of Commerce,Wirral Chamber of Commerce,
uk.org.publicwhip/person/25335,Caroline Ansell,2022-05-16,4,Visits outside the UK,Name of donor: UAE Ministry of Foreign Affairs and International Cooperation,UAE Ministry of Foreign Affairs and International Cooperation,
uk.org.publicwhip/person/25335,Caroline Ansell,2022-05-16,8,Miscellaneous,"Until 7 May 2021, Councillor, Eastbourne Borough Council. From 1 January 2020 onwards, I received no allowances for this role. (Registered 11 January 2020; updated 07 February 2022)",Eastbourne Borough Council,
uk.org.publicwhip/person/25634,Tonia Antoniazzi,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Heineken UK Ltd,Heineken UK Ltd,
uk.org.publicwhip/person/25634,Tonia Antoniazzi,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",,,
uk.org.publicwhip/person/25120,Jon Ashworth,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Leicester City Football Club Ltd,Leicester City Football Club Ltd,
uk.org.publicwhip/person/25120,Jon Ashworth,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: The Football Association Premier League Ltd,The Football Association,
uk.org.publicwhip/person/25120,Jon Ashworth,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Curve Theatre (Leicester Theatre Trust Limited),Curve Theatre (Leicester Theatre Trust Limited,
uk.org.publicwhip/person/25120,Jon Ashworth,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Curve Theatre (Leicester Theatre Trust Limited),Curve Theatre (Leicester Theatre Trust Limited,
uk.org.publicwhip/person/25120,Jon Ashworth,2022-05-16,3,"Gifts, benefits and hospitality from UK sources",Name of donor: Curve Theatre (Leicester Theatre Trust Limited),Curve Theatre (Leicester Theatre Trust Limited,
uk.org.publicwhip/person/25120,Jon Ashworth,2022-05-16,8,Miscellaneous,"From 29 January 2021 until January 2023, a Policy Fellowship at the Centre for Science and Policy (CSaP) at the University of Cambridge. (Registered 23 April 2021)",the University of Cambridge,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"Payments from Ipsos MORI, 3 Thomas More Square, London E1W 1YW, for surveys:",,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"30 July 2021, received £275 for a survey on 16 July 2021. Hours: 2 hrs. (Registered 09 August 2021)",,275
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"From 11 June 2020 to 3 July 2020, employed by Betsi Cadwaladr University Health Board, Ysbyty Gwynedd, Penrhosgarnedd, Bangor LL57 2PW, as a part time nurse at Wrexham Maelor Hospital. (Registered 15 June 2020)",Betsi Cadwaladr University Health Board; Ysbyty Gwynedd; Wrexham Maelor Hospital,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"21 May 2021, received £735 Covid Bonus for employment from 11 June 2020 to 3 July 2020. Hours: no additional hours. (Registered 07 June 2021)",,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"Payments from YouGov, 50 Featherstone Street, London EC1Y 8RT, for surveys:",YouGov,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"9 February 2021, received £40 for a survey on 27 November 2020. Hours: 1 hr. Fee donated to charity. (Registered 07 June 2021)",,40
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"9 February 2021, received £100 for a survey on 15 January 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 07 June 2021)",,100
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"20 April 2021, received £60 for a survey on 1 February 2021. Hours: 1 hr. Fee donated to charity. (Registered 07 June 2021)",,60
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"28 May 2021, received £100 for a survey on 18 February 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 07 June 2021)",,100
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"1 June 2021, received £120 for a survey on 11 April 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 07 June 2021)",,120
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"24 June 2021, received £110 for a survey on 21 April 2021. Hours: 1 hr. Fee donated to charity. (Registered 14 July 2021)",,110
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"27 July 2021, received £160 for a survey on 10 June 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 09 August 2021)",,160
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"24 June 2021, received £40 for a survey on 13 May 2021. Hours: 1 hr. Fee donated to charity. (Registered 08 September 2021)",,40
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"6 September 2021, received £120 for a survey on 11 July 2021. Hours: 2 hrs. (Registered 10 September 2021)",,120
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"15 November 2021, received £170 for a survey completed on 9 September 2021. Hours: 2.5 hrs. Fee donated to charity. (Registered 17 November 2021)",,170
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"11 November 2021, received £120 for a survey completed on 11 October 2021. Hours: 2.5 hrs. Fee donated to charity. (Registered 26 November 2021)",,120
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"6 December 2021, received £100 for a survey completed on 7 November 2021. Hours: 2 hrs. (Registered 15 December 2021)",,100
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"13 January 2022, received £100 for a survey on 6 December 2021. Hours: 1.5 hrs. (Registered 11 May 2022)",,100
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"11 March 2022, received £100 for a survey on 19 January 2022. Hours: 1.5 hrs. Fee donated to charity. (Registered 11 May 2022)",,100
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"5 May 2022, received £170 for a survey on 5 February 2022. Hours: 2 hrs. Fee donated to charity. (Registered 11 May 2022)",,170
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"10 May 2022, received £80 for a survey on 9 March 2022. Hours: 1 hr. Fee donated to charity. (Registered 16 May 2022)",,80
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"Payments from Savanta Group Ltd, 3 Melville Street, Edinburgh EH3 7PE, for surveys:",Savanta Group Ltd,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"7 January 2021, received £75 for a survey on 9 December 2020. Hours: 1.5 hrs. Fee donated to charity. (Registered 30 June 2021)",,75
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"4 March 2021, received £75 for a survey on 1 February 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 30 June 2021)",,75
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"6 April 2021, received £75 for a survey on 9 February 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 30 June 2021)",,75
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"27 May 2021, received £75 for a survey on 6 March 2021. Hours: 1.5 hrs. Fee donated to charity. (Registered 30 June 2021)",,75
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"25 June 2021, received £75 for a survey on 20 May 2021. Hours: 1.5 hrs. (Registered 30 June 2021)",,75
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,1,Employment and earnings,"30 July 2021, received £100 for a survey on 16 July 2021. Hours: 1.5 hrs. (Registered 09 August 2021)",,100
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,2,(b) Any other support not included in Category 2(a),Name of donor: Carlton Club Political Committee,Carlton Club Political Committee,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,4,Visits outside the UK,Name of donor: (1) Lockheed Martin UK Ltd (2) CAE U.K. Plc,Lockheed Martin UK Ltd; CAE U.K. Plc,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,4,Visits outside the UK,Name of donor: Conservative Friends of Israel Ltd (CFI Ltd),CFI Ltd,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",House in Wrexham: (i) and (ii). (Registered 08 January 2020),House,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year",House in Cheshire: (i) and (ii). (Registered 08 January 2020),House,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,8,Miscellaneous,"Registered social worker, Social Care Wales. (Registered 08 January 2020)",Social Care Wales,
uk.org.publicwhip/person/25810,Sarah Atherton,2022-05-16,8,Miscellaneous,Registered as a specialist district nurse with the Nursing and Midwifery Council. Registration currently dormant. (Registered 08 January 2020),the Nursing and Midwifery Council,
uk.org.publicwhip/person/25424,Victoria Atkins,2022-05-16,6,"Land and property portfolio: (i) value over £100,000 and/or (ii) giving rental income of over £10,000 a year","From 13 April 2018, house in London: (i) and, until 18 June 2021, (ii). (Registered 19 April 2018; updated 04 February 2022)",,
