ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,VisitLocations_Country_3,VisitLocations_Destination_3
13937,International visit to Belgium between 26 October 2025 and 27 October 2025,,2025-11-21,2025-11-21,,Visits outside the UK,5316,Mike Reader,Belgium,,"In my role as Chair of the APPG for Food and Drink, I was invited to visit Coca Cola's Research and Development site in Brussels.",2025-10-26,2025-10-27,,Coca-Cola Europacific Partners plc,False,"Pemberton House, Bakers Road, Uxbridge UB8 1EZ",In kind,Train travel (£160) and overnight accommodation (£300),460.00,True,https://interests-api.parliament.uk/api/v1/Interests/13937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13930,International visit to Switzerland between 05 November 2025 and 08 November 2025,,2025-11-19,2025-11-20,,Visits outside the UK,4389,Ruth Cadbury,Switzerland,Berne and Zurich,MP delegation visit with focus on Switzerland’s rail and transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-08,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the United Kingdom, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£990), in-country travel (£290) and meals (£240)",1900.00,True,https://interests-api.parliament.uk/api/v1/Interests/13930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13919,International visit to Finland between 26 October 2025 and 28 October 2025,,2025-11-18,2025-11-19,,Visits outside the UK,4061,Bill Esterson,Finland,,"To visit the Olkiluoto 3 Nuclear Power Plant, Onkalo Geological Disposal Facility and Radiation and Nuclear Safety Authority (STUK)",2025-10-26,2025-10-28,Nuclear Energy,Nuclear Industry Association,False,"4th Floor, York House, 23 Kingsway, London WC2B 6UJ",In kind,"Return flights to Helsinki, hotel accommodation, transport and meals.",882.55,True,https://interests-api.parliament.uk/api/v1/Interests/13919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13921,International visit to Switzerland between 05 November 2025 and 07 November 2025,,2025-11-19,2025-11-19,,Visits outside the UK,5144,Mr Richard Quigley,Switzerland,Berne and Zurich,MP delegation visit with focus on Switzerland’s rail and transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-07,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the UK, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£660), in-country travel (£290), meals (£240)",1570.00,True,https://interests-api.parliament.uk/api/v1/Interests/13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13927,International visit to Vatican City between 21 October 2025 and 26 October 2025,,2025-11-19,2025-11-19,,Visits outside the UK,3957,Martin Vickers,Vatican City,,"Attended an audience with His Holiness the Pope, and in San Marino meetings with the Heads of State, ministers, parliamentarians and business representatives in San Marino.",2025-10-21,2025-10-26,San Marino APPG,Tratos (UK)) Ltd.,False,"Knowsley Factory Randles Road, Knowsley Business Park, Prescot, Merseyside L34 9HX",In kind,"Flights(£996.64) , accommodation (£879.60), subsistence (£826.00)",2702.24,False,https://interests-api.parliament.uk/api/v1/Interests/13927,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13864,International visit to Japan between 09 October 2025 and 19 October 2025,,2025-11-13,2025-11-19,,Visits outside the UK,5348,David Taylor,Japan,,"The purpose of the trip to Japan was to foster a deeper understanding between the British and Japanese parliaments and cultures, while also promoting trade between the two countries. The group of MPs worked cross-party to develop and improve links between the two parliaments and encourage economic ties.",2025-10-09,2025-10-19,APPG Japan,All-Party Parliamentary Group on Japan,False,"House of Commons, London SW1A 0AA",In kind,"Flights (£2,911.52), accomdation (£1,943.14), hospitality and food (£574.65), transport (£364.97)",5794.28,True,https://interests-api.parliament.uk/api/v1/Interests/13864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13815,International visit to United Arab Emirates between 28 October 2025 and 31 October 2025,,2025-11-18,2025-11-18,,Visits outside the UK,4441,Sir Oliver Dowden,United Arab Emirates,Abu Dhabi,Attending the UAE-UK Business Council Plenary Conference,2025-10-28,2025-10-31,APPG for the United Arab Emirates,Embassy of the United Arab Emirates,False,"1-2 Grosvenor Crescent, London SW1X 7EE",In kind,"Flights (£3,750) and accommodation (£3,500)",7250.00,True,https://interests-api.parliament.uk/api/v1/Interests/13815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13909,International visit to United States between 25 October 2025 and 05 November 2025,,2025-11-18,2025-11-18,,Visits outside the UK,146,Barry Gardiner,United States,Washington,Climate change conferences in Washington and Rio De Janeiro in preparation for COP 30,2025-10-25,2025-11-05,,International Conservation Caucus Foundation,False,"2nd Floor Parkgates Buoy New Road, Prestwich, Manchester, M25 0TL",In kind,Accommodation Washington (£658),658.00,True,https://interests-api.parliament.uk/api/v1/Interests/13909,Brazil,Rio de Janeiro,Luminary Networks,False,"4 Artisan Place, Harrow HA3 5DS",In kind,"Return flights UK to Washington (£2,086)",2086.00,True,Climate Parliament,False,"21 The Cliff, Brighton East Sussex BN2 5RF",In kind,"Return flights Washington to Rio De Janeiro (£1394.88), accommodation (£1730)",3124.88,True,,,,,,,,,,,,,,,,
13914,International visit to Switzerland between 06 November 2025 and 08 November 2025,,2025-11-18,2025-11-18,,Visits outside the UK,1447,Andrew Rosindell,Switzerland,,MP delegation visit with focus on Switzerland’s rail and transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-06,2025-11-08,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the UK, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£660), in-country travel (£290) and meals (£240)",1570.00,True,https://interests-api.parliament.uk/api/v1/Interests/13914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13891,International visit to Spain between 13 November 2025 and 15 November 2025,,2025-11-17,2025-11-17,,Visits outside the UK,4107,Dame Harriett Baldwin,Spain,Barcelona,"Attendance at the annual Tertulias, alongside other MPs, fostering relationships between our two countries at the highest level. My role was to work together with people from the worlds of business, industry, academia, politics and the public sector in both countries to discuss issues of common interest and common concern.",2025-11-13,2025-11-15,,Tertulias Limited,True,,In kind,Travel and accommodation (my husband joined me on the trip but paid for his own travel),575.00,False,https://interests-api.parliament.uk/api/v1/Interests/13891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13810,International visit to Luxembourg on 23 October 2025,,2025-11-17,2025-11-17,,Visits outside the UK,4020,George Freeman,Luxembourg,,LPEA Insights Conference 2025 in Luxembourg.,2025-10-23,2025-10-23,,Citicourt & Co,False,"Holborn Gate, 330 High Holborn, London, WC1V 7QH",In kind,"Plane ticket, taxes and taxi fare",814.42,True,https://interests-api.parliament.uk/api/v1/Interests/13810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13887,International visit to Switzerland between 05 November 2025 and 08 November 2025,,2025-11-16,2025-11-17,,Visits outside the UK,5277,Graham Leadbitter,Switzerland,Berne & Zurich,Cross Party MP delegation visit with focus on Switzerland’s rail and transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-08,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the UK, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£990), in-country travel (£290) and meals (£240)",1900.00,True,https://interests-api.parliament.uk/api/v1/Interests/13887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13884,International visit to Denmark between 23 October 2025 and 24 October 2025,,2025-11-14,2025-11-17,,Visits outside the UK,5123,Ms Polly Billington,Denmark,Copenhagen,APPG visit to high-level meetings and site visits in Copenhagen cross-channel cooperation for decarbonising heat and energy.,2025-10-23,2025-10-24,Parliamentary Renewable & Sustainable Energy Group (PRASEG - Secretariat for the APPG for Renewable & Sustainable Energy),Parliamentary Renewable & Sustainable Energy Group (PRASEG) Secretariat for the APPG for Renewable & Sustainable Energy,False,"PRASEG, 10 Dean Farrar Street, London SW1H 0DX",In kind,"Accommodation, return flights and subsistence",808.00,False,https://interests-api.parliament.uk/api/v1/Interests/13884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13892,International visit to Italy between 20 October 2025 and 21 October 2025,,2025-11-17,2025-11-17,,Visits outside the UK,4462,Tom Tugendhat,Italy,Milan,"To give a speech on UK-Europe relations at geopolitical and business conference, hosted by SDA Bocconi School of Management.",2025-10-20,2025-10-21,,NEWEST,False,"Corp One Rockefeller Plaza, New York, NY 10022",Monetary,"Flights (£582), accommodation (£270.03) and taxi (£129)",981.03,True,https://interests-api.parliament.uk/api/v1/Interests/13892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13900,International visit to Switzerland between 05 November 2025 and 07 November 2025,,2025-11-17,2025-11-17,,Visits outside the UK,5309,Katrina Murray,Switzerland,Zurich and Berne,MP delegation visit with focus on Switzerland’s rail/transport network and Vocational and Professional Education and Training (VPET) system.,2025-11-05,2025-11-07,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the United Kingdom, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), Accommodation (£660), In-Country Travel (£290), Meals (£240),",1570.00,True,https://interests-api.parliament.uk/api/v1/Interests/13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13886,International visit to San Marino between 21 October 2025 and 24 October 2025,,2025-11-16,2025-11-16,,Visits outside the UK,5168,Adam Jogee,San Marino,,"Part of a cross-party delegation to further relations between the United Kingdom and the Republic of San Marino and the Holy See. The visit included being received at the Vatican by the Holy Father, His Holiness Pope Leo.",2025-10-21,2025-10-24,All Party Parliamentary Group on San Marino,Consulate of the Republic of San Marino to the United Kingdom,False,"c/o Baird House
15-17 St Cross Street
Farringdon
London 
EC1N 8UW",In kind,"Airfare/Ground
Transfers (£552.07)

Accommodation
(£322)

Subsistence
(£287.24)",1161.31,True,https://interests-api.parliament.uk/api/v1/Interests/13886,Vatican City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13875,International visit to Switzerland between 06 November 2025 and 08 November 2025,,2025-11-13,2025-11-14,,Visits outside the UK,5199,Mr Luke Charters,Switzerland,Berne and Zurich,"MP delegation visit with a focus on Switzerland’s rail and transport network, and the Vocational and Professional Education and Training (VPET) system.",2025-11-06,2025-11-08,,"Federal Department of Foreign Affairs, Switzerland",False,"Embassy of Switzerland in the United Kingdom, 16-18 Montagu Place, London W1H 2BQ",In kind,"Travel (£380), accommodation (£660), in-country travel (£290) and meals (£240)",1570.00,True,https://interests-api.parliament.uk/api/v1/Interests/13875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13873,International visit to Finland between 27 October 2025 and 29 October 2025,,2025-11-13,2025-11-14,,Visits outside the UK,5154,Sarah Hall,Finland,,"To visit the Olkiluoto 3 Nuclear Power Plant, Onkalo Geological Disposal Facility and Radiation and Nuclear Safety Authority (STUK) as part of a Nuclear Energy APPG Visit.",2025-10-27,2025-10-29,Nuclear Energy APPG,Nuclear Industry Association,False,"4th Floor, York House, 23 Kingsway, London WC2B 6UJ",In kind,"Return flights to Helsinki, hotel accommodation, transport and meals",882.55,True,https://interests-api.parliament.uk/api/v1/Interests/13873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13880,International visit to Finland between 27 October 2025 and 29 October 2025,,2025-11-14,2025-11-14,,Visits outside the UK,4799,Charlotte Nichols,Finland,Helsinki and Rauma,"To visit the Olkiluoto 3 Nuclear Power Plant, Onkalo Geological Disposal Facility and Radiation and Nuclear Safety Authority (STUK) as part of a Nuclear Energy APPG Visit",2025-10-27,2025-10-29,Nuclear APPG,Nuclear Industry Association,False,"4th Floor, York House, 23 Kingsway, London WC2B 6UJ",In kind,"Return flights to Helsinki, hotel accommodation, transport and meals",882.55,True,https://interests-api.parliament.uk/api/v1/Interests/13880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13874,International visit to Japan between 09 October 2025 and 17 October 2025,,2025-11-13,2025-11-14,,Visits outside the UK,5353,Anna Gelderd,Japan,,"Delegation member of the APPG Japan visit to strengthen relationships with Japanese Parliamentarians, businesses and organisations with an interest in the UK and South East Cornwall.",2025-10-09,2025-10-17,,Japan APPG,False,"House of Commons, London SW1A 0AA",In kind,"Flights (£2,911.52) and accommodation (£1,943.14)",4854.66,True,https://interests-api.parliament.uk/api/v1/Interests/13874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13836,International visit to United States between 17 October 2025 and 20 October 2025,,2025-11-12,2025-11-13,,Visits outside the UK,4597,Mrs Kemi Badenoch,United States,,To participate in a conference organised by the Hoover Institute.,2025-10-17,2025-10-20,,Hoover Institution,False,"434 Galvez Mall, Stanford University, CA 94305 USA",In kind,Accommodation for myself and two staff members,4116.00,False,https://interests-api.parliament.uk/api/v1/Interests/13836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13863,International visit to Saudi Arabia between 08 October 2025 and 18 October 2025,,2025-11-13,2025-11-13,,Visits outside the UK,4747,Tahir Ali,Saudi Arabia,,"Delegation of MPs and Peers to meet several Saudi Ministers, royal family members and members of the Shura Council, in relation to: trade, defence, tourism (Hajj/Umrah), education and energy. A dinner was hosted at the British Embassy with the Ambassador to promote Saudi-British relations",2025-10-08,2025-10-18,,Royal Embassy of Saudi Arabia,False,"30 Charles Street, Mayfair, London W1J 5DZ",In kind,"Flights (£6,851.20), accommodation  (£1,580.31) and meals (£900)",9331.51,True,https://interests-api.parliament.uk/api/v1/Interests/13863,,,Chamber of Commerce Istanbul Turkiye,False,"Binbirdirek Meydani Sok, No:1, 34400, Fatih Istanbul, Turkiye",In kind,Accomodation:  four nights in Madinah,1400.00,True,,,,,,,,,,,,,,,,,,,,,,,
13831,International visit to Japan between 08 October 2025 and 16 October 2025,,2025-11-12,2025-11-13,,Visits outside the UK,4785,Dr Ben Spencer,Japan,,"Strengthening UK-Japan relations and engagement with Japanese politicians and businesses, including visits and meetings linked to my role as Shadow DSIT Minister of State.",2025-10-08,2025-10-16,APPG for Japan,APPG for Japan,False,"House of Commons, London SW1A 0AA",In kind,"Flights (£3,134.90), accommodation (£1,943.14), food and hospitality (£574.65), transport in Japan (£364.97)",6017.66,True,https://interests-api.parliament.uk/api/v1/Interests/13831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
