ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,ShareholdingThreshold,RegistrableDate,EndDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,Link,Updated_2
12441,Shares in Number 41 Ltd (dormant),,2025-05-18,2025-05-19,,Shareholdings,5260,Katie White,(i) Shareholdings: over 15% of issued share capital,,2025-05-18,Number 41 Ltd (dormant),Property company,,,https://interests-api.parliament.uk/api/v1/Interests/12441,
12082,Shares in Nene Advisory Limited,,2025-03-25,2025-03-25,,Shareholdings,4095,Steve Barclay,(i) Shareholdings: over 15% of issued share capital,2025-03-03,,Nene Advisory Limited,limited company to receive income from advisory work,,,https://interests-api.parliament.uk/api/v1/Interests/12082,
12019,Shares in Upon a Hill Limited,,2025-03-14,2025-03-17,,Shareholdings,5148,Mr Hamish Falconer,(i) Shareholdings: over 15% of issued share capital,2023-07-05,,Upon a Hill Limited,Management consultancy activities other than financial management. This company is in the process of being closed down.,,,https://interests-api.parliament.uk/api/v1/Interests/12019,
11877,Shares in Helen Grant Limited,,2025-02-26,2025-02-27,,Shareholdings,4018,Helen Grant,(i) Shareholdings: over 15% of issued share capital,2020-01-06,,Helen Grant Limited,Community Action Project for women and girls in Africa manufacturing fashion garments.  The company is dormant and has never traded.,Jointly with my husband.,,https://interests-api.parliament.uk/api/v1/Interests/11877,
11595,Shares in Ravenscar Group,,2025-01-06,2025-01-06,,Shareholdings,4108,Sir Gavin Williamson,(i) Shareholdings: over 15% of issued share capital,2024-11-22,,Ravenscar Group,A company set up to manage my financial affairs and investments.,,,https://interests-api.parliament.uk/api/v1/Interests/11595,
11454,Shares in Regeneration Advisory Ltd,,2024-12-06,2024-12-09,,Shareholdings,4020,George Freeman,(i) Shareholdings: over 15% of issued share capital,2024-10-08,,Regeneration Advisory Ltd,RAL is a limited company which I originally set up (after leaving Government in 2020) as an advisory business to support regeneration projects across the UK to harness innovation led growth to drive inward investment and regeneration.,Wife,,https://interests-api.parliament.uk/api/v1/Interests/11454,
11382,Shares in The Office of Akshata Murty and Rishi Sunak,,2024-11-28,2024-11-28,,Shareholdings,4483,Rishi Sunak,(i) Shareholdings: over 15% of issued share capital,2024-11-05,,The Office of Akshata Murty and Rishi Sunak,A company to support our ongoing public activities and engagements,Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/11382,
11144,Shares in Galenic Laboratories Ltd,,2024-10-31,2024-11-05,,Shareholdings,4503,Chris Philp,"(ii) Other shareholdings, valued at more than £70,000",2024-10-21,,Galenic Laboratories Ltd,Compounding Pharmacy,,,https://interests-api.parliament.uk/api/v1/Interests/11144,
11090,Shares in Highland Bookshop Ltd,,2024-10-28,2024-10-28,,Shareholdings,5362,Mr Angus MacDonald,(i) Shareholdings: over 15% of issued share capital,,,Highland Bookshop Ltd,,Business with my wife,,https://interests-api.parliament.uk/api/v1/Interests/11090,
11083,Shares in Highland Cinema Ltd,,2024-10-28,2024-10-28,,Shareholdings,5362,Mr Angus MacDonald,(i) Shareholdings: over 15% of issued share capital,,,Highland Cinema Ltd,,Jointly with wife,Delegated management company,https://interests-api.parliament.uk/api/v1/Interests/11083,
10980,Shares in P4847 a Freeze drying pharma related business,,2024-10-10,2024-10-10,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,P4847 a Freeze drying pharma related business,,,,https://interests-api.parliament.uk/api/v1/Interests/10980,
10817,Shares in CoffeeDrop Delivery Ltd,,2024-09-26,2024-09-26,,Shareholdings,4051,John Glen,"(ii) Other shareholdings, valued at more than £70,000",2024-09-24,,CoffeeDrop Delivery Ltd,A start up coffee delivery business,,,https://interests-api.parliament.uk/api/v1/Interests/10817,
10655,Shares in Reform UK Party Ltd,,2024-09-08,2024-09-10,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,2024-07-08,,Reform UK Party Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/10655,
10649,Shares in Sussex Street Speaking and Publishing Limited,,2024-09-06,2024-09-06,,Shareholdings,1572,Sir Jeremy Hunt,(i) Shareholdings: over 15% of issued share capital,2024-07-29,,Sussex Street Speaking and Publishing Limited,Limited company that will receive income and incur expenses related to my writing and speaking engagements.,Jointly with my partner,,https://interests-api.parliament.uk/api/v1/Interests/10649,
10598,Shares in Thorn In The Side Limited,,2024-08-29,2024-09-02,,Shareholdings,5091,Nigel Farage,(i) Shareholdings: over 15% of issued share capital,,,Thorn In The Side Limited,"Media, Speaking, Journalism and other Services",,,https://interests-api.parliament.uk/api/v1/Interests/10598,
10595,Shares in Farage Media Limited,,2024-08-29,2024-09-02,,Shareholdings,5091,Nigel Farage,(i) Shareholdings: over 15% of issued share capital,,,Farage Media Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/10595,
10596,Shares in Reform UK Party Limited,,2024-08-29,2024-09-02,,Shareholdings,5091,Nigel Farage,(i) Shareholdings: over 15% of issued share capital,,,Reform UK Party Limited,,,,https://interests-api.parliament.uk/api/v1/Interests/10596,
8425,Shares in Miller Fraser Ltd,,2024-08-12,2024-09-02,2025-07-17,Shareholdings,5286,Anna Sabine,(i) Shareholdings: over 15% of issued share capital,2023-05-09,2025-04-01,Miller Fraser Ltd,Communications consultancy,,,https://interests-api.parliament.uk/api/v1/Interests/8425,
10524,Shares in Crocus and Bluebell Limited,,2024-08-22,2024-08-22,,Shareholdings,5340,Jack Rankin,(i) Shareholdings: over 15% of issued share capital,2024-08-12,,Crocus and Bluebell Limited,"Provides energy markets and environmental advisory services to the generators of renewable power, in particular the structuring of long-term power purchase agreements to reach financial close for new build renewable projects.",Jointly with my wife,,https://interests-api.parliament.uk/api/v1/Interests/10524,
7750,Shares in Urban Property Management Ltd,,2024-08-03,2024-08-04,,Shareholdings,5093,Alison Taylor,(i) Shareholdings: over 15% of issued share capital,,2025-10-13,Urban Property Management Ltd,Commercial Property Management Services.,,,https://interests-api.parliament.uk/api/v1/Interests/7750,
9819,Shares in Mango Online Learning Development Solutions Limited,,2024-08-03,2024-08-04,2025-09-25,Shareholdings,5164,Steff Aquarone,(i) Shareholdings: over 15% of issued share capital,,,Mango Online Learning Development Solutions Limited,,with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/9819,
9834,Shares in A & H Bros (& Others) Investments Limited,,2024-08-03,2024-08-04,,Shareholdings,5231,Mr Adnan Hussain,(i) Shareholdings: over 15% of issued share capital,,,A & H Bros (& Others) Investments Limited,Real estate,,,https://interests-api.parliament.uk/api/v1/Interests/9834,
9800,Shares in Quidnet Capital Partners LLP,,2024-08-03,2024-08-04,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,2024-07-04,,Quidnet Capital Partners LLP,Property company,,,https://interests-api.parliament.uk/api/v1/Interests/9800,
9797,Shares in Britain Means Business Ltd,,2024-08-03,2024-08-04,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,,,Britain Means Business Ltd,Consultancy business,,,https://interests-api.parliament.uk/api/v1/Interests/9797,
7482,Shares in Onit Events Ltd,,2024-08-04,2024-08-04,,Shareholdings,5097,Mr Bayo Alaba,(i) Shareholdings: over 15% of issued share capital,,,Onit Events Ltd,Events Consultancy,,Delegated management company,https://interests-api.parliament.uk/api/v1/Interests/7482,
7490,Shares in Alaba Properties,,2024-08-04,2024-08-04,,Shareholdings,5097,Mr Bayo Alaba,(i) Shareholdings: over 15% of issued share capital,,,Alaba Properties,Real estate company,,,https://interests-api.parliament.uk/api/v1/Interests/7490,
9398,Shares in Tremoge Farm Ltd,,2024-08-02,2024-08-04,,Shareholdings,5153,Mr Cathal Mallaghan,(i) Shareholdings: over 15% of issued share capital,2018-06-01,,Tremoge Farm Ltd,Agri Food,Jointly with Spouse,,https://interests-api.parliament.uk/api/v1/Interests/9398,
10147,Shares in Limina Group ltd,,2024-08-04,2024-08-04,,Shareholdings,5117,Sarah Smith,(i) Shareholdings: over 15% of issued share capital,,,Limina Group ltd,Consultancy business,Jointly with my husband,,https://interests-api.parliament.uk/api/v1/Interests/10147,
9715,Shares in Rubicon Land Ltd,,2024-08-03,2024-08-04,,Shareholdings,5093,Alison Taylor,"(ii) Other shareholdings, valued at more than £70,000",,,Rubicon Land Ltd,"Commercial property development company, land trading ( including residential), energy storage projects, asset management and property investment in various sectors.",Jointly with my spouse and external shareholders,,https://interests-api.parliament.uk/api/v1/Interests/9715,
9799,Shares in Enjoyouretirement Ltd,,2024-08-03,2024-08-04,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,,,Enjoyouretirement Ltd,Property company,,,https://interests-api.parliament.uk/api/v1/Interests/9799,
8996,Shares in Open Door Property Holidays Ltd,,2024-08-01,2024-08-04,,Shareholdings,5047,James Naish,(i) Shareholdings: over 15% of issued share capital,,,Open Door Property Holidays Ltd,Holiday rental property,,,https://interests-api.parliament.uk/api/v1/Interests/8996,
9818,Shares in London Trading One Ltd.,,2024-08-03,2024-08-04,,Shareholdings,5164,Steff Aquarone,(i) Shareholdings: over 15% of issued share capital,,,London Trading One Ltd.,General commercial consultancy and business activities of a non-political nature,,,https://interests-api.parliament.uk/api/v1/Interests/9818,
8401,Shares in Babylon Bars (London) Ltd,,2024-08-02,2024-08-04,,Shareholdings,5321,Mr Paul Kohler,(i) Shareholdings: over 15% of issued share capital,,,Babylon Bars (London) Ltd,Hospitality,,,https://interests-api.parliament.uk/api/v1/Interests/8401,
9155,Shares in What'sNextCommunicationsLTD,,2024-08-01,2024-08-04,,Shareholdings,5109,Chris Bloore,(i) Shareholdings: over 15% of issued share capital,,,What'sNextCommunicationsLTD,Consultancy firm offering training and communications services,,,https://interests-api.parliament.uk/api/v1/Interests/9155,
9712,Shares in Orion Estates and Investments Ltd,,2024-08-03,2024-08-04,,Shareholdings,5093,Alison Taylor,(i) Shareholdings: over 15% of issued share capital,,,Orion Estates and Investments Ltd,Investment and development of commercial property and asset management,jointly with my spouse and father,,https://interests-api.parliament.uk/api/v1/Interests/9712,
8994,Shares in Open Door Property Ltd,,2024-08-01,2024-08-04,2025-08-26,Shareholdings,5047,James Naish,(i) Shareholdings: over 15% of issued share capital,,2025-08-06,Open Door Property Ltd,Property sales and consulting,,,https://interests-api.parliament.uk/api/v1/Interests/8994,
9795,Shares in JMT Holdco Ltd,,2024-08-03,2024-08-04,,Shareholdings,5161,Richard Tice,(i) Shareholdings: over 15% of issued share capital,,,JMT Holdco Ltd,Holding Company for investment activities,,,https://interests-api.parliament.uk/api/v1/Interests/9795,
7810,Shares in Cavendish Consulting Limited,,2024-08-28,2024-08-04,,Shareholdings,5056,Jen Craft,"(ii) Other shareholdings, valued at more than £70,000",,,Cavendish Consulting Limited,,Held by my spouse,,https://interests-api.parliament.uk/api/v1/Interests/7810,
8254,Shares in BDA Partners,,2024-08-01,2024-08-04,,Shareholdings,5325,Charlie Maynard,(i) Shareholdings: over 15% of issued share capital,,,BDA Partners,Asia focussed advisory firm,,,https://interests-api.parliament.uk/api/v1/Interests/8254,
9058,Shares in African Dreams Ltd,,2024-08-01,2024-08-04,,Shareholdings,5108,Sam Rushworth,(i) Shareholdings: over 15% of issued share capital,,,African Dreams Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/9058,
9833,Shares in Clarity Legal Ltd,,2024-08-03,2024-08-04,,Shareholdings,5231,Mr Adnan Hussain,(i) Shareholdings: over 15% of issued share capital,,,Clarity Legal Ltd,Rental company,,,https://interests-api.parliament.uk/api/v1/Interests/9833,
8944,Shares in AEC Ltd,,2024-08-01,2024-08-04,,Shareholdings,5250,Gideon Amos,(i) Shareholdings: over 15% of issued share capital,,,AEC Ltd,Chartered Architects & Town Planners,,,https://interests-api.parliament.uk/api/v1/Interests/8944,
8946,Shares in French Weir Affordable Homes LLP,,2024-08-01,2024-08-04,,Shareholdings,5250,Gideon Amos,(i) Shareholdings: over 15% of issued share capital,,,French Weir Affordable Homes LLP,,,,https://interests-api.parliament.uk/api/v1/Interests/8946,
9830,Shares in CHNA Ltd,,2024-08-03,2024-08-04,,Shareholdings,5231,Mr Adnan Hussain,(i) Shareholdings: over 15% of issued share capital,,,CHNA Ltd,Real estate,,,https://interests-api.parliament.uk/api/v1/Interests/9830,
9822,Shares in Getting to Win Ltd.,,2024-08-03,2024-08-04,,Shareholdings,5164,Steff Aquarone,(i) Shareholdings: over 15% of issued share capital,,,Getting to Win Ltd.,Political campaign support services,,,https://interests-api.parliament.uk/api/v1/Interests/9822,
9055,Shares in The William Arthur Robinson Will Trust,,2024-08-01,2024-08-04,,Shareholdings,5047,James Naish,(i) Shareholdings: over 15% of issued share capital,,,The William Arthur Robinson Will Trust,Trust associated with farm land and buildings left by a relative,,Trust,https://interests-api.parliament.uk/api/v1/Interests/9055,
9253,Shares in [redacted] RTM Company Limited,,2024-08-02,2024-08-04,,Shareholdings,5079,Joani Reid,(i) Shareholdings: over 15% of issued share capital,,,[redacted] RTM Company Limited,Residents property management company,,,https://interests-api.parliament.uk/api/v1/Interests/9253,
9863,Shares in One Nine Seven Investments Ltd,,2024-08-03,2024-08-04,,Shareholdings,5231,Mr Adnan Hussain,(i) Shareholdings: over 15% of issued share capital,,,One Nine Seven Investments Ltd,Real estate,,,https://interests-api.parliament.uk/api/v1/Interests/9863,
9709,Shares in Orion Developments and Investments Ltd,,2024-08-03,2024-08-04,,Shareholdings,5093,Alison Taylor,(i) Shareholdings: over 15% of issued share capital,,,Orion Developments and Investments Ltd,Commercial Property and development company/asset management activities,jointly with my spouse and father,,https://interests-api.parliament.uk/api/v1/Interests/9709,
10016,Shares in Labour Networks Ltd (a dormant company),,2024-08-03,2024-08-04,2025-09-02,Shareholdings,5028,Lewis Atkinson,(i) Shareholdings: over 15% of issued share capital,,2025-09-02,Labour Networks Ltd (a dormant company),Communications with Labour Party members,,,https://interests-api.parliament.uk/api/v1/Interests/10016,
7488,Shares in StreetFestLive Ltd,,2024-08-04,2024-08-04,,Shareholdings,5097,Mr Bayo Alaba,(i) Shareholdings: over 15% of issued share capital,,,StreetFestLive Ltd,Lifestyle media company,,,https://interests-api.parliament.uk/api/v1/Interests/7488,
9339,Shares in The Katie Lam Company,,2024-08-02,2024-08-04,,Shareholdings,5285,Katie Lam,(i) Shareholdings: over 15% of issued share capital,,,The Katie Lam Company,Very small company that is the vehicle for my theatrical work.,,,https://interests-api.parliament.uk/api/v1/Interests/9339,
10236,Shares in Maguire Cervantes Property Limited,,2024-08-04,2024-08-04,,Shareholdings,5350,Ben Maguire,(i) Shareholdings: over 15% of issued share capital,,,Maguire Cervantes Property Limited,It is a holding company for one let residential property which is already registered  under Category 6,Jointly with my spouse,,https://interests-api.parliament.uk/api/v1/Interests/10236,
10005,Shares in Home Grown Life Ltd,,2024-08-03,2024-08-04,,Shareholdings,5201,Victoria Collins,(i) Shareholdings: over 15% of issued share capital,,,Home Grown Life Ltd,"Online gardening products, promoting urban gardening.",,,https://interests-api.parliament.uk/api/v1/Interests/10005,
9255,Shares in Reid Strategy Limited,,2024-08-02,2024-08-04,,Shareholdings,5079,Joani Reid,(i) Shareholdings: over 15% of issued share capital,,,Reid Strategy Limited,"Personal service company (no longer trading), in the process of being wound up.",,,https://interests-api.parliament.uk/api/v1/Interests/9255,
8399,Shares in Babylon Bars Ltd,,2024-08-03,2024-08-03,,Shareholdings,5321,Mr Paul Kohler,(i) Shareholdings: over 15% of issued share capital,,,Babylon Bars Ltd,Hospitality,,,https://interests-api.parliament.uk/api/v1/Interests/8399,
7418,Shares in Sparticles Productions Ltd,,2024-08-03,2024-08-03,,Shareholdings,5254,Alison Hume,(i) Shareholdings: over 15% of issued share capital,,,Sparticles Productions Ltd,Television production company,,,https://interests-api.parliament.uk/api/v1/Interests/7418,
6171,Shares in Paygora Ltd.,,2024-08-03,2024-08-03,,Shareholdings,5164,Steff Aquarone,(i) Shareholdings: over 15% of issued share capital,,,Paygora Ltd.,Business to business invoicing and payments technology solution,,,https://interests-api.parliament.uk/api/v1/Interests/6171,
6237,Shares in Inverleith Partnership,,2024-08-02,2024-08-02,,Shareholdings,5362,Mr Angus MacDonald,"(ii) Other shareholdings, valued at more than £70,000",,,Inverleith Partnership,"Partnership with two holdings, Artisan Spirit Company and Montane (outdoor clothing)",,Delegated management company,https://interests-api.parliament.uk/api/v1/Interests/6237,
9340,Shares in CC Technologies,,2024-08-02,2024-08-02,,Shareholdings,5285,Katie Lam,(i) Shareholdings: over 15% of issued share capital,,,CC Technologies,Legal technology start-up,,,https://interests-api.parliament.uk/api/v1/Interests/9340,
7659,Shares in Rolls Royce Plc,,2024-08-02,2024-08-02,,Shareholdings,5176,Baggy Shanker,"(ii) Other shareholdings, valued at more than £70,000",,,Rolls Royce Plc,,"I, my wife and my son have separate holdings",,https://interests-api.parliament.uk/api/v1/Interests/7659,
8787,Shares in Yardley Programme Management Limited,,2024-08-01,2024-08-01,,Shareholdings,5179,Kirsteen Sullivan,(i) Shareholdings: over 15% of issued share capital,,,Yardley Programme Management Limited,IT & Business management and consultancy service,Spouse,,https://interests-api.parliament.uk/api/v1/Interests/8787,
8808,Shares in LeapX Group Limited,,2024-08-01,2024-08-01,2025-01-28,Shareholdings,5185,Alan Gemmell,(i) Shareholdings: over 15% of issued share capital,,2025-01-14,LeapX Group Limited,To provide business and management consultancy services.,,,https://interests-api.parliament.uk/api/v1/Interests/8808,
8797,Shares in 30th State Productions Limited,,2024-08-01,2024-08-01,,Shareholdings,5185,Alan Gemmell,(i) Shareholdings: over 15% of issued share capital,,,30th State Productions Limited,It has rights to a book I have written and am publishing.,Spouse,,https://interests-api.parliament.uk/api/v1/Interests/8797,
8283,Shares in Four Communications,,2024-08-01,2024-08-01,,Shareholdings,5223,Jim Dickson,"(ii) Other shareholdings, valued at more than £70,000",,,Four Communications,Public Relations,,,https://interests-api.parliament.uk/api/v1/Interests/8283,
8342,Shares in Our World Research and Consultancy Ltd,,2024-08-01,2024-08-01,,Shareholdings,5108,Sam Rushworth,(i) Shareholdings: over 15% of issued share capital,,,Our World Research and Consultancy Ltd,,,,https://interests-api.parliament.uk/api/v1/Interests/8342,
8596,Shares in Saibick Investments Ltd,,2024-07-31,2024-07-31,,Shareholdings,5241,Aphra Brandreth,(i) Shareholdings: over 15% of issued share capital,,,Saibick Investments Ltd,Investment company,"Jointly with my husband, two sons and daughter.",,https://interests-api.parliament.uk/api/v1/Interests/8596,
8419,Shares in The Female Edge Ltd,,2024-07-31,2024-07-31,2025-07-17,Shareholdings,5286,Anna Sabine,(i) Shareholdings: over 15% of issued share capital,,2025-07-15,The Female Edge Ltd,Membership and training network for female entrepreneurs,,,https://interests-api.parliament.uk/api/v1/Interests/8419,
8499,Shares in ATLANT3D Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,ATLANT3D Ltd,"Atomic layer advance manufacturing, early stage EIS",,,https://interests-api.parliament.uk/api/v1/Interests/8499,
7909,Shares in Red Installations Ltd,,2024-07-31,2024-07-31,,Shareholdings,5073,Marie Goldman,(i) Shareholdings: over 15% of issued share capital,,,Red Installations Ltd,"Installation of windows, doors and other associated products.",Jointly with husband.,,https://interests-api.parliament.uk/api/v1/Interests/7909,
8483,Shares in L11NK Limited,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,L11NK Limited,IT App Developer,,,https://interests-api.parliament.uk/api/v1/Interests/8483,
8487,Shares in Many Pets Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Many Pets Ltd,Online pet insurer,,,https://interests-api.parliament.uk/api/v1/Interests/8487,
7910,Shares in Red Glazing Systems Ltd,,2024-07-31,2024-07-31,,Shareholdings,5073,Marie Goldman,(i) Shareholdings: over 15% of issued share capital,,,Red Glazing Systems Ltd,"Supply and installation of windows, doors and other associated products.",Jointly with my husband.,,https://interests-api.parliament.uk/api/v1/Interests/7910,
8477,Shares in Alto Energy Limited,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,Alto Energy Limited,Heatpump experts,,,https://interests-api.parliament.uk/api/v1/Interests/8477,
7911,Shares in Piktical Ltd,,2024-07-31,2024-07-31,,Shareholdings,5073,Marie Goldman,(i) Shareholdings: over 15% of issued share capital,,,Piktical Ltd,Software-based live event ticketing and access management.,,,https://interests-api.parliament.uk/api/v1/Interests/7911,
8476,Shares in Scarabus Trading Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,Scarabus Trading Ltd,"Holding company for football related franchises - ICFDS, BSS, SOCATOTS",,,https://interests-api.parliament.uk/api/v1/Interests/8476,
8480,Shares in Kona Energy Limited,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Kona Energy Limited,Battery storage,,,https://interests-api.parliament.uk/api/v1/Interests/8480,
8492,Shares in Ossiform Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Ossiform Ltd,Early stage 3D bone printing technology,,,https://interests-api.parliament.uk/api/v1/Interests/8492,
8496,Shares in SAFETONET Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,SAFETONET Ltd,Online child safety software developer,,,https://interests-api.parliament.uk/api/v1/Interests/8496,
8422,Shares in Cassia Bath Ltd,,2024-07-31,2024-07-31,2025-07-17,Shareholdings,5286,Anna Sabine,(i) Shareholdings: over 15% of issued share capital,,2025-07-01,Cassia Bath Ltd,Cafe,,,https://interests-api.parliament.uk/api/v1/Interests/8422,
8485,Shares in Transense Technology Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Transense Technology Ltd,AIM listed company,,,https://interests-api.parliament.uk/api/v1/Interests/8485,
8489,Shares in Insurance Capital Partners Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Insurance Capital Partners Ltd,Owner of Lloyds of London syndicate capital,,,https://interests-api.parliament.uk/api/v1/Interests/8489,
8478,Shares in Alto Investments and Property Limited,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,Alto Investments and Property Limited,Owner of the offices of Alto Energy Limited,,,https://interests-api.parliament.uk/api/v1/Interests/8478,
8472,Shares in Lowe Holdings Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,Lowe Holdings Ltd,Holding company for Lowe and Oliver Ltd electrical contractor,,,https://interests-api.parliament.uk/api/v1/Interests/8472,
8591,Shares in Smart Vet Ltd (Trading as Pet People),,2024-07-31,2024-07-31,,Shareholdings,5241,Aphra Brandreth,(i) Shareholdings: over 15% of issued share capital,,,Smart Vet Ltd (Trading as Pet People),Veterinary business,My husband is also a shareholder,,https://interests-api.parliament.uk/api/v1/Interests/8591,
8481,Shares in Glass Wall Holdings Limited,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Glass Wall Holdings Limited,Cyber security,,,https://interests-api.parliament.uk/api/v1/Interests/8481,
8494,Shares in Unibio Ltd,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,"(ii) Other shareholdings, valued at more than £70,000",,,Unibio Ltd,Early stage protein production company,,,https://interests-api.parliament.uk/api/v1/Interests/8494,
8611,Shares in Westwood Strategies Limited,,2024-07-31,2024-07-31,,Shareholdings,1579,Mary Creagh,(i) Shareholdings: over 15% of issued share capital,,,Westwood Strategies Limited,Sustainability advisory,,,https://interests-api.parliament.uk/api/v1/Interests/8611,
8474,Shares in Data-Path Office Network Services Limited,,2024-07-31,2024-07-31,,Shareholdings,5158,Rupert Lowe,(i) Shareholdings: over 15% of issued share capital,,,Data-Path Office Network Services Limited,"Data contractor, based in Somerset",,,https://interests-api.parliament.uk/api/v1/Interests/8474,
