ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,DonationSource,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link_1
9877,,"GMB East Midlands - £2,700.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr Hamish Falconer,5148,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2700.00,,,,True,GMB East Midlands,"542 Woodborough Rd, Mapperley, Nottingham NG3 5FJ",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/9877
10102,,"Adam Management Holdings Ltd - £3,000.00",2024-08-04,2024-09-02,,Donations and other support (including loans) for activities as an MP,Monica Harding,5299,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,3000.00,,,,True,Adam Management Holdings Ltd,"Suite 52, Technology Drive, Batley WF17 6ER",Company,Adam Management Holdings Ltd,,13453522,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10102
10313,,"Musicians Union - £3,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Alex Davies-Jones,4849,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,3000.00,,,,True,Musicians Union,"30 Snowsfields, London SE1 3SU",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10313
10316,,"Fran Perrin - £10,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Alex Davies-Jones,4849,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,10000.00,,,,True,Fran Perrin,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10316
10318,,"Mark Blandford - £10,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,10000.00,,,,True,Mark Blandford,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10318
10319,,"Simon Robertson - £5,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,5000.00,,,,True,Simon Robertson,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10319
10320,,"Mark Ellis - £2,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,Mark Ellis,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10320
10321,,"Neil Record - £2,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,Neil Record,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10321
10324,,"United & Cecil Club - £3,500.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,3500.00,,,,True,United & Cecil Club,"97 Mill Hill Road, London W3 8JF",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10324
10325,,"IPGL Ltd - £2,500.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2500.00,,,,True,IPGL Ltd,"39 Sloane Street, London SW1X 9LP",Company,IPGL Ltd,,02011009,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10325
10326,,"Kirintec Ltd - £10,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jesse Norman,3991,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,10000.00,,,,True,Kirintec Ltd,"Walter Scott House, 10 Old Gloucester Road, Ross-on-Wye, HerefordshireHR9 5PB",Company,Kirintec Ltd,,06699502,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10326
10332,,"Philip Soar - £5,000.00",2024-08-06,2024-09-02,,Donations and other support (including loans) for activities as an MP,Sarah Olney,4591,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,InKind,"£5,000 received by my local party for use by me",5000.00,,,,True,Philip Soar,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10332
10334,,"John James - £15,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,15000.00,05/08/2024,05/08/2024,,True,John James,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10334
10336,,"Shan Properties Ltd - £2,000.00",2024-08-06,2024-09-02,,Donations and other support (including loans) for activities as an MP,Sir Stephen Timms,163,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,Shan Properties Ltd,"Central House, 103 Central Park Road, East Ham, London  E6 3DW",Company,Shan Properties Ltd,,9086175,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10336
10337,,"Mr Sug Sahadevan - £2,000.00",2024-08-06,2024-09-02,,Donations and other support (including loans) for activities as an MP,Sir Stephen Timms,163,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,Mr Sug Sahadevan,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10337
10339,,"Oakdale Farms Ltd - £4,999.00",2024-08-06,2024-09-02,,Donations and other support (including loans) for activities as an MP,Kevin Hollinrake,4474,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,4999.00,,,,True,Oakdale Farms Ltd,"York House, Thornfield Business Park, Standard Way Business Park, Northallerton DL6 2XQ",Company,Oakdale Farms Ltd,,04764454,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10339
10340,,"Unison - £3,733.00",2024-08-06,2024-09-02,,Donations and other support (including loans) for activities as an MP,Clive Lewis,4500,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,for leaflets,3733.00,,,,False,Unison,"Unison Centre, 130 Euston Road, London NW1 2AY",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10340
10359,,"USDAW - £2,000.00",2024-08-06,2024-09-02,,Donations and other support (including loans) for activities as an MP,Jim McMahon,4569,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,General Election 2024,2000.00,,,,True,USDAW,"2 Furness Quay, Manchester M50 3XZ",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10359
8592,,"John Clothier - £3,000.00",2024-08-07,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr Gideon Amos,5250,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,3000.00,,,,True,John Clothier,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8592
10374,,"Andrew Brannon - £5,000.00",2024-08-08,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,5000.00,07/08/2024,07/08/2024,,True,Andrew Brannon,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10374
10386,,"Dean Richmond - £5,000.00",2024-08-08,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the the leadership of the Conservative Party,5000.00,14/07/2024,14/07/2024,,True,Dean Richmond,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10386
10387,,"David Eventhall - £10,000.00",2024-08-08,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of the Conservative Party,10000.00,15/07/2024,15/07/2024,,True,David Eventhall,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10387
10388,,"Peter Batey - £2,000.00",2024-08-08,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mel Stride,3935,(b) Any other support not included in Category 2(a),Cash,,2000.00,30/07/2024,05/08/2024,,True,Peter Batey,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10388
10394,,"Labour Together - £13,723.56",2024-08-08,2024-09-02,,Donations and other support (including loans) for activities as an MP,John Healey,400,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,"For May 2024 to 5 July 2024, the total amount to declare for the employment of Grace Wright from Labour Together",13723.56,,,,True,Labour Together,"Langley House Park Road, East Finchley, London N2 8EY",Company,Labour Together,,09630980,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10394
10492,,"The Lord Michael Hintze - £2,500.00",2024-08-17,2024-09-02,,Donations and other support (including loans) for activities as an MP,Alison Griffiths,5203,(b) Any other support not included in Category 2(a),Cash,,2500.00,11/06/2024,11/06/2024,,True,The Lord Michael Hintze,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10492
10487,,"Charles Keymer - £40,000.00",2024-08-17,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of the Conservative Party,40000.00,23/07/2024,23/07/2024,,True,Charles Keymer,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10487
10488,,"Dominic Brisby - £10,000.00",2024-08-17,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of the Conservative Party,10000.00,25/07/2024,25/07/2024,,True,Dominic Brisby,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10488
10489,,"James Mellon - £10,000.00",2024-08-17,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of the Conservative Party,10000.00,24/07/2024,24/07/2024,,True,James Mellon,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10489
10490,,"Mr Chris Hayman CBE - £2,000.00",2024-08-17,2024-09-02,,Donations and other support (including loans) for activities as an MP,Alison Griffiths,5203,(b) Any other support not included in Category 2(a),Cash,,2000.00,07/06/2024,07/06/2024,,True,Mr Chris Hayman CBE,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10490
10491,,"Lord (Philip C) Harris - £5,000.00",2024-08-17,2024-09-02,,Donations and other support (including loans) for activities as an MP,Alison Griffiths,5203,(b) Any other support not included in Category 2(a),Cash,,5000.00,11/06/2024,11/06/2024,,True,Lord (Philip C) Harris,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10491
10413,,"USDAW - £2,000.00",2024-08-12,2024-09-02,,Donations and other support (including loans) for activities as an MP,Sir Mark Hendrick,473,(b) Any other support not included in Category 2(a),Cash,,2000.00,13/06/2024,13/06/2024,,True,USDAW,"Quays, Voyager Building 2 Furness Quay Salford, Manchester M50 3XZ",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10413
10415,,"Co-op Party - £2,430.00",2024-08-12,2024-09-02,,Donations and other support (including loans) for activities as an MP,Sir Mark Hendrick,473,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,For use in the General Election Campaign,2430.00,,,,True,Co-op Party,"Unit 13, 83 Crampton Street, London SE17 3BQ",Registered Party,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10415
10417,,"The Spott Fitness Ltd - £25,000.00",2024-08-12,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,25000.00,23/07/2024,23/07/2024,,True,The Spott Fitness Ltd,"71-75 Shelton Street, Covent Garden, London  WC2H 9JQ",Company,The Spott Fitness Ltd,,13100371,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10417
10423,,"Caroline O'Kane - £5,000.00",2024-08-13,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,,5000.00,16/07/2024,17/07/2024,,True,Caroline O'Kane,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10423
10424,,"David Watson Gandy - £10,000.00",2024-08-13,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of the Conservative Party,10000.00,17/07/2024,17/07/2024,,True,David Watson Gandy,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10424
10443,,"David Naylor-Leyland - £10,000.00",2024-08-14,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,10000.00,14/08/2024,14/08/2024,,True,David Naylor-Leyland,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10443
10450,,"Andrew Wilkinson - £25,000.00",2024-08-14,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mel Stride,3935,(b) Any other support not included in Category 2(a),Cash,,25000.00,01/08/2024,12/08/2024,,True,Andrew Wilkinson,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10450
10466,,"Unite the Union - £5,000.00",2024-08-14,2024-09-02,,Donations and other support (including loans) for activities as an MP,Charlotte Nichols,4799,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,for the 2024 General Election campaign fund for Warrington North Constituency Labour Party,5000.00,,,,True,Unite the Union,"Unite House, 128 Theobalds Road, Holborn, London WC1X 8TN",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10466
10467,,"Warrington Borough Council Labour Group - £5,000.00",2024-08-14,2024-09-02,,Donations and other support (including loans) for activities as an MP,Charlotte Nichols,4799,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,for the 2024 General Election campaign fund for Warrington North Constituency Labour Party,5000.00,,,,True,Warrington Borough Council Labour Group,"Warrington Town Hall, Sankey Street, Warrington WA1 1UH",Registered Party,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10467
8639,,"John Wakefield - £2,000.00",2024-08-20,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr Gideon Amos,5250,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,John Wakefield,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8639
10503,,"Euro Packaging UK Limited - £1,950.00",2024-08-20,2024-09-02,,Donations and other support (including loans) for activities as an MP,Debbie Abrahams,4212,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,Campaign donation,1950.00,,,,True,Euro Packaging UK Limited,"20 Brickfield Road, Yardley, Birmingham B25 8AL",Company,Euro Packaging UK Limited,,07012425,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10503
10504,,"DCD Properties Ltd - £1,950.00",2024-08-20,2024-09-02,,Donations and other support (including loans) for activities as an MP,Debbie Abrahams,4212,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,Campaign donation,1950.00,,,,True,DCD Properties Ltd,"85 Strand, London WC2R 0DW",Company,DCD Properties Ltd,,03092306,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10504
10506,,"Unite the Union - £10,000.00",2024-08-20,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mark Tami,1383,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,support for the General Election,10000.00,,,,True,Unite the Union,"Unite House
128 Theobolds Road, Holborn, London WC1X8TN",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10506
6429,,"Mr Michael Clare - £6,000.00",2024-08-21,2024-09-02,,Donations and other support (including loans) for activities as an MP,Joy Morrissey,4759,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,6000.00,,,,True,Mr Michael Clare,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6429
6433,,"United and Cecil - £3,500.00",2024-08-21,2024-09-02,,Donations and other support (including loans) for activities as an MP,Joy Morrissey,4759,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,3500.00,,,,True,United and Cecil,"97 Mill Hill Road, London W3 8KF",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6433
6441,,"Mr Ramandeep Singh - £2,000.00",2024-08-21,2024-09-02,,Donations and other support (including loans) for activities as an MP,Joy Morrissey,4759,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,2000.00,,,,True,Mr Ramandeep Singh,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6441
6480,,"Catherine C Martin - £15,000.00",2024-08-21,2024-09-02,,Donations and other support (including loans) for activities as an MP,Joy Morrissey,4759,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,,15000.00,,,,True,Catherine C Martin,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/6480
10284,,"Labour Group of Councillors on Carmarthenshire County Council - £5,000.00",2024-08-05,2024-09-02,,Donations and other support (including loans) for activities as an MP,Dame Nia Griffith,1541,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,Donated to Llanelli Constituency Labour Party for Constituency Party funds for campaigning,5000.00,,,,True,Labour Group of Councillors on Carmarthenshire County Council,"c/o 53 Bigyn Road, Llanelli SA15 1NT",Registered Party,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10284
10511,,"Northcote Street Limited - £10,000.00",2024-08-21,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,10000.00,20/08/2024,20/08/2024,,True,Northcote Street Limited,"Highdale House, 7 Centre Court, Treforest India Estate, Pontypridd CF38 5YR",Company,Northcote Street Limited,,13332713,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10511
8150,,"Dafydd Lyn  Williams - £2,000.00",2024-08-25,2024-09-02,,Donations and other support (including loans) for activities as an MP,Ann Davies,5177,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,Cash,To help with Election expenses,2000.00,,,,True,Dafydd Lyn  Williams,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/8150
10516,,"Mary Lonsdale - £25,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,25000.00,21/08/2024,21/08/2024,,True,Mary Lonsdale,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10516
10517,,"Richard Girling - £5,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Robert Jenrick,4320,(b) Any other support not included in Category 2(a),Cash,,5000.00,22/08/2024,22/08/2024,,True,Richard Girling,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10517
10518,,"Robert Kilgour - £5,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr James Cleverly,4366,(b) Any other support not included in Category 2(a),Cash,for my Leadership campaign,5000.00,08/08/2024,08/08/2024,,True,Robert Kilgour,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10518
10519,,"Professor Christopher Wood - £10,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr James Cleverly,4366,(b) Any other support not included in Category 2(a),Cash,for my Leadership Campaign,10000.00,15/08/2024,15/08/2024,,True,Professor Christopher Wood,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10519
10520,,"Lord Michael Hintze - £10,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr James Cleverly,4366,(b) Any other support not included in Category 2(a),Cash,for my Leadership Campaign,10000.00,15/08/2024,15/08/2024,,True,Lord Michael Hintze,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10520
10521,,"Kamal Pankhania - £15,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr James Cleverly,4366,(b) Any other support not included in Category 2(a),Cash,for my Leadership Campaign,15000.00,16/08/2024,16/08/2024,,True,Kamal Pankhania,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10521
10522,,"Mr Simon Chappell - £20,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr James Cleverly,4366,(b) Any other support not included in Category 2(a),Cash,for my Leadership Campaign,20000.00,19/08/2024,19/08/2024,,True,Mr Simon Chappell,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10522
10523,,"Valary DTL Limited - £10,000.00",2024-08-22,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mr James Cleverly,4366,(b) Any other support not included in Category 2(a),Cash,James Cleverly Leadership Campaign,10000.00,21/08/2024,21/08/2024,,True,Valary DTL Limited,"Delta by Marriott, c/o Valary Man, Stratford Road, Warwick CV34 6RE",Company,Valary DTL Limited,,13331829,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10523
10525,,"Gareth Penny - £3,000.00",2024-08-23,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mel Stride,3935,(b) Any other support not included in Category 2(a),Cash,,3000.00,13/08/2024,20/08/2024,,True,Gareth Penny,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10525
10530,,"Mr James D Emslie - £10,000.00",2024-08-24,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of Conservative Party,10000.00,01/08/2024,01/08/2024,,True,Mr James D Emslie,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10530
10531,,"Martin Bellamy - £5,000.00",2024-08-24,2024-09-02,,Donations and other support (including loans) for activities as an MP,Mrs Kemi Badenoch,4597,(b) Any other support not included in Category 2(a),Cash,In support of my campaign for the leadership of the Conservative Party,5000.00,31/07/2024,31/07/2024,,True,Martin Bellamy,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10531
10535,,"Sunbeam Consulting Ltd - £10,700.00",2024-08-25,2024-09-02,,Donations and other support (including loans) for activities as an MP,Priti Patel,4066,(b) Any other support not included in Category 2(a),InKind,use of a vehicle and driver between 1 August 2024 and 19 August 2024 for travel for my campaign for leadership of the Conservative and Unionist Party,10700.00,01/08/2024,01/08/2024,19/08/2024,True,Sunbeam Consulting Ltd,"13 Joiners Shop, Historic Dockyard, Chatham, Kent ME4 4TZ",Company,Sunbeam Consulting Ltd,,14017048,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10535
10536,,"Donlow Fininvest - £25,000.00",2024-08-25,2024-09-02,,Donations and other support (including loans) for activities as an MP,Priti Patel,4066,(b) Any other support not included in Category 2(a),Cash,for my campaign for leadership of the Conservative and Unionist Party,25000.00,29/07/2024,31/07/2024,,True,Donlow Fininvest,"Environment House, 1 St Marks Street, Nottingham NG3 1DE",Company,Donlow Fininvest,,13077795,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/10536
10537,,"Davinder Bains - £5,000.00",2024-08-25,2024-09-02,,Donations and other support (including loans) for activities as an MP,Priti Patel,4066,(b) Any other support not included in Category 2(a),Cash,for my campaign for leadership of the Conservative and Unionist Party,5000.00,30/07/2024,02/08/2024,,True,Davinder Bains,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10537
